dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,PrixMoyenS2,depmoyen,depmoyenS2
22,28,7.0,28,7.0,0.25,17.857142857142858,17.857142857142858,7.142857142857142,0.0,54.303448275862074,67.2,8.174199752713289,33.865
23,3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.20000000000001,,1.4154237764145422e-14,
24,17,4.0,17,4.0,0.23529411764705882,17.647058823529413,11.76470588235294,5.88235294117647,0.0,53.42941176470589,63.925,6.433091164752762,27.341
25,38,11.0,38,11.0,0.2894736842105263,21.052631578947366,13.157894736842104,10.526315789473683,0.0,55.48684210526316,68.46363636363637,10.531557978611861,36.382
26,20,6.0,20,6.0,0.3,30.0,25.0,5.0,5.0,57.54,74.66666666666667,14.6215139442231,48.738
27,26,13.0,26,13.0,0.5,50.0,50.0,15.384615384615385,0.0,62.40185185185186,73.73214285714286,24.306477792533578,46.877
28,9,3.0,9,3.0,0.3333333333333333,22.22222222222222,22.22222222222222,22.22222222222222,11.11111111111111,63.48888888888889,90.06666666666666,26.471890216910126,79.416
29,56,5.0,56,5.0,0.08928571428571429,7.142857142857142,5.357142857142857,1.7857142857142856,0.0,51.551785714285714,65.34,2.6928002276607788,30.159
30,53,11.0,51,10.0,0.19607843137254902,13.725490196078432,11.76470588235294,0.0,0.0,52.6843137254902,62.870000000000005,4.948832122490431,25.239
31,204,44.0,203,43.0,0.21182266009852216,7.8817733990147785,6.896551724137931,1.9704433497536946,0.0,51.948076923076925,58.28,3.4822249463683717,16.096
32,8,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,50.2,,0.0,
33,289,116.0,287,116.0,0.40418118466898956,31.3588850174216,29.268292682926827,19.16376306620209,0.0,58.28886986301371,70.21652542372881,16.11328657970858,39.874
34,164,39.0,164,39.0,0.23780487804878048,15.853658536585366,14.02439024390244,5.487804878048781,0.0,53.86969696969697,65.72564102564102,7.31015332608957,30.928
