BOR;AN;nofinesset;nofinessej;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2019;870003514;870000015;1;7;7;0;31;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;870005931;870000023;1;2;;;19;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;870014859;870000015;1;2;0;2;1;0;;;;;;;0;;;;;;;;;;;;1;;;;;;;;0;;;;;;;;0.1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;
PALIA;2019;880000021;880007059;1;2;;;99;0;;;;;;;1;4591;;;678;;;;747;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;1.8;;;;;;;
PALIA;2019;880000039;880780069;1;4;4;;52;0;;;;;;;1;716;16;3;181;71;102;8;269;;6;13;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;1;;;;;;;;;;1;1;0.5;;;1.2;1;;0.7;0.1
PALIA;2019;880000047;880780077;1;6;2;0;59;0;;;;;;;1;823;8;5;324;101;154;69;427;;58;50;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;1;;;;;;;;0.4;;0.2;0.8;0.8;;;0.05
PALIA;2019;880000054;880007299;1;4;;;179;0;;;;;;;1;2517;11;4;230;21;209;0;448;0;1;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;1;;0.5;0.5;0.1;1.73;;;0.8;
PALIA;2019;880000062;880780093;1;4;0;0;30;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;880000070;880007299;1;2;;;24;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;880000112;880780267;1;3;3;0;26;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;880000336;880007059;1;12;10;;99;0;;;;;;;1;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;890002389;890000730;1;4;;;47;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;890975527;890000037;1;8;;;77;0;;;;;;;1;2228;;1;20;;;;417;1;32;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;2;;;;1;0.5;0.5;;1.71;;;1;0.86
PALIA;2019;890975535;890000409;1;4;4;0;78;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;890975543;890000417;1;4;0;0;42;0;;;;;;;1;653;8;;270;32;175;63;195;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;;;;0.4;;;0.66;;;;0.03
PALIA;2019;890975550;890970569;1;8;;;11;1;1;6;175;;;;1;2046;1;0;0;0;0;0;425;12;42;23;3;;;6;;6;;3;;;1;;;;1;;1.49;;0.5;6;;6.12;0.5;3.13;1;1;;;;;;;1;;;2;;;1;1;0.79;0.75;;1.3;;;0.5;0.5
PALIA;2019;890975568;890000433;1;4;0;0;41;0;;;;;;;1;337;2;1;78;;78;;135;;21;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;1;;;0.35;
PALIA;2019;900003039;900000365;1;14;0;0;242;1;1;12;211;;;;1;1253;19;0;14;0;10;4;779;0;49;31;2;;0;3;;8;1;;0;;1;9;;4;;;2;;0.5;10.16;;10.97;1;;1;1;;3;;;1;;1;;;;;;;1;1.8;1;;3;;;1;0.9
PALIA;2019;910000272;910110014;0;;;;;1;1;10;154;;;;1;254;6;1;24;8;16;0;88;0;58;17;;;;4;;7;;;1;;1;2;;;;;1.2;;0.9;4.94;;8;;0.11;;;;2;;1;;;1;;;;;;;;0.5;;0.2;2.18;;1;;0.21
PALIA;2019;910000298;910110055;1;8;;;53;0;;;;;;;1;160;1;1;;;;;43;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;910001973;910019447;1;4;;;4;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;910018423;910110055;0;;;;;1;1;10;194;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;910020254;910002773;1;12;;;233;0;;;;;;;1;2356;1;1;1;0;1;0;740;0;572;525;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;3;0;0;1;1;2;2;0;0;0;0;1;0;1.23;1.23;0;2.67;0;0;1.5;1
PALIA;2019;910100015;750712184;0;;;;;1;1;10;139;;;;1;1817;;;;;;;187;;167;23;2;;1;6;;10;0;4;0;;0;0;;0;1;0;1.5;;1;6;;10;0.49;4;0;;;1;;;0;;1;;;;;;1;;0.5;;;1;;;0.5;
PALIA;2019;910100023;750712184;0;;;;;1;1;11;131;;;;1;391;;;;;;;;;;;1;;;9;;6;;;1;;;1;;6;;;1.2;;;9.82;;11.5;;;;;;1;;;;;1;;;0;;;;;0.5;;;1;;;;
PALIA;2019;910150028;750811184;1;22;12;;119;1;1;8;231;;;24;1;2868;;;0;;;;920;;82;16;;;1;2;;1;;;;;;3;;5;1;;;;0.72;4.78;;5.11;0.2;;1;;1;1;;;;;;;;1;;;1;;0.2;;0.3;1.87;;;0.4;
PALIA;2019;910150069;910000033;1;8;0;0;188;0;;;;;;;1;651;1;0;0;0;0;0;185;10;37;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;0.6;;;;;;0.6;0.2
PALIA;2019;910300144;910000447;1;8;;;129;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;910300326;910000553;1;5;0;0;80;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;910500040;910009539;1;10;10;0;121;0;;;;;;;0;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PALIA;2019;910803543;910017615;1;4;;;47;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;920000460;750813321;1;10;;;344;0;;;;;;;1;1218;0;0;0;0;0;0;424;0;8;0;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;0;2;1;2;2;0;0;0;0;2;1;1.5;1.5;0.25;1.5;1.5;0;1;0.3
PALIA;2019;920000577;920110020;1;8;0;0;43;0;;;;;;;1;127;1;1;823;687;63;73;79;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0.4;0.4;0.05;1;0;;0.2;0
PALIA;2019;920000593;920026374;0;;;;;1;1;12;261;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;920000627;920009909;1;4;;;26;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;920000643;920032505;1;5;0;;185;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;920000650;920150059;1;8;;;178;0;;;;;;;1;1391;0;1;882;866;16;;567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;1;;;;;1;;;0.2;1;;;1;0.2
PALIA;2019;920100013;750712184;1;7;0;0;156;0;;;;;;;1;2255;;;;;;;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;1;;;0;;;2;;1.55;;;2;;;0.99;
PALIA;2019;920100021;750712184;1;7;0;0;19;0;;;;;;;1;1823;0;0;0;0;0;0;273;12;79;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;0;1;2;1;;;;1;;0.6;;0.2;1;1;0;0.7;0
PALIA;2019;920100039;750712184;1;8;;;125;0;;;;;;;1;2244;;1;;;;;428;;68;23;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;0;0;0;1;;;;0;0;0;1;0;1;1;;1.8;0;0;0.49;1
PALIA;2019;920100047;750712184;1;6;;;56;0;;;;;;;1;1334;1;;;;;;171;13;;;;;0;2;0;0;1;1;;;0;0;0;0;0;0;;;0;1.51;0;0;0.33;0.5;;;;2;2;;1;;1;1;;;;;;1;0.5;0.5;;2;2;;1;0.5
PALIA;2019;920100062;750712184;0;;;;;0;;;;;;;1;2398;;;;;;;236;;141;5;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;2;;;;;;;;;0.8;;;1;;;;2
PALIA;2019;920120011;750821092;1;8;0;0;124;0;;;;;;;1;124;;;;;;;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;0.2;;;;
PALIA;2019;920300043;920001526;1;8;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;920300266;920000940;1;4;;;213;0;;;;;;;1;176;;;;;;;164;;12;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;3.57;;;;;;;
PALIA;2019;920300415;920000890;1;9;0;0;59;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;920300597;920000940;1;4;;;92;0;;;;;;;1;72;;;;;;;84;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;920300787;920000981;0;;;;;0;;;;;;;1;5632;0;0;0;0;0;0;127;0;30;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;1;0;1;1;0.6;0.6;0;1;1;0;0.5;0.5
PALIA;2019;920300845;780020715;0;;;;;1;1;32;463;;;;1;;23;8;726;118;72;188;261;;23;141;2;;;;;;;;3;;;;;;;;4.1;;;;;;;;1;;;2;;;;1;;;;;;;;;1;;;2;;;;0.6
PALIA;2019;920813623;920029097;1;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;930000286;930021480;1;8;0;0;178;0;;;;;;;1;4238;1;0;10;3;4;3;660;0;21;0;1;;1;8;;9;;3;;;;1;;1;2;;1;;1;9.39;;11.46;1.4;4.09;2;;;1;;;;;;;;1;;;2;1;1.8;;;1.59;;;1.81;0.5
PALIA;2019;930000294;930021480;0;;;;;1;1;14;328;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;930000328;930110051;1;6;;;67;1;1;10;190;;;;1;2055;14;0;650;0;650;0;257;0;31;18;1;;1;5;;6;;4;;;;;;1;;;1;;1;4.66;;5.36;;3.72;1;;;5;;6;;2;;;;;;;1;;1;;;4.66;;5.36;0.5;0.49
PALIA;2019;930000336;930110069;1;7;0;0;208;0;;;;;;;1;2558;;;;;;;304;;33;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;1;;0.8;0.8;0.1;1;1;;1;
PALIA;2019;930100011;750712184;0;;;;;1;1;15;188;;;;1;141;;;;;;;103;;;;1;;1;12;2;15;1;;;;;;;;;1;1;;0.5;12;2;15;1;0.8;;;1;;;;;;;;;;;;;;;;0.5;;;;;
PALIA;2019;930100037;750712184;1;6;;;5;0;;;;;;;1;548;;;;;;;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;1;;;;;;;;;;0.4;;;1;1;;1;
PALIA;2019;930100045;750712184;0;;;;;0;;;;;;;1;471;;;;;;;96;;8;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0.8;;;;
PALIA;2019;930300025;930000393;1;8;;;243;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;930300082;930000419;1;10;;;87;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;930300553;930000633;1;6;;;110;0;;;;;;;0;;;;;;;;;;;;2;2;0;0;;0;0;;1;1;1;5;;6;1;;2.5;2.5;0.3;1.79;;2.51;0.3;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;930300595;930000658;1;6;0;0;44;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;930500012;750720534;1;20;20;0;213;0;;;;;;;1;0;0;1;2354;2354;1;0;198;0;0;210;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;1;0;1;;1;1;0;0;0;0;1;1;1.5;1.5;0;1;1;0;1;0.5
PALIA;2019;940000573;940110018;1;5;0;0;78;0;;;;;;;1;4092;0;0;0;;;;557;;;0;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;0;1;0;;;0;;;2;0;1.37;;;1;;;1.38;0.78
PALIA;2019;940000599;940110042;0;;;;;0;;;;;;;1;408;;;0;;;;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;1;;0;0;;0;;;0;;1;1;;2;;;1;
PALIA;2019;940000649;940150014;1;6;;;79;0;;;;;;;1;2466;;1;25;25;;;330;9;20;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;1;;;;;;;1;;0.7;;;0.5;;;0.8;0.5
PALIA;2019;940000656;940160013;1;10;;;21;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;940000664;940160013;1;30;;;249;1;1;10;228;;;8;1;4308;;;;;;;1037;4;51;15;3;;0;10;;6;0;4;2;;1;0;;0;0;1;3.38;;0.33;8.58;;4.71;0;5;1;1;;3;2;0;1;;3;3;1;;;;;3;4.1;4.1;0.5;3;2;;1.5;2.8
PALIA;2019;940100027;750712184;1;8;;;232;1;1;10;135;;;;1;2205;1;1;43;43;;;668;;22;78;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;1;0;0;;;0;;;0;1;1;;;2;;;1;1
PALIA;2019;940100035;750712184;0;;;;;1;1;10;255;;;2;1;120;;;120;;;;139;2;43;45;2;;;8;;6;;;;;1;1;;2;0;2;2;;0.8;9.5;;7.8;0.5;0.7;1;1;;1;;;;;0;0;0;;;;0;0;1.5;0.5;1;1;;;1;1
PALIA;2019;940100043;750712184;1;7;;1;50;0;;;;;;;1;2423;0;0;0;0;0;0;434;0;124;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;0;;0;1;1;;;;;1;;1.3;1;0.2;2;2;0;0.5;0
PALIA;2019;940100050;750712184;1;4;4;;;1;1;11;0;;;;1;1954;0;0;0;;;;226;;37;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;1;;;1;0;1;1;0;0;;;0;4;0.6;0.6;0;1;;;0.3;0.1
PALIA;2019;940100068;750712184;1;4;0;4;24;1;1;24;566;0;0;26;1;1909;0;0;0;0;0;0;394;0;90;0;5;4;2;23;;18;1;;1;1;;;;3;;2;5;;2;22;;18.8;1;1.12;;;;;;;;;2;2;1;2;2;0;0;0;1;;0.2;1.5;1.5;0;0;0
PALIA;2019;940120017;750821092;1;6;;;110;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;940300031;940000706;1;8;0;0;71;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;940300494;940000896;1;4;0;0;1;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;950000307;950110015;1;16;0;0;105;1;1;10;304;;;;1;1673;;;2;;;;558;;139;6;2;;1;9;;6;1;3;;;;2;;;;;1.7;;0.7;11.4;;6;0.97;3;;;1;1;;;;;3;;;1;;;1;1;1.4;;0.3;1.9;;;1;0.5
PALIA;2019;950000315;950001370;1;2;;;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;950000323;950013870;1;18;6;;345;0;;;;;;;1;785;0;0;0;0;0;0;496;0;59;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;1;;;0;0;4;2;;0;;;1;1;1.26;0.57;;1;;;0.7;0.5
PALIA;2019;950000331;950110049;1;10;;;49;0;;;;;;;1;2039;0;1;28;14;14;0;372;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;1;2;0.4;;;2;;;0.52;0.52
PALIA;2019;950000349;950015289;1;5;0;0;103;0;;;;;;;1;1421;2;4;265;217;41;7;179;3;76;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;;;1;;;1;;;;;0.06;;;2.9;;1;0;
PALIA;2019;950000364;950110080;1;10;1;1;72;1;1;10;233;;;;1;54;1;1;;;;;280;;;;4;;;;;;;;2;;;;;;;;3.91;;;;;;;;1;;;;;;;;0;;;;;;;;0.8;;;;;;;
PALIA;2019;950000695;950001370;1;10;;;19;0;;;;;;;1;1238;3;3;543;241;302;0;120;0;47;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1.92;;;;
PALIA;2019;950300152;920030269;1;5;;;31;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;950300244;950000539;1;12;;;234;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;950300277;950000547;1;8;;;60;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;950300301;950000562;1;13;13;;300;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;950807982;950001636;1;4;;;132;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;970100020;970100152;1;15;10;;343;1;1;10;315;;;;0;;;;;;;;;;;;2;;1;10;2;13;1;;1;;;;;;;3;2.9;;1;10;2;13;1;1.8;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;970100392;970100178;0;;;;;0;;;;;;;1;1452;;;;;;;270;;50;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.8;0.5
PALIA;2019;970100442;970100228;0;;;;;0;;;;;;;1;443;;;;;;;856;;37;23;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;4;3;;1;1;;;;;;;;;2;2;;4;3;;1;1
PALIA;2019;970200044;970202164;1;5;;;76;0;;;;;;;1;187;5;0;82;75;7;0;84;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;0.4;;0.3;;;;0.5;
PALIA;2019;970211215;970211207;1;4;0;0;;0;;;;;;;1;1678;;5;;;;;378;;510;60;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;2;;;1;1;;;;;;;;;1.36;;0.5;1.91;;;1;1
PALIA;2019;970211249;970211207;0;;;;;1;1;11;294;;;;0;;;;;;;;;;;;3;;1;14;;16;1;3;;;;;;;;;2.7;;0.5;13.82;;15.67;0.69;3;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;970211256;970211207;1;4;0;4;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;970300026;970302022;1;9;0;0;242;0;;;;;;;1;3289;2;3;555;96;64;395;369;4;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0.74;0.25
PALIA;2019;970400024;970408589;1;2;;;36;0;;;;;;;1;1368;5;9;39;10;16;13;369;12;63;96;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;1;;1;1;2;2;;;;;;;2.2;2.2;;2;1;;1;1
PALIA;2019;970400057;970408589;1;6;;;32;0;;;;;;;1;1684;3;5;8;3;3;2;356;12;186;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;1;1;3;3;;;;;1;;2;2;;3;2;;1.5;1
PALIA;2019;970400065;970421038;0;;;;;0;;;;;;;1;522;3;6;688;299;21;368;304;9;82;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;2;;;;;2;1;1.2;1.2;;1;;;1;1
PALIA;2019;970423000;970430906;1;2;2;;116;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;970462107;970400305;1;6;;;25;1;1;6;131;;;;0;;;;;;;;;;;;;;;4;;4;;;3;;;1;;1;;;1;;;4.3;;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;010000024;010780054;1;10;2;0;26;1;1;10;248;;;;1;1062;35;5;1270;;;;603;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;010000065;010780096;0;;;;;1;1;10;186;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;010000214;010007987;1;10;;;134;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;010005239;010008407;0;;;;;0;;;;;;;1;539;1;1;36;14;2;20;125;;42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;010780195;010000156;1;4;;;82;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020000089;020000022;1;4;4;0;76;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020000097;020000048;0;;;;;1;1;8;159;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020000105;020000055;1;6;2;;29;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020000162;020000063;1;8;4;0;79;0;;;;;;;1;370;24;11;247;210;37;0;680;;60;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020000303;750814030;1;8;8;0;90;0;;;;;;;1;84;0;0;0;0;0;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020000394;020000253;1;7;0;0;125;0;;;;;;;1;3708;5;3;601;450;0;151;203;;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020000519;020000261;1;8;;;57;1;1;10;262;;;;1;2406;;;;;;;701;;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020000535;020000287;1;5;;;629;0;;;;;;;1;2668;2;0;584;157;427;0;242;;5;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020001061;020004404;1;6;0;0;151;0;;;;;;;1;156;0;0;0;0;0;0;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020001087;020004495;1;6;;;111;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;020010047;020001632;1;4;;;217;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2017;030000061;030780092;1;6;0;0;89;0;;;;;;;1;3486;3;2;33;0;16;17;544;;42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
