BOR;AN;nofinesset;nofinessej;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_B17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2020;050007533;130784127;0;1;0;9521;0;9116;0;0;;;;;;;;;;;;;;1;0;;405;9116;0;0;0;429;0;0;2;1;6;;4;1;2;1;;1;2.11;1.9;6.5;;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060000478;060780897;1;0;1;3857;0;3458;2676;0;1;;;;3452;0;21;3380;0;360;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;0;3366;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0.27;0.7;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
CANCERO;2020;060000510;060780954;1;0;0;2458;0;2145;3217;0;1;;;;2275;0;113;2074;0;299;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060000528;060780962;1;1;1;52164;0;47887;23293;0;1;;;;20525;0;1771;18168;0;2271;0;1;0;4;;3;1755;26078;695;310;348;1869;10;229;8;6;20;4;11;3;0;4;0;1;5.02;4.88;22.29;4.22;9.5;82;47;31;15;5056;18977;1649;1429;0;2;0;0;22918;3630;0;0;14;26;0;7;6.04;10.79;113;80;2;3;28;9;2;0;0;3;98.39;69.81;0.7;3.13;20.39
CANCERO;2020;060000544;060780988;1;0;1;3608;4;3205;2662;9;1;;;;3080;4;168;2836;9;340;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;3204;0;0;0;0;0;0;0;0;0;0;1;1;;;1;1;;;;;1;4;1;;;1;2.54;0.5;;;1.15
CANCERO;2020;060019627;060019551;0;1;0;59119;;56227;0;;;;;;;;;;;;;;;5;1;;2892;56227;2000;;;2688;0;;6;4;23;5;8;1;1;2;0;1;6.33;4.1;24.05;5;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060021342;060003621;0;1;0;19830;;18640;0;;;;;;;;;;;;;;;2;;0;1190;18640;;0;;1030;0;0;5;5;15;1;17;1;0;;;4;5.75;5;15;1;18.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060021417;060000221;0;0;0;530;0;413;693;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060024551;060780962;0;1;0;8579;;60;0;;;;;;;;;;;;;;;3;;0;1017;7562;0;0;0;749;45;0;3;6;8;2;6;0;1;3;1;2;2.59;6.28;11.28;2.68;7.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060780442;060000213;0;0;0;407;0;353;64;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
