BOR;AN;nofinesset;nofinessej;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2020;340000223;340011295;1;;14;;0;617;1201;1;1;3;3;2.95;2.95;;;;;6;3;3;;;6;1;4;2;;;6.8;2;5.4;4.6;;;7.71
MCOPED;2020;340022979;340000306;1;1;11;1;15;49;77;;;13;2;5;1;0;0;1;1;2;3;2;;;;;2;;;;1.66;;2.36;2;;;
MCOPED;2020;340780634;340000272;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2020;340782085;340780477;1;;16;4;985;1116;2657;10;6;4;2;6.48;4.67;0;1;1;1;15;58;41;;;12;1;6;4;;;14.78;8;50.61;36.57;;;17.84
MCOPED;2020;340785161;340780477;1;;39;6;696;3718;8967;6;1;48;15;18.45;7.04;1;1;1;1;15;58;41;;;9;1;6;4;;;14.78;8;50.61;36.57;;;17.84
MCOPED;2020;340796663;340780477;1;0;48;18;4648;3592;12045;24;21;41;36;27.19;25.43;0;0;1;1;15;51;32;2;3;16;5;13;11;;1;15.94;7;55.65;41.14;1.3;1.6;20.66
MCOPED;2020;350000147;350000022;1;0;12;2;253;997;1952;7;7;;;3.75;3.75;0;0;1;1;1;5;7;;;3;2;9;10;;;1.96;3;12.19;14.83;;;4
MCOPED;2020;350000154;350000030;1;1;5;1;8;505;1064;3;3;2;2;1.82;1.82;0;0;1;1;3;3;4;;;15;4;2;4;;;1.68;8;1.61;2.06;;;6.95
MCOPED;2020;350000162;350000048;1;0;9;1;16;517;1041;2;2;;;1.19;1.19;0;0;1;1;3;3;5;;;4;1;2;2;;;1.19;1;5.12;5.94;;;2.67
MCOPED;2020;350000188;350000055;1;0;5;0;0;428;665;2;2;1;1;3.35;3.35;0;0;1;1;2;11;3;0;0;4;;;;;;2.04;;10.51;4.47;0;0;3.82
MCOPED;2020;350007084;350005179;1;1;82;8;1177;6229;21029;69;29;22;7;19.13;5.51;;;;;41;50;42;;2;30;18;49;33;;6;52.93;12;84.36;65.67;;3.48;36.32
MCOPED;2020;360000137;360000053;1;0;11;0;0;706;2570;3;3;;;3;3;0;0;1;1;6;4;4;;;7;4;;3;;;9.8;2;2.85;7.47;;;6.81
MCOPED;2020;370000499;370000481;1;1;127;23;3227;6350;19743;74;32;37;17;74.75;36.14;0;0;1;1;91;39;51;;4;83;62;23;36;;3;120.92;49;46.69;73.04;;1.42;104.09
MCOPED;2020;380000034;380780049;1;1;20;;0;1596;3541;2;2;7;7;5.12;5.12;1;1;0;0;3;10;0;0;0;8;0;1;0;0;0;1.28;3;10.18;0;0;0;8.59
MCOPED;2020;380000067;380780080;1;1;91;23;5545;6980;22027;26;18;53;32;52.66;33.87;0;0;0;0;29;56;46;3;3;32;19;43;41;3;4;37.43;19;85.59;69.29;4.88;5.35;47.87
MCOPED;2020;380000174;380781435;1;1;14;2;94;942;1714;2;0;6;6;3.26;1.26;1;1;0;0;4;2;8;;;1;1;1;3;;;6.02;3;2.14;8.04;;;4.13
MCOPED;2020;380000406;380780080;1;0;11;1;197;899;1641;2;2;13;13;8.16;8.16;1;1;;;;4;5;;;3;4;3;2;;;3.58;;4.31;6.24;;0.25;3.01
MCOPED;2020;390000040;390780146;1;0;14;0;0;1014;2229;4;4;3;3;5;5;0;0;1;1;5;9;20;;;;3;6;9;;;3.55;2;6.85;5.27;;;1.79
MCOPED;2020;390000222;390780609;1;;15;1;37;899;2105;4;3;3;3;4.32;3.32;;;;;;3;3;;2;2;5;3;3;;;3.9;2;5.12;4.7;;1;2.55
MCOPED;2020;400000105;400780193;1;0;17;1;78;1331;2117;1;1;5;5;2.44;2.44;0;0;1;1;0;6;10;0;0;5;1;8;6;1;1;1.14;4;12.04;13.12;0.1;0.45;6.61
MCOPED;2020;400000139;400011177;1;1;16;2;585;746;1746;5;5;4;4;6.76;6.76;1;;0;;3;5;5;0;0;2;5;2;3;0;1;6.52;6;5.25;6.37;0;0.5;5.22
MCOPED;2020;410000020;410000087;1;1;12;4;226;1166;4178;0;0;9;9;4.08;4.08;1;1;0;0;0;0;0;0;0;0;21;19;2;0;0;8.92;25;7;0.63;0;0;9.35
MCOPED;2020;410000046;410000103;1;;8;0;0;634;1300;3;;;;2.6;;;;;;2;2;5;;;1;1;2;2;;;3.21;2;3.75;6.6;;;2
MCOPED;2020;420000010;420780033;1;1;22;0;0;1331;3286;9;9;3;2;3.57;3.26;1;1;0;0;6;4;12;1;;9;3;4;4;1;;7.84;3;8.48;12.64;0.14;;6.61
MCOPED;2020;420000226;420013831;1;0;8;0;0;482;744;1;1;3;2;2.35;2.25;0;0;1;1;1;3;3;0;0;0;6;3;6;0;0;3.91;13;4.92;6.83;0;0;4.95
MCOPED;2020;420000234;420780652;1;0;1;7;179;443;61;1;1;3;3;2.1;2.1;;;1;1;5;3;;;;2;;1;;;;4.03;;3.41;;;;1.81
MCOPED;2020;420782559;420784878;1;0;0;1;172;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2020;420785354;420784878;1;1;19;4;2162;4956;13121;31;23;8;5;14.93;11.21;0;0;1;1;;71;20;47;1;37;;11;4;14;2;;14;67.31;18.02;44.39;1.36;29.73
