BOR;AN;nofinesset;nofinessej;INTMED;INTPHA;INTODO;INTGEN;INTURG;DOCJU;FFI;INTTOT
Q22;2020;130002835;130789316;28;0;;2;10;;1;41
Q22;2020;130008048;130043169;1;;;;;;;1
Q22;2020;130008238;130044118;1;;;;;;;1
Q22;2020;130043664;130002157;3;3;;;;;;6
Q22;2020;130048341;130001852;1;;;;;;;1
Q22;2020;130780083;130000060;1;;;;;;;1
Q22;2020;130780521;130786049;163;19;;38;;6;15;241
Q22;2020;130781438;130000557;2;;;1;;;;3
Q22;2020;130781479;130000599;1;2;;1;;;;4
Q22;2020;130783236;130786049;115;29;1;22;;2;13;182
Q22;2020;130783293;130786049;228;55;24;41;;1;25;374
Q22;2020;130783764;920030269;;;;9;;;;9
Q22;2020;130784085;920030921;1;;;;;;;1
Q22;2020;130784234;130786049;78;7;;12;;6;1;104
Q22;2020;130784580;920030269;;;;1;;;;1
Q22;2020;130784598;130001852;2;;;;;;;2
Q22;2020;130784697;130001902;1;;;;;;;1
Q22;2020;130784812;130001985;;;;2;;;;2
Q22;2020;130785389;130002173;0;;;1;0;;;1
Q22;2020;130785652;130014228;13;3;;6;;;;22
Q22;2020;130786742;750821092;26;0;0;25;3;;8;62
Q22;2020;130786924;130037815;3;;;;;1;;4
Q22;2020;130786932;130002660;;;;1;;;;1
Q22;2020;130789159;920030269;;;;2;;;;2
Q22;2020;130804297;130786049;65;1;;7;;1;17;91
Q22;2020;130809015;130001928;;1;;5;;;4;10
Q22;2020;130811102;130007487;2;;;;;;;2
Q22;2020;140000027;140000035;19;2;0;17;6;;7;51
Q22;2020;140000076;140000092;4;;;;;1;;5
Q22;2020;140000209;140000100;319;36;;40;;16;19;430
