BOR;AN;nofinesset;nofinessej;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT;CONS_MED_INT_HORSPSY;CONS_MED_INT_PSY;CONS_IDE_INT;CONS_TOT_INT;CAS_RSP_INT;FILACT_INT;dt_NOUV_INT;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT;CONS_MED_EXT_HORSPSY;CONS_MED_EXT_PSY;CONS_IDE_EXT;CONS_TOT_EXT;CAS_RSP_EXT;FILACT_EXT;dt_NOUV_EXT;CONS_PSY18;ACT_INF18;CONS_MED18;CONS_MED18_HORSPSY;CONS_MED18_PSY;CONS_IDE18;CONS_TOT18;CAS_RSP18;FILACT18;dt_NOUV18;SEJ;HOSP;CAS_RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_IDE;EFFPL_IDEDOU;EFFPL_PSY;EFFPL_PNMAUT;EFFPA_PM;EFFPA_PMDOU;EFFPA_IDE;EFFPA_IDEDOU;EFFPA_PSY;EFFPA_PNMAUT;EFFPA1_PM;EFFPA1_PMDOU;EFFPA1_IDE;EFFPA1_IDEDOU;EFFPA1_PSY;EFFPA1_PNMAUT;EFFPA2_PM;EFFPA2_PMDOU;EFFPA2_IDE;EFFPA2_IDEDOU;EFFPA2_PSY;EFFPA2_PNMAUT;EFFPA3_PM;EFFPA3_PMDOU;EFFPA3_IDE;EFFPA3_IDEDOU;EFFPA3_PSY;EFFPA3_PNMAUT;ETP_PM;ETP_PMDOU;ETP_IDE;ETP_IDEDOU;ETP_PSY;ETP_PNMAUT
DOULEUR;2020;140016759;140003146;Consultation;;;40;40;;113;153;;;;3697;7100;2832;2832;;572;7101;60;2137;805;;;0;;;;;;;;0;0;60;1;1;5;1;1;4;2;2;4;2;2;3;;;;;;;1;1;;;1;2;1;1;4;2;1;1;1.25;1.25;8;2.75;2;5
DOULEUR;2020;140024886;140000092;Centre;31;267;278;278;0;91;400;;145;27;545;694;2446;2446;0;45;3036;254;895;86;0;4;12;12;0;1;13;;8;;321;192;124;1;1;1;1;;1;10;4;2;2;2;2;6;1;;;;;2;1;;;1;2;2;2;2;2;1;;3.26;2.6;2.2;2.2;0.82;1.5
DOULEUR;2020;150000040;150780096;Consultation;1;;60;60;;12;73;2;64;60;213;;713;713;;1111;2037;87;457;210;;;24;24;;83;107;4;16;8;0;0;6;2;1;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;1;1;0.8;0.6;0.98;;0.5;0.5
DOULEUR;2020;160000253;160000451;Consultation;;;0;;;;;;;;119;378;1278;952;326;1581;2978;0;471;176;;;0;;;;;;;;0;0;0;2;;3;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;0.7;;0.8;;0.36;0.5
DOULEUR;2020;160013207;160001632;Consultation;;;12;12;;;12;;;;105;392;1574;1574;;532;2211;236;406;236;;;0;;;;;;;;0;0;;1;1;;;;1;2;;1;1;1;2;2;;;;;2;;;;;1;;;;1;1;;;1.2;1;0.95;0.95;0.3;1.15
DOULEUR;2020;170000087;170024194;Consultation;;19;23;23;;19;42;23;;;20;196;1253;1253;;172;1445;285;499;252;;;0;;;;;;;;107;65;61;1;1;;;;;1;1;1;;1;1;;;;;;;;;;;;;1;1;1;;1;1;1.5;1.5;0.77;;0.37;0.5
DOULEUR;2020;170000103;170780175;Consultation;;5;0;;;;;;;;0;0;417;417;;263;680;19;261;51;;;0;;;;;;;;0;0;;;;17;;1;1;;;5;;;2;;;;;;;;;;;;;;;5;;;2;0.28;;0.56;;0.5;1.93
DOULEUR;2020;180000010;180000028;Consultation;2;59;76;76;;17;95;;27;27;456;488;1848;1848;;488;2792;340;1203;320;;;0;;;;;;;;0;0;340;1;1;1;1;;;;;;;2;1;;;;;;;;;;;;;;;;;2;1;1;1;1;1;0.96;0.9
DOULEUR;2020;190000018;190000042;Consultation;42;1098;294;294;0;0;336;;162;160;713;1483;1686;1686;0;0;2399;;901;437;1;4;72;72;0;0;73;;44;23;0;0;;2;1;2;;1;1;;;1;;;;;;;;;;;;;;;;;;1;;;;1.35;1;2.24;;0.55;0.53
DOULEUR;2020;210987558;210780581;Centre;;;0;;;;;;;;411;;2028;2028;;1666;4105;;1638;1147;;;0;;;;;;;;0;0;22;3;;2;;1;2;2;;;;;;1;;;;;;1;;;;;;;;;;;;2.2;;1;;0.5;1.5
DOULEUR;2020;210987731;210780417;Centre;;;291;283;8;;291;;;59;;;2234;2069;165;;2234;;957;677;;;0;;;;;;;;456;305;81;1;1;;;;;6;4;;;;;;;;;;;6;4;;;;;;;;;;;2.2;1.8;;;;
DOULEUR;2020;220000012;220000020;Consultation;0;70;492;492;0;158;650;;457;143;235;299;1209;1209;0;448;1892;;771;492;1;1;15;15;0;1;17;;10;6;0;0;;;;;;;;5;2;2;2;1;;3;1;;;;;1;;;;1;;1;1;2;2;;;0.92;0.52;2.1;1.65;0.3;
DOULEUR;2020;220012884;220000103;Consultation;;;0;;;;;;;;157;307;1153;1153;;;1310;;801;153;;;0;;;;;;;;;;;;;;;;;4;4;1;;1;2;3;3;;;;2;1;1;;;1;;;;1;;;;0.58;0.58;0.5;;0.3;0.2
DOULEUR;2020;230000820;230780041;Consultation;;;0;;;;;;;;248;156;736;736;0;415;1399;15;379;170;;;0;;;;;;;;168;133;16;;;1;;;;1;1;1;;1;2;;;;;;;;;;;;2;1;1;1;;1;;0.5;0.5;1.48;;0.4;0.53
DOULEUR;2020;240000372;240000059;Consultation;;;0;;;;;;;;0;0;256;256;0;0;256;0;193;65;;;0;;;;;;;;0;0;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0.1
DOULEUR;2020;240000489;240000117;Consultation;0;227;144;144;;104;248;144;20;15;0;731;492;492;;594;1086;72;302;152;0;10;14;14;;14;28;9;5;5;0;0;7;;;2;;;0;2;;0;;;1;1;;;;;;;;;;;1;1;;;;;;0.86;;2;;;0.25
DOULEUR;2020;240000687;240000448;Consultation;0;0;0;;0;0;0;0;;;0;11;68;68;0;0;68;0;48;32;;;0;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0.1;0;0.8;0.8;0;0
DOULEUR;2020;250000700;250000452;Consultation;;;17;17;;;17;;;;430;585;1871;1871;;;2301;34;472;118;;;0;;;;;;;;0;0;;1;1;;;;1;1;;1;1;;2;;;;;;;;;;;;;1;;1;1;;2;1.05;1;0.5;0.5;;0.57
DOULEUR;2020;250006954;250000015;Centre;10;;108;108;0;0;118;0;70;107;404;;2099;1990;109;201;2704;80;1330;943;29;;446;444;2;0;475;5;135;33;1365;640;8;;;2;2;;2;4;4;2;2;2;5;;;0;0;;1;;;0;0;;1;4;4;2;2;2;3;1.46;1.46;2.25;2.25;0.96;3.03
DOULEUR;2020;260000013;260000021;Consultation;122;;55;55;0;60;237;20;;20;914;1176;1854;1854;0;882;3650;130;797;380;;;5;5;0;;5;0;;;0;0;24;;;1;1;;1;4;4;2;2;2;1;;;;;;1;1;1;;;1;;3;3;;;1;1;1.4;1.4;2;2;1.1;1.2
DOULEUR;2020;270000359;270023724;Consultation;57;201;674;674;;;731;;206;119;434;;926;926;;429;1789;11;715;220;0;2;49;49;;16;65;4;27;18;0;0;10;;;;;;;5;1;3;1;3;4;1;;;;;;2;;;;3;1;2;1;3;1;;3;1.8;0.5;1.5;0.5;0.75;1.7
DOULEUR;2020;270000458;270023724;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2020;280000084;280000183;Consultation;16;67;16;16;;;32;;67;11;875;1394;847;847;;;1722;;676;369;;;0;;;;;;;;0;0;78;;;;;;;4;3;4;1;2;1;;;1;;1;;3;3;1;;;;1;;2;1;1;1;1.1;0.6;1.39;0.5;0.59;0.8
DOULEUR;2020;280504267;280000134;Consultation;20;11;6;6;0;;26;;25;20;592;718;1174;1174;0;;1766;;777;360;3;9;14;14;0;;17;;5;5;0;0;;2;2;1;1;;1;3;3;;;1;;1;1;;;;;2;2;;;;;;;;;1;;1.09;1.09;0.92;0.92;0.95;1
DOULEUR;2020;290000025;290020700;Consultation;15;212;11;11;;;26;23;10;9;125;382;2066;1938;128;;2191;19;933;397;0;2;1;1;;;1;6;1;1;0;0;155;;;14;;0;18;8;2;5;;1;11;5;;0;;0;0;0;;;;1;1;3;2;5;;0;10;2.45;1.4;16.94;;0.37;24.23
DOULEUR;2020;290000033;290021542;Consultation;;;6;6;;;6;;6;2;93;;479;479;;148;720;;290;242;;;3;3;;1;4;;3;2;0;0;;;;1;1;1;0;1;1;0;0;0;1;;;;;;;;;;;;;1;1;;;;1;0.53;0.53;0.2;0.2;0.55;0.5
DOULEUR;2020;290000728;750821092;Consultation;;5;17;17;;3;20;;13;;;65;540;503;37;65;605;2;297;174;;;2;2;;;2;;1;;0;0;;;;;;;;3;1;1;;;2;2;;;;;;;;;;;;1;1;1;;;2;0.7;0.5;0.1;;;0.2
DOULEUR;2020;290004324;290000017;Centre;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;396;137;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1.23;;;;;
DOULEUR;2020;2A0000022;2A0000014;Consultation;0;0;0;0;0;0;0;0;0;0;315;288;2350;1660;690;0;2665;0;697;351;0;0;0;0;0;0;0;0;0;0;0;0;148;2;;;;1;2;4;;1;1;;;1;;;;;;1;;;;;;2;;1;1;;;0.95;;0.7;0.7;0.5;0.7
DOULEUR;2020;300000023;300780046;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;0;0;;;;;2;0;;;;;2;;;;;;0;;;;;;0;;;;;;0.2;0;;;;
DOULEUR;2020;300780152;300017985;Consultation;173;536;470;470;0;;643;;200;100;699;1595;1482;1482;0;;2181;90;500;250;;;0;;0;;0;;;;0;0;30;;;1;1;0;;2;2;0;1;0;2;;;0;;0;;1;1;;;0;;1;1;;1;0;2;1.7;1.3;1;1.48;0;1.2
DOULEUR;2020;300782117;300780038;Centre;;1095;406;406;;;406;;281;248;656;414;7114;7114;;;7770;416;3074;1512;20;;19;19;;;39;;37;21;4944;1608;120;5;5;7;;1;10;2;2;;;;1;;;;;;;1;1;;;;;1;1;;;;1;3.85;3.85;6.33;;1.33;8.38
