BOR;AN;nofinesset;nofinessej;PN_A1;PN_A2;PN_A3;PN_A4;PN_A5;PN_A6;PN_A7;PN_A73;PN_A8;PN_A9;PN_A74;PN_A10;PN_A11;PN_A12;PN_A13;PN_A75;PN_A14;PN_A15;PN_A16;PN_A17;PN_A18;PN_A19;PN_A20;PN_A21;PN_A22;PN_A23;PN_A24;PN_A25;PN_B25;PN_A26;PN_A27;PN_A28;PN_A29;PN_A30;PN_A31;PN_A32;PN_A33;PN_A34;PN_B30;PN_B31;PN_B32;PN_B33;PN_B34;PN_C30;PN_C31;PN_C32;PN_C33;PN_C34;PN_A35;PN_A36;PN_A37;PN_A38;PN_A39;PN_A40;PN_A41;PN_A42;PN_A43;PN_A44;PN_A45;PN_A46;PN_A47;PN_A48;PN_A49;PN_A50;PN_A51;PN_A53;PN_A54;PN_A55;PN_A56;PN_A57;PN_A58;PN_A59;PN_A60;PN_A61;PN_A62;PN_A63;PN_A64;PN_A65;PN_A66
PN;2020;040780470;040000192;0.5;0.1;251;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040780488;040000200;0.14;0.12;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040780520;750056335;0.35;0.05;18;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040782021;130037815;0.1;0.05;35;0;;;;;0;0;;;;;;;;;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;1;10;43;2511;0;;;;1;4;1;1;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040784860;920033503;0.1;0.1;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000041;130037815;0.2;0.08;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;32;14;;;0;;;;
PN;2020;050000058;050000033;0.2;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000066;050000082;0.01;0.3;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000090;050006931;0.2;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2007;1300;40;1;20;4;;4;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.1;0;;;;0;;;;;0;;;;
PN;2020;050000132;050007145;0.7;0.7;427;1;2.4;104;0;1;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;855;295;;;0;;;;
PN;2020;050000231;050000116;0.8;0.2;219;1;2.65;;1;0;0;0;;;;;;;;;;0;;;0;;;1;1;1;;105;20;1;;1;;;;;;;;;;0.2;;;;;0;;;;0;;;;0;;;;1;7;181;1;0.2;1;1.5;;;1;;;;0.5;0;;;;
PN;2020;050000256;050000124;0.5;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;64;22;17;;0;;;;
PN;2020;050000298;050000496;0.55;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000330;050007145;;;2;1;2.4;104;0;1;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;855;;;2;0;;;;
PN;2020;050000348;050002948;1.96;0.78;1470;1;2.25;450;1;;0;1;;;763;32;57;217;83;125;1;0;;;1;1117;552;1;1;1;10/02/2008;349;173;1;;0;0;0;1;1;2;1;1;6;3;0.6;0.4;0.2;3.5;2.5;1;10;83;2462;1;12;6;3996;0;;;;1;20;1414;1;2.51;1;0.6;670;199;1;1657;462;30;1.96;0;;;;
PN;2020;050000371;050003508;0.22;0.15;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000454;050000645;0.13;0.04;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000488;050000678;0.22;0.11;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000637;050001163;0.2;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000991;050000546;0.5;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;2981;423;10;3.78;0;;;;
PN;2020;050001064;050000561;0.05;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050002351;130037815;0.2;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;060000296;060780640;0.06;0.06;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;060000304;060780657;0.08;0.04;14;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;060000478;060780897;;2;506;1;2.6;371;1;0;1;1;;575;3759;867;1895;;2270;;3;0;;;0;;;1;1;1;27/11/2012;443;213;1;90;4;4;;;;;;;;;0.63;0.63;;;;0;;;;0;;;;0;;;;1;3;684;1;1;1;0.8;448;46;1;3203;453;;5.37;0;;;;
