BOR;AN;nofinesset;nofinessej;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2020;020016242;590799995;1130X;;;;8;33;4944;;;;;
DIALYSE;2020;020017075;590799995;1130X;;;;6;14;2095;;;;;
DIALYSE;2020;020017075;590799995;1140X;;;;2;2;338;;;;;
DIALYSE;2020;030000061;030780092;112BA;;;;12;49;6943;;;;;
DIALYSE;2020;030000061;030780092;TOT;0;;;;;;660;1;;32;0
DIALYSE;2020;030000079;030780100;112BA;;;;16;61;7902;;;;;
DIALYSE;2020;030000079;030780100;122BA;;;;2;0;;;;30;;
DIALYSE;2020;030000079;030780100;TOT;0;;;;;;624;;;38;3
DIALYSE;2020;030000087;030780118;112AX;;;;1;0;105;;;;;
DIALYSE;2020;030000087;030780118;112BA;;;;8;41;7553;;;;;
DIALYSE;2020;030000087;030780118;1130X;;;;4;28;4143;;;;;
DIALYSE;2020;030000087;030780118;1140X;;;;6;13;2212;;;;;
DIALYSE;2020;030000087;030780118;1150A;;;;7;0;1592;;;;;
DIALYSE;2020;030000087;030780118;1210;;;;;15;;;;2897;;
DIALYSE;2020;030000087;030780118;121AA;;;;;15;;;;2279;;
DIALYSE;2020;030000087;030780118;121CA;;;;3;;;;;618;;
DIALYSE;2020;030000087;030780118;122AX;;;;2;;;;;553;;
DIALYSE;2020;030000087;030780118;122BA;;;;4;1;;;;1054;;
DIALYSE;2020;030000087;030780118;TOT;0;;;;;;1228;;;31;14
DIALYSE;2020;030000087;030780118;VACAN;;;;1;0;0;;;;;
DIALYSE;2020;030003669;630000990;112AX;;;;1;3;239;;;;;
DIALYSE;2020;030003669;630000990;1130X;;;;8;23;3174;;;;;
DIALYSE;2020;030003669;630000990;1140X;;;;4;18;2865;;;;;
DIALYSE;2020;030003669;630000990;1150A;;;;1;1;360;;;;;
DIALYSE;2020;030003669;630000990;1210;;;;;17;;;;898;;
DIALYSE;2020;030003669;630000990;121AA;;;;;16;;;;841;;
DIALYSE;2020;030003669;630000990;121CA;;;;3;1;;;;57;;
DIALYSE;2020;030003669;630000990;122AX;;;;0;1;;;;82;;
DIALYSE;2020;030003669;630000990;TOT;0;;;;;;;;;8;1
DIALYSE;2020;030003719;630000990;112AX;;;;1;0;140;;;;;
DIALYSE;2020;030003719;630000990;1130X;;;;6;32;4679;;;;;
DIALYSE;2020;030003719;630000990;1140X;;;;1;0;130;;;;;
DIALYSE;2020;030003719;630000990;TOT;0;;;;;;;;;20;0
DIALYSE;2020;030003768;630000990;112AX;;;;1;2;105;;;;;
DIALYSE;2020;030003768;630000990;1130X;;;;3;28;4143;;;;;
DIALYSE;2020;030003768;630000990;1140X;;;;6;13;2212;;;;;
DIALYSE;2020;030003768;630000990;1150A;;;;5;6;1598;;;;;
DIALYSE;2020;030003768;630000990;1210;;;;;54;;;;2680;;
DIALYSE;2020;030003768;630000990;121AA;;;;;44;;;;2146;;
DIALYSE;2020;030003768;630000990;121CA;;;;8;10;;;;534;;
DIALYSE;2020;030003768;630000990;TOT;0;;;;;;;;;25;14
