BOR;AN;nofinesset;nofinessej;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2019;910020254;910002773;121CA;;;;2;18;;;;936;;
DIALYSE;2019;910020254;910002773;122AX;;;;2;2;;;;46;;
DIALYSE;2019;910020254;910002773;122BA;;;;2;2;;;;143;;
DIALYSE;2019;910020254;910002773;TOT;0;;;;;;2418;2;;59;11
DIALYSE;2019;910022037;940000060;112AX;;;;2;2;136;;;;;
DIALYSE;2019;910022037;940000060;1130X;;;;12;22;2631;;;;;
DIALYSE;2019;910150010;910014919;112AX;;;;2;0;62;;;;;
DIALYSE;2019;910150010;910014919;112BA;;;;18;71;10562;;;;;
DIALYSE;2019;910150010;910014919;1130X;;;;12;11;1633;;;;;
DIALYSE;2019;910150010;910014919;1150A;;;;9;6;1472;;;;;
DIALYSE;2019;910150010;910014919;TOT;0;;;;;;279;2;;1;0
DIALYSE;2019;910300144;910000447;112AX;;;;1;2;53;;;;;
DIALYSE;2019;910300144;910000447;112BA;;;;17;153;22558;;;;;
DIALYSE;2019;910300144;910000447;112BE;;;;0;0;34;;;;;
DIALYSE;2019;910300144;910000447;1130X;;;;12;38;5942;;;;;
DIALYSE;2019;910300144;910000447;1140X;;;;8;5;711;;;;;
DIALYSE;2019;910300144;910000447;TOT;0;;;;;;455;;;;
DIALYSE;2019;910300219;910003888;112BA;;;;13;81;11054;;;;;
DIALYSE;2019;910300219;910003888;122AX;;;;15;0;;;;172;;
DIALYSE;2019;910300219;910003888;TOT;0;;;;;;406;;;;
DIALYSE;2019;910803543;910017615;112AX;;;;1;1;64;;;;;
DIALYSE;2019;910803543;910017615;112BA;;;;16;333;16196;;;;;
DIALYSE;2019;910803543;910017615;1130X;;;;8;55;2865;;;;;
DIALYSE;2019;910803543;910017615;1140X;;;;6;18;940;;;;;
DIALYSE;2019;910803543;910017615;1150A;;;;;;296;;;;;
DIALYSE;2019;910803543;910017615;1210;;;;;9;;;;1;;
DIALYSE;2019;910803543;910017615;121AA;;;;;8;;;;;;
DIALYSE;2019;910803543;910017615;121CA;;;;1;1;;;;1;;
DIALYSE;2019;910803543;910017615;122AX;;;;1;2;;;;47;;
DIALYSE;2019;910803543;910017615;TOT;0;;;;;;659;1;;40;6
DIALYSE;2019;910813963;940000060;112AX;;;;1;3;357;;;;;
DIALYSE;2019;910813963;940000060;1130X;;;;6;34;4950;;;;;
DIALYSE;2019;910813963;940000060;1140X;;;;4;20;3034;;;;;
DIALYSE;2019;910813963;940000060;TOT;0;;;;;;0;1;;6;
DIALYSE;2019;910814144;750806853;1140X;;;;6;19;2357;;;;;
DIALYSE;2019;910814144;750806853;TOT;0;;;;;;;;;5;
DIALYSE;2019;910814144;750806853;VACAN;;;;;;6;;;;;
DIALYSE;2019;920000619;920009909;112BA;;;;16;57;8060;;;;;
DIALYSE;2019;920000619;920009909;1130X;;;;4;1;224;;;;;
DIALYSE;2019;920000619;920009909;122AX;;;;2;2;;;;5;;
DIALYSE;2019;920000619;920009909;TOT;0;;;;;;206;1;;23;1
DIALYSE;2019;920000650;920150059;112BA;;;;12;54;6064;;;;;
DIALYSE;2019;920000650;920150059;TOT;0;;;;;;1036;;;;
DIALYSE;2019;920000684;920150091;TOT;0;;;;;;85;;;;
DIALYSE;2019;920004959;920004918;1140X;;;;12;24;3609;;;;;
DIALYSE;2019;920022704;920025012;1140X;;;;12;23;3271;;;;;
DIALYSE;2019;920025210;750806853;112AX;;;;1;1;466;;;;;
DIALYSE;2019;920025210;750806853;1130X;;;;8;36;5133;;;;;
DIALYSE;2019;920025210;750806853;1150A;;;;23;23;5184;;;;;
DIALYSE;2019;920025210;750806853;TOT;0;;;;;;;;;25;
DIALYSE;2019;920025210;750806853;VACAN;;;;;;64;;;;;
DIALYSE;2019;920100013;750712184;112BA;;;;10;43;5800;;;;;
DIALYSE;2019;920100013;750712184;122AX;;;;0;;;;;65;;
DIALYSE;2019;920100013;750712184;122BA;;;;1;3;;;;;;
DIALYSE;2019;920100013;750712184;TOT;0;;;;;;1059;2;;49;12
DIALYSE;2019;920100039;750712184;TOT;0;;;;;;86;;;;
DIALYSE;2019;920100047;750712184;TOT;0;;;;;;16;;;;
DIALYSE;2019;920300043;920001526;112BA;;;;16;98;15076;;;;;
DIALYSE;2019;920300043;920001526;1130X;;;;8;24;3757;;;;;
DIALYSE;2019;920300043;920001526;TOT;0;;;;;;444;;;;
DIALYSE;2019;920300415;920000890;112BA;;;;20;128;16834;;;;;
DIALYSE;2019;920300415;920000890;1130X;;;;8;4;556;;;;;
DIALYSE;2019;920300415;920000890;TOT;0;;;;;;46;1;;77;
DIALYSE;2019;920300753;920810736;112BA;;;;20;81;10801;;;;;
DIALYSE;2019;920300753;920810736;1130X;;;;12;11;1564;;;;;
DIALYSE;2019;920300753;920810736;1210;;;;;20;;;;1007;;
DIALYSE;2019;920300753;920810736;121AA;;;;;8;;;;499;;
DIALYSE;2019;920300753;920810736;121CA;;;;2;12;;;;508;;
DIALYSE;2019;920300753;920810736;122AX;;;;1;;;;;61;;
DIALYSE;2019;920300753;920810736;TOT;0;;;;;;893;;;16;12
DIALYSE;2019;920300787;920000981;112BA;;;;12;44;6272;;;;;
DIALYSE;2019;920300787;920000981;1130X;;;;8;1;369;;;;;
DIALYSE;2019;920300787;920000981;TOT;0;;;;;;134;;;10;
DIALYSE;2019;920300837;920001005;112BA;;;;15;82;9889;;;;;
DIALYSE;2019;920300837;920001005;1130X;;;;5;16;1419;;;;;
DIALYSE;2019;920300837;920001005;TOT;0;;;;;;4;;;;
DIALYSE;2019;920811775;940000060;112AX;;;;1;0;98;;;;;
DIALYSE;2019;920811775;940000060;1130X;;;;11;46;6203;;;;;
DIALYSE;2019;920811775;940000060;1140X;;;;4;18;2187;;;;;
DIALYSE;2019;920811775;940000060;TOT;0;;;;;;0;1;;2;
DIALYSE;2019;930000302;930110036;112AX;;;;10;22;682;;;;;
DIALYSE;2019;930000302;930110036;112BA;;;;20;217;10517;;;;;
DIALYSE;2019;930000302;930110036;1130X;;;;10;11;1066;;;;;
DIALYSE;2019;930000302;930110036;122AX;;;;10;2;;;;231;;
DIALYSE;2019;930000302;930110036;TOT;0;;;;;;871;;;;
DIALYSE;2019;930000328;930110051;TOT;0;;;;;;229;;;;
DIALYSE;2019;930003355;930003330;1140X;;;;18;36;5154;;;;;
DIALYSE;2019;930003942;940000060;1140X;;;;17;54;8602;;;;;
DIALYSE;2019;930003942;940000060;TOT;0;;;;;;;;;1;
DIALYSE;2019;930014428;930014378;112AX;;;;2;0;135;;;;;
DIALYSE;2019;930014428;930014378;112BA;;;;18;74;10886;;;;;
DIALYSE;2019;930014428;930014378;1130X;;;;20;77;11198;;;;;
DIALYSE;2019;930014428;930014378;1140X;;;;12;11;1447;;;;;
DIALYSE;2019;930014428;930014378;1150A;;;;5;5;1408;;;;;
DIALYSE;2019;930014428;930014378;1210;;;;;3;;;;174;;
DIALYSE;2019;930014428;930014378;121AA;;;;;2;;;;161;;
DIALYSE;2019;930014428;930014378;121CA;;;;1;1;;;;13;;
DIALYSE;2019;930014428;930014378;122AX;;;;1;0;;;;37;;
DIALYSE;2019;930014428;930014378;122BA;;;;1;1;;;;2;;
DIALYSE;2019;930014428;930014378;TOT;0;;;;;;0;1;;43;1
DIALYSE;2019;930014428;930014378;VACAN;;;;0;1;311;;;;;
DIALYSE;2019;930018460;940000060;1140X;;;;17;60;9063;;;;;
DIALYSE;2019;930018460;940000060;TOT;0;;;;;;;;;2;
DIALYSE;2019;930022603;940000060;1130X;;;;12;69;10398;;;;;
DIALYSE;2019;930022603;940000060;TOT;0;;;;;;0;;;12;
DIALYSE;2019;930025127;930026562;1140X;;;;22;86;13765;;;;;
DIALYSE;2019;930025127;930026562;TOT;0;;;;;;;2;;7;
DIALYSE;2019;930100037;750712184;TOT;0;;;;;;58;;;;
DIALYSE;2019;930100045;750712184;TOT;0;;;;;;7;;;;
DIALYSE;2019;930300025;930000393;112BA;;;;15;89;12746;;;;;
DIALYSE;2019;930300025;930000393;1130X;;;;8;36;5586;;;;;
DIALYSE;2019;930300025;930000393;TOT;0;;;;;;10;;;;
DIALYSE;2019;930300066;930000401;112AX;;;;2;0;0;;;;;
DIALYSE;2019;930300066;930000401;112BA;;;;46;229;33169;;;;;
DIALYSE;2019;930300066;930000401;1130X;;;;8;29;4458;;;;;
DIALYSE;2019;930300066;930000401;TOT;0;;;;;;601;2;;89;0
DIALYSE;2019;930300587;930000641;112BA;;;;26;120;17984;;;;;
DIALYSE;2019;930300587;930000641;1130X;;;;4;16;2049;;;;;
DIALYSE;2019;930300587;930000641;1150A;;;;;1;79;;;;;
DIALYSE;2019;930300587;930000641;TOT;0;;;;;;149;1;;;
DIALYSE;2019;930300595;930000658;112AX;;;;2;0;2;;;;;
DIALYSE;2019;930300595;930000658;112BA;;;;24;110;15637;;;;;
DIALYSE;2019;930300595;930000658;1130X;;;;8;8;1150;;;;;
DIALYSE;2019;930300595;930000658;1140X;;;;6;8;658;;;;;
DIALYSE;2019;930300595;930000658;TOT;0;;;;;;469;24;;;0
DIALYSE;2019;930813910;750806853;1140X;;;;5;25;3109;;;;;
DIALYSE;2019;930813910;750806853;TOT;0;;;;;;;;;7;
DIALYSE;2019;930813910;750806853;VACAN;;;;;;49;;;;;
DIALYSE;2019;930815618;750806853;112AX;;;;2;6;785;;;;;
DIALYSE;2019;930815618;750806853;1130X;;;;24;139;19848;;;;;
DIALYSE;2019;930815618;750806853;1140X;;;;16;43;6859;;;;;
DIALYSE;2019;930815618;750806853;1150A;;;;10;10;2262;;;;;
DIALYSE;2019;930815618;750806853;TOT;0;;;;;;;;;58;
DIALYSE;2019;930815618;750806853;VACAN;;;;;;71;;;;;
DIALYSE;2019;930816079;930817325;1140X;;;;10;39;5510;;;;;
DIALYSE;2019;930816079;930817325;1150A;;;;1;1;363;;;;;
DIALYSE;2019;930817333;930817325;112AX;;;;1;4;1145;;;;;
DIALYSE;2019;930817333;930817325;112BA;;;;20;88;13444;;;;;
DIALYSE;2019;930817333;930817325;1130X;;;;20;104;13986;;;;;
DIALYSE;2019;930817333;930817325;1140X;;;;12;44;7204;;;;;
DIALYSE;2019;930817333;930817325;1150A;;;;1;1;363;;;;;
DIALYSE;2019;930817333;930817325;TOT;0;;;;;;0;2;;;
DIALYSE;2019;930817606;930705827;1140X;;;;18;66;8526;;;;;
DIALYSE;2019;940000078;940000060;112AX;;;;1;3;548;;;;;
DIALYSE;2019;940000078;940000060;1130X;;;;17;87;12667;;;;;
DIALYSE;2019;940000078;940000060;1140X;;;;1;5;719;;;;;
DIALYSE;2019;940000078;940000060;TOT;0;;;;;;0;1;;9;
DIALYSE;2019;940006679;940017338;112AX;;;;1;0;24;;;;;
DIALYSE;2019;940006679;940017338;112BA;;;;20;78;11681;;;;;
DIALYSE;2019;940006679;940017338;1130X;;;;7;12;1683;;;;;
DIALYSE;2019;940006679;940017338;1140X;;;;6;4;529;;;;;
DIALYSE;2019;940006679;940017338;TOT;0;;;;;;;1;;26;
DIALYSE;2019;940016868;940016819;112AX;;;;6;0;18;;;;;
DIALYSE;2019;940016868;940016819;112BA;;;;20;2;10638;;;;;
DIALYSE;2019;940016868;940016819;1130X;;;;7;2;4679;;;;;
DIALYSE;2019;940016868;940016819;1140X;;;;6;;;;;;;
DIALYSE;2019;940016868;940016819;122AX;;;;2;4;;;;366;;
DIALYSE;2019;940016868;940016819;122BA;;;;2;3;;;;365;;
DIALYSE;2019;940016868;940016819;TOT;0;;;;;;894;;;;
DIALYSE;2019;940019375;940000060;1140X;;;;6;0;139;;;;;
DIALYSE;2019;940100027;750712184;112BA;;;;12;161;5671;;;;;
DIALYSE;2019;940100027;750712184;TOT;0;;;;;;2485;;;66;
DIALYSE;2019;940100043;750712184;112BA;;;;11;40;4926;;;;;
DIALYSE;2019;940100043;750712184;1210;;;;;10;;;;748;;
DIALYSE;2019;940100043;750712184;121AA;;;;;5;;;;200;;
DIALYSE;2019;940100043;750712184;121CA;;;;2;5;;;;548;;
DIALYSE;2019;940100043;750712184;122AX;;;;2;1;;;;94;;
DIALYSE;2019;940100043;750712184;122BA;;;;1;0;;;;40;;
DIALYSE;2019;940100043;750712184;TOT;0;;;;;;1898;3;;10;9
DIALYSE;2019;940300031;940000706;112BA;;;;16;;11715;;;;;
DIALYSE;2019;940300031;940000706;1130X;;;;16;;2321;;;;;
DIALYSE;2019;940300031;940000706;TOT;0;;;;;;200;;;;
DIALYSE;2019;940300270;940000771;112BA;;;;17;76;10819;;;;;
DIALYSE;2019;940300270;940000771;1130X;;;;17;15;2240;;;;;
DIALYSE;2019;940300270;940000771;TOT;0;;;;;;298;;;;
DIALYSE;2019;940300445;940000854;112AX;;;;2;15;78;;;;;
DIALYSE;2019;940300445;940000854;112BA;;;;10;318;15295;;;;;
DIALYSE;2019;940300445;940000854;1130X;;;;8;56;3272;;;;;
DIALYSE;2019;940300445;940000854;1140X;;;;6;;1704;;;;;
DIALYSE;2019;940300445;940000854;TOT;0;;;;;;353;;;;
DIALYSE;2019;940300494;940000896;112BA;;;;44;180;27135;;;;;
DIALYSE;2019;940300494;940000896;1130X;;;;32;35;5299;;;;;
DIALYSE;2019;940300494;940000896;TOT;0;;;;;;831;0;;;
DIALYSE;2019;940813017;940000060;112AX;;;;1;4;705;;;;;
DIALYSE;2019;940813017;940000060;1130X;;;;8;35;4885;;;;;
DIALYSE;2019;940813017;940000060;1140X;;;;16;58;9343;;;;;
DIALYSE;2019;940813017;940000060;TOT;0;;;;;;0;1;;6;
DIALYSE;2019;940814460;940000060;1140X;;;;11;35;4829;;;;;
DIALYSE;2019;940814460;940000060;TOT;0;;;;;;;;;3;
DIALYSE;2019;950000307;950110015;TOT;0;;;;;;29;;;;
DIALYSE;2019;950000364;950110080;112BA;;;;26;104;13412;;;;;
DIALYSE;2019;950000364;950110080;122AX;;;;1;18;;;;80;;
DIALYSE;2019;950000364;950110080;TOT;0;;;;;;1204;3;;244;17
DIALYSE;2019;950002709;950015438;1130X;;;;5;7;1886;;;;;
DIALYSE;2019;950002709;950015438;1140X;;;;5;15;2071;;;;;
DIALYSE;2019;950002709;950015438;TOT;0;;;;;;0;2;;;
DIALYSE;2019;950300095;950000455;112BA;;;;22;136;19398;;;;;
DIALYSE;2019;950300095;950000455;1130X;;;;12;15;1528;;;;;
DIALYSE;2019;950300095;950000455;TOT;0;;;;;;895;1;;58;
DIALYSE;2019;950300277;950000547;112BA;;;;32;114;16929;;;;;
DIALYSE;2019;950300277;950000547;1130X;;;;12;30;3659;;;;;
DIALYSE;2019;950300277;950000547;1140X;;;;12;20;3000;;;;;
DIALYSE;2019;950300277;950000547;TOT;0;;;;;;245;3;;60;
DIALYSE;2019;950300350;950015438;112AX;;;;1;0;4;;;;;
DIALYSE;2019;950300350;950015438;112BA;;;;12;46;6981;;;;;
DIALYSE;2019;950300350;950015438;TOT;0;;;;;;75;2;;17;
DIALYSE;2019;950300350;950015438;VACAN;;;;;;24;;;;;
DIALYSE;2019;950806307;950806869;1140X;;;;21;39;5831;;;;;
DIALYSE;2019;950806307;950806869;1210;;;;;1;;;;78;;
DIALYSE;2019;950806307;950806869;121AA;;;;;1;;;;78;;
DIALYSE;2019;950806307;950806869;TOT;0;;;;;;;;;18;0
DIALYSE;2019;950807982;950001636;112AX;;;;1;0;19;;;;;
DIALYSE;2019;950807982;950001636;112BA;;;;14;53;8495;;;;;
DIALYSE;2019;950807982;950001636;1130X;;;;6;15;2134;;;;;
DIALYSE;2019;950807982;950001636;1140X;;;;6;11;1022;;;;;
DIALYSE;2019;950807982;950001636;TOT;0;;;;;;209;1;;28;0
DIALYSE;2019;950808725;950806869;1140X;;;;15;25;3996;;;;;
DIALYSE;2019;950808725;950806869;TOT;0;;;;;;;;;7;
DIALYSE;2019;950808949;750806853;1130X;;;;9;45;6368;;;;;
DIALYSE;2019;950808949;750806853;1140X;;;;1;1;142;;;;;
DIALYSE;2019;950808949;750806853;TOT;0;;;;;;;;;16;
DIALYSE;2019;970100442;970100228;112BA;;;;14;139;6422;;;;;
DIALYSE;2019;970100442;970100228;122BA;;;;1;;;;;47;;
DIALYSE;2019;970100442;970100228;TOT;0;;;;;;1335;;;52;
DIALYSE;2019;970102596;970100491;112AX;;;;2;5;774;;;;;
DIALYSE;2019;970102596;970100491;112BA;;;;32;193;33239;;;;;
DIALYSE;2019;970102596;970100491;1130X;;;;24;111;12846;;;;;
DIALYSE;2019;970102596;970100491;1140X;;;;4;2;559;;;;;
DIALYSE;2019;970102596;970100491;1210;;;;;8;;;;301;;
DIALYSE;2019;970102596;970100491;121AA;;;;;6;;;;231;;
DIALYSE;2019;970102596;970100491;121CA;;;;10;2;;;;70;;
DIALYSE;2019;970102596;970100491;122AX;;;;4;0;;;;33;;
DIALYSE;2019;970102596;970100491;TOT;0;;;;;;0;;;80;8
DIALYSE;2019;970107454;970103024;112AX;;;;2;0;124;;;;;
DIALYSE;2019;970107454;970103024;112BA;;;;18;61;8473;;;;;
DIALYSE;2019;970107454;970103024;1130X;;;;12;62;9666;;;;;
DIALYSE;2019;970107454;970103024;1150A;;;;1;0;149;;;;;
DIALYSE;2019;970107454;970103024;TOT;0;;;;;;0;;;;
DIALYSE;2019;970107587;970103024;1130X;;;;11;16;4907;;;;;
DIALYSE;2019;970107587;970103024;1140X;;;;5;11;2501;;;;;
DIALYSE;2019;970107587;970103024;TOT;0;;;;;;;;;3;
DIALYSE;2019;970107595;970103024;1130X;;;;5;15;2324;;;;;
DIALYSE;2019;970107595;970103024;1140X;;;;3;11;1640;;;;;
DIALYSE;2019;970107611;970103024;1140X;;;;6;20;469;;;;;
DIALYSE;2019;970107611;970103024;TOT;0;;;;;;;;;15;
DIALYSE;2019;970107637;970103024;1140X;;;;14;9;2111;;;;;
DIALYSE;2019;970107637;970103024;1210;;;;;0;;;;644;;
DIALYSE;2019;970107637;970103024;121AA;;;;;0;;;;19;;
DIALYSE;2019;970107637;970103024;121CA;;;;19;0;;;;625;;
DIALYSE;2019;970107637;970103024;122AX;;;;2;0;;;;38;;
DIALYSE;2019;970107637;970103024;TOT;0;;;;;;;;;;
DIALYSE;2019;970111571;970100343;112BA;;;;23;135;21035;;;;;
DIALYSE;2019;970111571;970100343;1130X;;;;1;3;880;;;;;
DIALYSE;2019;970111571;970100343;TOT;0;;;;;;0;;;;
DIALYSE;2019;970111670;970103024;1140X;;;;14;20;2530;;;;;
DIALYSE;2019;970203493;970200457;1140X;;;;5;18;2291;;;;;
DIALYSE;2019;970203774;970203766;112AX;;;;2;2;659;;;;;
DIALYSE;2019;970203774;970203766;112BA;;;;26;128;20232;;;;;
DIALYSE;2019;970203774;970203766;TOT;0;;;;;;0;;;;
DIALYSE;2019;970209219;970209169;112AX;;;;2;0;0;;;;;
DIALYSE;2019;970209219;970209169;112BA;;;;19;74;12785;;;;;
DIALYSE;2019;970209219;970209169;TOT;0;;;;;;0;2;;17;
DIALYSE;2019;970209219;970209169;VACAN;;;;;3;79;;;;;
DIALYSE;2019;970210282;970200457;1140X;;;;5;9;1430;;;;;
DIALYSE;2019;970210290;970200457;1140X;;;;22;75;10779;;;;;
DIALYSE;2019;970210290;970200457;1150A;;;;3;3;809;;;;;
DIALYSE;2019;970210290;970200457;1210;;;;;31;;;;1723;;
DIALYSE;2019;970210290;970200457;121AA;;;;;30;;;;1659;;
DIALYSE;2019;970210290;970200457;121CA;;;;8;1;;;;64;;
DIALYSE;2019;970210290;970200457;122AX;;;;4;2;;;;157;;
DIALYSE;2019;970210290;970200457;TOT;0;;;;;;;;;;13
DIALYSE;2019;970210308;970200457;1140X;;;;6;17;2659;;;;;
DIALYSE;2019;970210324;970200457;1140X;;;;10;29;4719;;;;;
DIALYSE;2019;970211231;970211207;112AX;;;;2;;0;;;;;
DIALYSE;2019;970211231;970211207;112BA;;;;28;78;23000;;;;;
DIALYSE;2019;970211231;970211207;112BE;;;;1;3;164;;;;;
DIALYSE;2019;970211231;970211207;1130X;;;;20;153;12442;;;;;
DIALYSE;2019;970211231;970211207;122BA;;;;25;0;;;;44;;
DIALYSE;2019;970211231;970211207;TOT;0;;;;;;1442;;;;
DIALYSE;2019;970300026;970302022;112BA;;;;16;205;11409;;;;;
DIALYSE;2019;970300026;970302022;TOT;0;;;;;;1318;0;;95;
DIALYSE;2019;970300083;970302121;112BA;;;;10;40;4547;;;;;
DIALYSE;2019;970300083;970302121;TOT;0;;;;;;92;;;;
DIALYSE;2019;970302055;970303285;112BA;;;;80;77;8277;;;;;
DIALYSE;2019;970302055;970303285;TOT;0;;;;;;2443;;;;
DIALYSE;2019;970302535;970300216;112AX;;;;1;1;278;;;;;
DIALYSE;2019;970302535;970300216;1140X;;;;12;60;5532;;;;;
DIALYSE;2019;970302535;970300216;TOT;0;;;;;;;;;3;0
DIALYSE;2019;970303350;970300216;112AX;;;;1;0;0;;;;;
DIALYSE;2019;970303350;970300216;1140X;;;;5;7;1257;;;;;
DIALYSE;2019;970304580;970300216;112AX;;;;1;1;24;;;;;
DIALYSE;2019;970304580;970300216;1140X;;;;6;20;3254;;;;;
DIALYSE;2019;970400024;970408589;112BA;;;;16;75;9031;;;;;
DIALYSE;2019;970400024;970408589;112BE;;;;4;4;1065;;;;;
DIALYSE;2019;970400024;970408589;TOT;0;;;;;;1780;;;140;
DIALYSE;2019;970400057;970408589;112BA;;;;23;85;11700;;;;;
DIALYSE;2019;970400057;970408589;TOT;0;;;;;;1480;3;;160;
DIALYSE;2019;970400065;970421038;TOT;0;;;;;;19;;;;
DIALYSE;2019;970400073;970403606;112BA;;;;14;227;11589;;;;;
DIALYSE;2019;970400073;970403606;TOT;0;;;;;;334;2;;;
DIALYSE;2019;970403663;970463600;1130X;;;;8;31;4637;;;;;
DIALYSE;2019;970403663;970463600;1140X;;;;6;20;3736;;;;;
DIALYSE;2019;970403671;970463600;1140X;;;;6;12;1708;;;;;
DIALYSE;2019;970403705;970463592;112AX;;;;1;1;14;;;;;
DIALYSE;2019;970403705;970463592;1130X;;;;16;43;6738;;;;;
DIALYSE;2019;970403705;970463592;122AX;;;;1;1;;;;9;;
DIALYSE;2019;970403705;970463592;TOT;0;;;;;;0;;;;
DIALYSE;2019;970403721;970463592;112AX;;;;2;17;200;;;;;
DIALYSE;2019;970403721;970463592;1130X;;;;24;81;12578;;;;;
DIALYSE;2019;970403721;970463592;1140X;;;;6;11;1736;;;;;
DIALYSE;2019;970403721;970463592;TOT;1;2;4;;;;0;;;;
DIALYSE;2019;970403747;970463592;1140X;;;;12;27;3378;;;;;
DIALYSE;2019;970403754;970463592;112AX;;;;1;1;15;;;;;
DIALYSE;2019;970403754;970463592;1130X;;;;5;43;6131;;;;;
DIALYSE;2019;970403754;970463592;1140X;;;;6;47;6753;;;;;
DIALYSE;2019;970403762;970463592;1140X;;;;10;31;4365;;;;;
DIALYSE;2019;970403770;970463592;1140X;;;;12;49;7481;;;;;
DIALYSE;2019;970403770;970463592;TOT;0;;;;;;;;;5;
DIALYSE;2019;970404018;970403978;112BA;;;;27;115;17041;;;;;
DIALYSE;2019;970404018;970403978;TOT;0;;;;;;0;;;47;
DIALYSE;2019;970404018;970403978;VACAN;;;;2;0;;;;;;
DIALYSE;2019;970404158;970463592;112AX;;;;1;2;77;;;;;
DIALYSE;2019;970404158;970463592;112BA;;;;5;39;6028;;;;;
DIALYSE;2019;970404158;970463592;1130X;;;;3;33;4884;;;;;
DIALYSE;2019;970404158;970463592;1140X;;;;3;31;4768;;;;;
DIALYSE;2019;970404158;970463592;TOT;0;;;;;;0;;;;
DIALYSE;2019;970405064;970463592;112BA;;;;24;92;14552;;;;;
DIALYSE;2019;970405064;970463592;TOT;0;;;;;;0;;;;
DIALYSE;2019;970405411;970405403;112BA;;;;28;196;28234;;;;;
DIALYSE;2019;970405411;970405403;TOT;0;;;;;;144;;;;
DIALYSE;2019;970405452;970405403;1130X;;;;12;41;2657;;;;;
DIALYSE;2019;970405676;970463592;1140X;;;;12;18;2679;;;;;
DIALYSE;2019;970405676;970463592;1150A;;;;4;;876;;;;;
DIALYSE;2019;970405676;970463592;1210;;;;;68;;;;3371;;
DIALYSE;2019;970405676;970463592;121AA;;;;;20;;;;926;;
DIALYSE;2019;970405676;970463592;121CA;;;;48;48;;;;2445;;
DIALYSE;2019;970405676;970463592;122AX;;;;2;2;;;;196;;
DIALYSE;2019;970405676;970463592;TOT;0;;;;;;;;;;
DIALYSE;2019;970407151;970463592;112AX;;;;1;14;166;;;;;
DIALYSE;2019;970407151;970463592;1130X;;;;8;72;11564;;;;;
DIALYSE;2019;970407151;970463592;1140X;;;;3;24;6024;;;;;
DIALYSE;2019;970407151;970463592;122AX;;;;2;21;;;;316;;
DIALYSE;2019;970407151;970463592;TOT;1;2;3;;;;0;;;;
DIALYSE;2019;970407722;970463600;1140X;;;;8;21;3403;;;;;
DIALYSE;2019;970409645;970463600;1140X;;;;10;24;3526;;;;;
DIALYSE;2019;970409991;970463592;112AX;;;;1;4;47;;;;;
DIALYSE;2019;970409991;970463592;1140X;;;;11;4;6955;;;;;
DIALYSE;2019;970409991;970463592;122AX;;;;2;9;;;;129;;
DIALYSE;2019;970409991;970463592;TOT;0;;;;;;0;;;;
DIALYSE;2019;970410064;970405403;112BA;;;;28;186;26608;;;;;
DIALYSE;2019;970410064;970405403;TOT;0;;;;;;1;;;;
DIALYSE;2019;970410163;970463592;1140X;;;;4;1;74;;;;;
DIALYSE;2019;970467197;970463600;1130X;;;;24;106;17092;;;;;
DIALYSE;2019;970467197;970463600;1140X;;;;8;24;3970;;;;;
DIALYSE;2019;970467197;970463600;TOT;0;;;;;;;3;;29;
DIALYSE;2019;980500763;970407250;112BA;;;;19;75;8024;;;;;
DIALYSE;2019;980500763;970407250;TOT;0;;;;;;0;;;;
DIALYSE;2019;980500920;970407250;1130X;;;;19;26;3817;;;;;
DIALYSE;2019;980501159;970407250;1140X;;;;16;17;3177;;;;;
DIALYSE;2019;980501258;970407250;1130X;;;;16;24;4145;;;;;
DIALYSE;2018;010000024;010780054;112AX;;;;3;1;130;;;;;
DIALYSE;2018;010000024;010780054;112BA;;;;19;79;10809;;;;;
DIALYSE;2018;010000024;010780054;1150A;;;;;3;936;;;;;
DIALYSE;2018;010000024;010780054;1210;;;;;5;;;;341;;
DIALYSE;2018;010000024;010780054;121AA;;;;;4;;;;237;;
DIALYSE;2018;010000024;010780054;121CA;;;;;1;;;;104;;
DIALYSE;2018;010000024;010780054;122BA;;;;3;1;;;;341;;
DIALYSE;2018;010000024;010780054;TOT;0;;;;;;864;3;;14;2
DIALYSE;2018;010006526;690796552;1130X;;;;8;15;1846;;;;;
DIALYSE;2018;010006526;690796552;1140X;;;;0;0;115;;;;;
DIALYSE;2018;010006526;690796552;TOT;1;1;15;;;;;1;;;
DIALYSE;2018;010780294;690000278;112AX;;;;1;0;84;;;;;
DIALYSE;2018;010780294;690000278;112BA;;;;12;37;5811;;;;;
DIALYSE;2018;010780294;690000278;1130X;;;;6;9;1493;;;;;
DIALYSE;2018;010780294;690000278;1140X;;;;6;5;880;;;;;
DIALYSE;2018;010780294;690000278;TOT;0;;;;;;0;;;;
DIALYSE;2018;010789006;210012290;112AX;;;;3;7;550;;;;;
DIALYSE;2018;010789006;210012290;1130X;;;;14;41;5757;;;;;
DIALYSE;2018;010789006;210012290;1140X;;;;6;12;1579;;;;;
DIALYSE;2018;010789006;210012290;1150A;;;;5;2;964;;;;;
DIALYSE;2018;010789006;210012290;1210;;;;;6;;;;334;;
DIALYSE;2018;010789006;210012290;121AA;;;;;4;;;;233;;
DIALYSE;2018;010789006;210012290;121CA;;;;2;2;;;;101;;
