BOR;AN;nofinesset;nofinessej;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
FILTRE;2017;110000023;110780061;REAADU;8;2917;421;439;31;2180;1;51;81;0;8;4.91;0;1;0.6;0;29;17.93;0;25;14.44;0;7;0.8;0;1;0.3
REA;2017;110000023;110780061;SITOT;12;4380;1173;;;3847;;;;;;;;;;;;;;;;;;;;;
REA;2017;110000023;110780061;SIUNV;6;2190;536;;;2037;;;;0;6;0.68;0;1;0.26;5;2;7.19;6;0;6.32;0;7;0.3;0;1;0.2
REA;2017;110000023;110780061;SURVADU;6;2190;463;;;1670;;;;0;8;2.25;0;1;0.3;0;29;9.7;0;25;9.93;0;7;0.4;0;1;0.2
REA;2017;110000023;110780061;USIC;6;2190;637;;;1810;;;;0;4;1.35;0;1;0.28;8;0;7.53;6;0;6.32;0;0;0;0;0;0
FILTRE;2017;110000056;110780137;REAADU;8;2920;346;354;22;2123;10;45;54;2;1;2.37;;;;;;;;;;;;;;;
REA;2017;110000056;110780137;SITOT;10;3650;1043;;;3506;;;;;;;;;;;;;;;;;;;;;
REA;2017;110000056;110780137;SIUNV;4;1460;450;;;1524;;;;4;1;0.8;1;1;0.08;15;1;5.97;6;3;3.33;;;;;1;0.13
REA;2017;110000056;110780137;SURVADU;4;1460;308;;;1011;;;;2;1;1.19;;;;;;;;;;;;;;;
REA;2017;110000056;110780137;USIC;6;2190;593;;;1982;;;;5;4;1.2;1;1;0.11;15;1;8.95;6;3;5;;;;;1;0.19
FILTRE;2017;110780228;110000114;SURVADU;11;4015;1064;;;3155;;;;6;;6;;;;5;1;4.18;4;2;4.57;;;;;;
FILTRE;2017;110780483;110000155;SURVADU;8;2920;482;;;2339;;;;;;;1;;1;7;3;6.8;14;;8.62;;;;;;
FILTRE;2017;120000039;120780044;REAADU;11;4015;738;769;39;2994;10;34;195;4;1;5;;2;0.72;17;14;21.75;13;2;13.94;;1;0.7;1;1;1.1
REA;2017;120000039;120780044;SITOT;16;5840;996;;;4325;;;;;;;;;;;;;;;;;;;;;
REA;2017;120000039;120780044;SIUNV;8;2920;474;;;2009;;;;;;;;2;0.44;5;7;9.92;10;1;9.78;;1;0.08;;1;0.04
REA;2017;120000039;120780044;USIC;8;2920;522;;;2316;;;;;15;6.5;;1;0.88;6;8;12.72;8;2;8.22;;1;0.1;;2;0.25
FILTRE;2017;120000054;120780069;SURVADU;6;2190;350;;;2156;;;;1;1;1.83;0;1;0.5;8;7;13.14;1;6;5.84;0;0;0;0;0;0
FILTRE;2017;120000070;120780085;SURVADU;4;1460;213;;;1194;;;;;5;1.84;;;;5;;5;6;;6;;;;;;
FILTRE;2017;120004569;120004528;SURVADU;5;1825;375;;;1360;;;;;3;1;1;;0.5;5;2;6.4;9;;7.68;;;;;;
FILTRE;2017;120004668;120004619;SURVADU;4;1460;199;;;1206;;;;2;;0.61;;1;0.25;7;3;5.65;6;2;5.32;;;;1;;0.3
FILTRE;2017;130000409;130041916;AUTSI;2;730;72;;;663;;;;0;3;0.25;;;;3;;1.75;3;;1.75;;;;;3;0.31
REA;2017;130000409;130041916;REAADU;15;5475;446;461;23;5175;10;52;122;2;9;5.96;1;1;1.4;30;8;34.9;19;3;19.34;;1;0.83;2;1;1.61
REA;2017;130000409;130041916;SITOT;18;6078;1918;;;4637;;;;;;;;;;;;;;;;;;;;;
REA;2017;130000409;130041916;SIUNV;4;968;437;;;514;;;;0;6;0.22;;;;3;3;3.67;1;4;3.57;;;;;;0.37
REA;2017;130000409;130041916;SURVADU;9;3285;1360;;;4799;;;;0;14;3.33;1;;1;8;4;11.26;11;1;12.17;;;;;1;0.5
REA;2017;130000409;130041916;SURVENF;4;1460;466;;;887;;;;0;5;0.81;3;3;3.39;1;2;3.27;6;;6.75;;;;;5;1.28
REA;2017;130000409;130041916;USIC;12;4380;1409;;;3460;;;;0;8;1.8;;2;0.65;13;4;17.25;7;6;10.62;;;;1;3;1.92
FILTRE;2017;130000565;130781446;REAADU;8;2920;376;388;8;2585;13;38;116;;10;3.89;;1;0.66;18;5;21.42;11;5;12.43;;;;;;
REA;2017;130000565;130781446;SURVADU;4;1460;208;;;1062;;;;;2;1.2;;1;0.16;5;;5.83;4;;3.22;;;;;;
FILTRE;2017;130001225;130782634;REAADU;8;2920;315;332;9;3179;5;51;90;4;1;4.54;;;;17;10;22.88;11;5;14.75;;;;3;2;3.92
REA;2017;130001225;130782634;SURVADU;4;1460;296;;;1265;;;;;;;;;;;;;;;;;;;;;
FILTRE;2017;130001647;130784127;AUTSI;24;8760;546;;;8517;;;;6;5;9.35;2;;2;26;3;26.38;7;1;7.33;;;;3;1;3.46
REA;2017;130001647;130784127;REAADU;10;3650;469;525;42;3393;10;41;35;10;4;12.28;1;;1;25;4;27.59;11;;10.5;3;;1.88;6;1;4.61
REA;2017;130001647;130784127;SITOT;24;8760;546;;;8517;;;;;;;;;;;;;;;;;;;;;
REA;2017;130001647;130784127;SURVADU;10;3650;727;;;3427;;;;7;2;8.19;1;;1;13;2;13.59;10;;10.5;2;;1.88;5;1;4.61
FILTRE;2017;130002215;130785512;SURVADU;6;1744;289;;;1744;;;;5;2;3;;;;;;;;;;;;;;;
FILTRE;2017;130002827;130789274;REAADU;6;2190;282;289;6;2719;4;49;71;3;3;5.07;1;2;1.19;19;2;19.44;12;1;11.97;0;0;0;0;2;0.8
REA;2017;130002827;130789274;SITOT;6;2190;655;;;1887;;;;;;;;;;;;;;;;;;;;;
REA;2017;130002827;130789274;SURVADU;3;1095;39;;;139;;;;1;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2017;130002827;130789274;USIC;6;2190;655;;;1887;;;;0;4;0.76;0;3;0.61;5;2;5.83;4;0;3.51;0;0;0;0;1;0.49
FILTRE;2017;130002835;130789316;REAADU;8;2920;409;421;19;3160;9;39;129;0;7;3.74;;2;0.93;;27;15.07;;19;10.81;0;0;0;0;8;4.36
REA;2017;130002835;130789316;SITOT;6;2190;448;;;1712;;;;;;;;;;;;;;;;;;;;;
REA;2017;130002835;130789316;SURVADU;4;1460;179;;;480;;;;0;7;1.87;0;2;0.46;0;27;7.94;0;19;5.4;0;0;0;0;8;2.17
REA;2017;130002835;130789316;USIC;6;2190;448;;;1712;;;;0;9;5.35;0;1;0.25;0;23;6.15;0;13;6.15;0;0;0;0;4;1.93
FILTRE;2017;130037922;130037823;REAADU;10;3650;158;167;4;3447;57;58;53;2;;1;1;;1;22;1;20.9;10;1;8.3;;;;;;
REA;2017;130037922;130037823;SURVADU;6;2190;133;;;1146;;;;;2;1;;;;;;;;;;;;;;;
FILTRE;2017;130041767;130041262;SITOT;12;4380;1211;;;3302;;;;;;;;;;;;;;;;;;;;;
REA;2017;130041767;130041262;USIC;12;4380;1211;;;3302;;;;5;;5;;;;12;4;11.74;9;1;8.9;;;;1;;1
FILTRE;2017;130042096;130042062;SITOT;16;5840;1288;;;4503;;;;;;;;;;;;;;;;;;;;;
REA;2017;130042096;130042062;USIC;16;5840;1288;;;4503;;;;1;;1;;1;1;12;0;12;6;0;6.7;;;;;;
FILTRE;2017;130043664;130002157;REAADU;20;7300;661;699;25;6637;28;45;147;5;1;5.7;;;;59;9;59.32;33;5;28.61;;;;14;;12.66
REA;2017;130043664;130002157;SURVADU;11;4015;722;;;3510;;;;;;;;;;;;;;;;;;;;;
FILTRE;2017;130780521;130786049;REAADU;29;10579;1168;1262;115;10002;13;42;103;16;3;12.64;8;;7.66;79;11;81.49;47;4;47.76;;;;18;4;21.88
REA;2017;130780521;130786049;REAENF;3;1095;148;152;14;1017;32;;;;5;1.72;;4;2.29;1;5;1.5;;2;0.8;;;;1;2;2.28
REA;2017;130780521;130786049;SITOT;12;4380;1970;;;3259;;;;;;;;;;;;;;;;;;;;;
REA;2017;130780521;130786049;SURVADU;10;3650;787;;;2144;;;;10;1;1.94;;;;2;4;5.54;2;4;5.09;;;;4;2;5.17
REA;2017;130780521;130786049;USIC;12;4380;1970;;;3259;;;;2;3;1.67;1;;0.49;15;3;17.68;11;3;11.58;;;;;1;0.8
FILTRE;2017;130781370;130000532;SURVADU;5;1825;73;;;369;;;;4;0;4;1;;1;6;;6;5;;5;;;;4;;4
FILTRE;2017;130781479;130000599;REAADU;10;3650;385;401;29;2711;5;40;129;6;;6;8;;8;;;;;;;;1;0.35;;1;0.5
REA;2017;130781479;130000599;SITOT;8;2920;970;;;2674;;;;;;;;;;;;;;;;;;;;;
REA;2017;130781479;130000599;SURVADU;32;11680;1721;;;10292;;;;11;;11;8;;8;;;;8;;8;;3;1;2;;1
REA;2017;130781479;130000599;USIC;8;2920;970;;;2674;;;;5;;5;8;;8;;;;;;;;1;0.35;;1;0.5
FILTRE;2017;130782071;130002454;SURVADU;4;1460;286;;;1693;;;;5;;5;1;;1;4;;4;2;;2;;;;;;
FILTRE;2017;130782147;130000979;SITOT;8;2920;1056;;;2988;;;;;;;;;;;;;;;;;;;;;
REA;2017;130782147;130000979;SURVADU;16;5840;763;;;5262;;;;3;7;6;1;0;1;14;4;15.4;5;1;5.5;;2;0.5;;;
REA;2017;130782147;130000979;USIC;8;2920;1056;;;2988;;;;2;10;6;1;;1;6;2;7.2;6;2;7.2;;6;0.5;;1;0.8
FILTRE;2017;130782162;130000987;SURVADU;5;1825;84;;;771;;;;;2;0.8;;1;0.45;;9;4;;2;1.5;;1;0.3;;2;0.11
FILTRE;2017;130783236;130786049;AUTSI;12;4349;728;;;3199;;;;;4;1.15;;1;0.71;19;2;18.27;11;1;12.03;;;;;4;1.7
REA;2017;130783236;130786049;SITOT;12;4349;728;;;3199;;;;;;;;;;;;;;;;;;;;;
REA;2017;130783236;130786049;SURVADU;4;1431;171;;;832;;;;;3;0.75;;;;;;;;;;;;;;;
FILTRE;2017;130783293;130786049;REAADU;62;22597;3005;3179;141;20568;10;36;280;15;24;18.42;9;1;11.74;169;15;169.75;103;6;100.43;;;;16;1;16.9
REA;2017;130783293;130786049;SITOT;28;10220;2062;;;8980;;;;;;;;;;;;;;;;;;;;;
REA;2017;130783293;130786049;SIUNV;8;2920;944;;;2287;;;;;1;0.05;1;0;0.61;12;8;14.48;11;0;10.28;;;;4;0;3.95
REA;2017;130783293;130786049;SURVADU;49;16431;3882;;;12842;;;;6;11;5.45;1;1;1.3;49;2;26.74;29;3;15.83;;;;1;1;0.7
REA;2017;130783293;130786049;USIC;20;7300;1118;;;6693;;;;;3;0.9;1;0;1;25;7;27.9;19;3;20.25;;;;3;0;2.96
FILTRE;2017;130783327;130001415;REAADU;9;3285;270;280;12;2266;18;34;77;;5;5;1;;0.6;14;7;17.2;5;3;6.6;;2;0.5;;;
REA;2017;130783327;130001415;SURVADU;10;3650;330;;;1913;;;;;13;2.4;1;;0.4;4;4;4.53;2;;2.05;;;;;;
FILTRE;2017;130783665;130043722;SURVADU;4;1460;115;;;656;;;;0;7;4.94;2;;2;6;1;6.83;3;;3;;;;1;;1
FILTRE;2017;130784051;130037823;REAADU;20;7300;1383;1485;6;7882;24;30;176;;;;2;;2.25;38;10;40.02;31;4;29.31;1;;1;;;
REA;2017;130784051;130037823;SITOT;14;5110;1490;;;4177;;;;;;;;;;;;;;;;;;;;;
REA;2017;130784051;130037823;SURVADU;32;11680;1297;;;7801;;;;;;;2;;2;18;6;18.1;14;1;13.33;;1;0.5;;;
REA;2017;130784051;130037823;USIC;14;5110;1490;;;4177;;;;;;;1;;1;11;2;11.1;12;;10.51;;1;0.5;;;
FILTRE;2017;130784713;130038847;REAADU;8;2920;307;320;9;2899;16;40;112;4;;4;1;;1;22;2;23.4;6;2;6.81;;;;;1;0.3
REA;2017;130784713;130038847;SITOT;20;7300;1723;;;9985;;;;;;;;;;;;;;;;;;;;;
REA;2017;130784713;130038847;SURVADU;44;16060;1936;;;15954;;;;8;5;10.5;1;;1;45;11;54.6;18;3;19.6;;;;1;;1
REA;2017;130784713;130038847;USIC;20;7300;1723;;;9985;;;;3;4;5;1;;1;25;2;25.46;8;1;7.08;;;;;;
FILTRE;2017;130785652;130014228;REAADU;15;4110;1394;1496;46;7234;6;24;400;5;11;5.45;;1;0.2;44;3;27.09;11;;7.58;;1;0.25;6;1;6.37
REA;2017;130785652;130014228;SITOT;10;3650;1244;;;2735;;;;;;;;;;;;;;;;;;;;;
REA;2017;130785652;130014228;SURVADU;10;3650;1320;;;6433;;;;4;;2.15;;1;0.2;13;4;15.87;6;;5.74;;1;0.25;4;;4.26
REA;2017;130785652;130014228;SURVENF;6;2190;735;;;1579;;;;1;;0.5;;;;;;;;;;;;;;;
REA;2017;130785652;130014228;USIC;10;3650;1244;;;2735;;;;2;8;5.3;;1;0.2;8;8;12.06;2;;2;;1;0.25;4;;4.08
FILTRE;2017;130785678;130002249;REAADU;10;3650;183;195;5;3209;39;39;52;4;2;5;1;;1;19;;19.66;9;;10.2;;1;0.5;2;;2
REA;2017;130785678;130002249;SURVADU;28;10220;1043;;;16680;;;;6;4;8;1;;1;30;3;35.41;9;;10.36;;1;0.5;3;;1
FILTRE;2017;130786361;130002447;REAADU;8;2920;284;305;7;3010;12;51;83;;;;2;;2;26;;28.01;18;3;25.42;;;;;3;2.29
REA;2017;130786361;130002447;SURVADU;12;4380;678;;;3530;;;;2;;2;;;;;;;;;;;;;;;
FILTRE;2017;130786742;750821092;REAADU;10;3650;530;556;28;2839;11;45;147;5;0;3.17;1;0;0.8;28;0;18.47;11;1;10.37;1;0;0.15;4;0;2.53
REA;2017;130786742;750821092;SURVADU;3;1095;172;;;394;;;;0;0;0.88;0;0;0.2;0;0;4.68;0;0;2.71;0;0;0.05;0;0;0.73
FILTRE;2017;130804297;130786049;AUTSI;7;2555;45;;;2186;;;;;7;1.5;9;1;9.88;11;1;11.89;6;3;7.48;0;0;0;0;4;1.23
REA;2017;130804297;130786049;REAENF;14;5108;765;841;70;4420;26;;;9;8;7.43;15;3;14.37;38;0;29.51;26;2;25.18;0;0;0;2;0;2.51
REA;2017;130804297;130786049;SITOT;7;2555;45;;;2186;;;;;;;;;;;;;;;;;;;;;
REA;2017;130804297;130786049;SURVENF;26;9490;1268;;;8960;;;;2;3;1.9;11;5;5.09;26;15;15.24;9;17;10.46;0;0;0;0;6;2.4
FILTRE;2017;130810740;130007362;REAADU;8;2920;180;183;8;3564;55;55;39;3;;;1;;1;12;5;15.97;7;2;8.4;;;;;;
REA;2017;130810740;130007362;SURVADU;13;4745;432;;;2132;;;;3;;;1;;1;5;2;6.86;4;2;5.75;;;;;;
FILTRE;2017;140000027;140000035;REAADU;8;2828;316;335;14;2242;12;38;66;4;0;3.5;1;1;0.77;22;7;24.82;12;2;13.72;0;0;0;3;7;5.24
REA;2017;140000027;140000035;SITOT;4;1460;368;;;1285;;;;;;;;;;;;;;;;;;;;;
REA;2017;140000027;140000035;SIUNV;4;1460;368;;;1285;;;;2;4;4.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2017;140000027;140000035;SURVADU;6;2190;871;;;3196;;;;0;0;0;1;0;0.37;8;5;9.15;2;6;5.81;0;0;0;1;2;1.1
FILTRE;2017;140000209;140000100;AUTSI;22;8164;827;;;7528;;;;7;1;0.71;1;;0.78;14;12;20.98;17;4;15.2;;;;5;1;4.08
REA;2017;140000209;140000100;REAADU;60;21900;2389;2568;175;17608;7;33;223;19;;12.92;6;;4.64;99;37;124.89;68;16;79.34;;;;17;7;21.64
REA;2017;140000209;140000100;REAENF;8;2920;296;304;11;1898;13;;;3;1;4;8;5;10.15;2;;1.61;4;2;5.36;;;;4;1;2.8
REA;2017;140000209;140000100;SITOT;52;19114;3397;;;17802;;;;;;;;;;;;;;;;;;;;;
REA;2017;140000209;140000100;SIUNV;10;3650;792;;;3500;;;;3;;1.25;1;;1;6;6;7.42;5;7;9.38;;;;3;1;2.83
REA;2017;140000209;140000100;SURVADU;27;9855;1788;;;8043;;;;14;1;1.61;3;;1.51;21;9;24.78;11;12;16.15;;;;4;1;2.41
REA;2017;140000209;140000100;SURVENF;14;5110;870;;;4421;;;;2;;1.8;7;5;8.14;3;7;6.63;6;2;6.34;;;;1;;0.47
REA;2017;140000209;140000100;USIC;20;7300;1778;;;6774;;;;;;;;;0.79;10;15;20.54;11;7;16.35;;;;3;;2.59
FILTRE;2017;140000233;140000118;SURVADU;5;1825;394;;;1442;;;;;;0.07;;;;6;1;6.93;3;3;4.83;;;;1;;1
FILTRE;2017;140000290;140000449;SURVADU;4;1460;147;;;343;;;;4;;4;;;;;;;;;;;;;;;
FILTRE;2017;140000373;140000159;SURVADU;8;2920;678;;;2736;;;;2;;1;1;;0.34;9;2;8.25;9;;7.5;;;;1;;1
FILTRE;2017;140000555;140000639;SURVADU;6;2190;418;;;1573;;;;8;;7.92;;;;;;;1;;0.99;;;;;;
FILTRE;2017;140016759;140003146;SURVADU;10;3650;832;;;2555;;;;0;13;2.6;;1;0.33;4;5;7.2;3;3;4.68;;;;2;1;2.34
FILTRE;2017;140017237;140003278;REAADU;15;5475;1348;1387;7;4924;8;26;280;;;;1;;1;17;15;28.15;7;2;8.7;;;;;;
REA;2017;140017237;140003278;SITOT;8;2920;898;;;2551;;;;;;;;;;;;;;;;;;;;;
REA;2017;140017237;140003278;SURVADU;8;2920;970;;;2411;;;;;;;;;;6;2;7.63;4;1;4.9;;;;;;
REA;2017;140017237;140003278;USIC;8;2920;898;;;2551;;;;;;;;;;19;6;6.58;15;5;5.81;;;;;;
FILTRE;2017;140018730;140000423;SURVADU;4;1460;100;;;490;;;;1;;1;;;;4;;4;4;;4;;;;;;
FILTRE;2017;140024886;140000092;REAADU;8;2850;271;275;9;1872;1;35;58;3;1;3.58;;1;0.93;;25;17.99;;17;10.77;;;;;;
REA;2017;140024886;140000092;SURVADU;4;1460;330;;;1066;;;;1;;1;;1;0.41;;25;5.92;;17;5.82;;;;;;
FILTRE;2017;140026410;140026279;SURVADU;5;1825;420;;;1696;;;;;;;;;;;;;;;;;;;;;
FILTRE;2017;140026709;140000415;SURVADU;6;2190;152;;;888;;;;;2;0.2;;;;2;;2;2;;2;;;;;;
FILTRE;2017;150000032;150780088;SURVADU;4;1460;294;;;1105;;;;3;1;1.05;1;0;0.95;6;0;6;6;0;5.88;0;0;0;4;0;2.36
FILTRE;2017;150000040;150780096;REAADU;10;3650;464;485;22;2599;8;37;170;4;;1;0;1;0.63;24;5;27.07;20;4;23.92;0;0;0;0;3;1.44
REA;2017;150000040;150780096;SITOT;7;2555;661;;;2031;;;;;;;;;;;;;;;;;;;;;
REA;2017;150000040;150780096;SURVADU;5;1825;479;;;1053;;;;3;;1;0;0;0;4;0;4;1;2;2.6;0;0;0;0;1;0.6
REA;2017;150000040;150780096;USIC;7;2555;661;;;2031;;;;5;1;1;0;1;0.23;6;1;5.45;4;0;4;0;0;0;0;1;0.42
FILTRE;2017;150780732;150000271;AUTSI;8;2920;268;;;2592;;;;2;;2;;1;0.5;17;;17;7;;7;;;;3;3;5.1
REA;2017;150780732;150000271;REAADU;8;0;11;14;0;229;27;45;6;;;;;;;;;;;;;;;;;;
REA;2017;150780732;150000271;SITOT;8;2920;268;;;2592;;;;;;;;;;;;;;;;;;;;;
REA;2017;150780732;150000271;SURVADU;12;4380;549;;;4014;;;;1;;1;;1;0.5;5;2;6.11;8;2;9.3;;;;2;;2
FILTRE;2017;160000170;160000204;SURVADU;8;2920;278;;;799;;;;2;;2;;;;2;1;2.35;2;1;2.35;;1;0.25;;;
FILTRE;2017;160000253;160000451;REAADU;12;4380;502;511;28;2851;14;45;40;6;1;5.29;1;1;1.15;25;13;32;18;1;18.66;0;0;0;1;1;1.25
REA;2017;160000253;160000451;SITOT;18;6570;1650;;;5198;;;;;;;;;;;;;;;;;;;;;
REA;2017;160000253;160000451;SIUNV;4;1460;462;;;1362;;;;2;0;0.8;;;;5;2;3.66;1;2;1.86;;;;3;0;1.06
REA;2017;160000253;160000451;SURVADU;6;2052;355;;;1355;;;;5;1;0.9;;;;3;0;4.22;5;0;4.72;;;;1;2;2.11
REA;2017;160000253;160000451;USIC;14;5110;1188;;;3836;;;;2;0;0.49;;;;26;5;17.84;13;5;8.9;;;;8;0;5.1
FILTRE;2017;160000303;160006037;SURVADU;4;1460;688;;;1215;;;;1;;0.6;1;;0.1;3;1;3;6;2;7.4;;;;1;;0.5
FILTRE;2017;160000311;160000485;SURVADU;3;1095;199;;;777;;;;3;;0.31;1;1;0.13;11;4;1.48;19;0;1.73;1;0;0.05;7;2;0.82
FILTRE;2017;160000337;160000493;SURVADU;3;1095;825;;;1049;;;;5;;4.3;;;;;;;;;;;;;;;
FILTRE;2017;160013207;160001632;SURVADU;8;2920;392;;;1693;;;;8;;8;;;;4;;4;3;;3;;;;;;
FILTRE;2017;160015368;160014411;SURVADU;6;2190;285;;;1781;;;;3;;2.56;1;;0.4;6;;6.35;10;;6.62;;;;1;;0.69
FILTRE;2017;170000038;170780050;SURVADU;4;1460;343;;;1228;;;;3;;0.68;;;;4;;4;2;;2;;;;;;
FILTRE;2017;170000087;170024194;REAADU;16;5840;579;601;29;4355;14;49;94;8;1;6.27;2;;1.56;43;4;34.12;31;2;24.17;;;;9;1;5.92
REA;2017;170000087;170024194;SITOT;20;7300;2082;;;5987;;;;;;;;;;;;;;;;;;;;;
REA;2017;170000087;170024194;SIUNV;8;2920;870;;;2449;;;;9;;2.66;1;;0.5;9;1;7.84;6;1;7.23;;;;5;3;3.63
REA;2017;170000087;170024194;SURVADU;6;2190;419;;;1455;;;;8;;1.53;2;;0.44;43;4;10.19;31;2;7.22;;;;6;;1.15
REA;2017;170000087;170024194;USIC;12;4380;1212;;;3538;;;;8;2;0.52;1;;1;16;5;10.62;13;1;7.65;;;;9;;3.45
FILTRE;2017;170000095;170780167;SURVADU;6;2190;483;;;1559;;;;2;1;0.33;0;0;0;4;1;4.5;4;0;4;0;0;0;3;1;1.4
FILTRE;2017;170000103;170780175;REAADU;14;5083;342;356;9;4256;23;51;56;6;0;5.68;1;1;0.89;36;10;37.26;25;7;24.19;7;0;0.96;1;0;0.12
REA;2017;170000103;170780175;SITOT;16;4856;1451;;;4330;;;;;;;;;;;;;;;;;;;;;
REA;2017;170000103;170780175;SIUNV;8;1936;533;;;1683;;;;3;0;0.52;0;0;0;10;2;7.98;9;3;8.3;0;0;0;1;1;0.32
REA;2017;170000103;170780175;SURVADU;8;2902;439;;;2513;;;;16;0;1.67;0;1;0.21;38;12;6.72;30;11;6.61;0;0;0;1;0;0.09
REA;2017;170000103;170780175;USIC;8;2920;918;;;2647;;;;9;0;0.74;1;0;0.67;17;8;17.52;12;5;7.74;7;0;0.68;2;0;0.37
FILTRE;2017;170000129;170780191;SURVADU;10;3650;598;;;2781;;;;10;3;1.83;;;;10;;8.75;11;1;6.98;;;;;1;0.52
FILTRE;2017;170000152;170780225;SURVADU;8;2920;774;;;2375;;;;;5;0.8;;1;0.25;8;18;13.12;2;25;6.51;;;;;;
FILTRE;2017;170780563;170000251;SURVADU;8;2920;723;;;2331;;;;6;2;7;1;;1;;;;4;;4;;;;;;
FILTRE;2017;170780613;170000277;SURVADU;4;1460;309;;;1024;;;;;;;;;;6;2;8.96;1;;1;;;;;;
FILTRE;2017;180000010;180000028;REAADU;12;4380;339;345;21;3603;24;47;66;2;19;4.52;;;;24;8;29.45;8;2;9.55;;;;;2;1.4
REA;2017;180000010;180000028;SITOT;16;5840;1575;;;3860;;;;;;;;;;;;;;;;;;;;;
REA;2017;180000010;180000028;SIUNV;4;1460;336;;;890;;;;;4;0.46;;;;;5;1.67;;5;1.37;;;;;2;0.67
REA;2017;180000010;180000028;SURVADU;18;6570;1612;;;5315;;;;;12;2.09;;;;19;8;23.85;11;3;13.1;;;;;3;1.05
REA;2017;180000010;180000028;SURVENF;4;1460;222;;;499;;;;;7;0.43;;15;6.6;;7;2.5;;;;;;;;;
REA;2017;180000010;180000028;USIC;12;4380;1239;;;2970;;;;;9;1.27;1;;1;15;3;17.4;9;2;10.6;;;;;;
FILTRE;2017;180000200;180000051;SURVADU;5;1460;340;;;1462;;;;0;2;0.4;0;1;0.2;7;0;5.75;6;0;6.08;0;0;0;0;2;0.96
FILTRE;2017;180000358;180000739;SURVADU;5;1825;140;;;1091;;;;3;;2;;;;2;1;1.5;1;;0.5;;5;0.3;1;;0.4
FILTRE;2017;180004145;180000887;SURVADU;12;4380;616;;;2782;;;;1;;0.5;;;;4;2;5;4;2;5;;;;;;
FILTRE;2017;190000018;190000042;REAADU;15;5473;526;555;24;4315;12;47;106;4;1;3.48;1;;1;26;6;31.66;20;;20.55;;;;3;;1.37
REA;2017;190000018;190000042;SITOT;9;3282;1234;;;2478;;;;;;;;;;;;;;;;;;;;;
REA;2017;190000018;190000042;SURVADU;12;780;82;;;315;;;;4;;0.5;;;;3;;2.73;2;;1.52;;;;1;;0.23
REA;2017;190000018;190000042;USIC;9;3282;1234;;;2478;;;;8;;1.06;1;;0.38;9;;8.53;9;1;9.56;;;;;;
FILTRE;2017;190000026;190000059;AUTSI;6;2190;233;;;1950;;;;5;;1.8;;1;0.1;8;2;9.73;8;;8.15;;;;;2;1.15
REA;2017;190000026;190000059;SITOT;12;4380;731;;;3687;;;;;;;;;;;;;;;;;;;;;
REA;2017;190000026;190000059;USIC;6;2190;498;;;1737;;;;3;;0.38;;1;0.33;4;4;8.17;5;2;6.45;;;;;3;0.6
FILTRE;2017;190000091;190000075;SURVADU;10;3650;808;;;2520;;;;;1;0.5;;1;0.5;5;;5;4;1;5.55;;;;;;
FILTRE;2017;190000224;190000901;SURVADU;9;3285;403;;;2236;;;;54;2;54.5;1;;0.5;5;1;5.3;5;0;5;1;2;2;;;
FILTRE;2017;190000257;190001131;SURVADU;4;1460;263;;;1536;;;;1;;1;;;;5;;5;5;;5;;;;;;
FILTRE;2017;210011847;210011839;SURVADU;6;2190;218;;;852;;;;4;;4;;;;;;;;;;;;;;;
FILTRE;2017;210012670;210011367;SITOT;8;961;388;;;961;;;;;;;;;;;;;;;;;;;;;
REA;2017;210012670;210011367;SURVADU;14;1500;681;;;1500;;;;16;;;1;;0.67;6;1;3.15;6;1;2.97;;;;;;
REA;2017;210012670;210011367;USIC;8;961;388;;;961;;;;5;;;1;;0.67;6;1;5.15;5;;3.5;;;;;;
FILTRE;2017;210780110;210011367;SURVADU;0;;36;;;118;;;;0;;5;1;0;0.66;2;0;1.33;0;2;0.66;0;0;;;;
FILTRE;2017;210780136;210011367;SURVADU;;110;246;;;758;;;;;;;;;0.66;5;0;3.33;5;0;3.33;;;;;;
FILTRE;2017;210780789;210003208;AUTSI;6;2190;597;;;1540;;;;;3;0.6;;1;0.6;5;2;6.6;2;;2;;;;;;
REA;2017;210780789;210003208;SITOT;6;2190;597;;;1540;;;;;;;;;;;;;;;;;;;;;
REA;2017;210780789;210003208;SURVADU;4;1095;120;;;670;;;;;2;0.4;;1;0.6;3;2;4.4;1;;1;;;;;;
FILTRE;2017;210780979;210011367;SITOT;8;177;536;;;1416;;;;;;;;;;;;;;;;;;;;;
REA;2017;210780979;210011367;SURVADU;0;;1133;;;1957;;;;;;;;;;;;;;;;;;;;;
REA;2017;210780979;210011367;USIC;8;177;536;;;1416;;;;;;1;;;;;;;;;;;;;;;
FILTRE;2017;210987558;210780581;AUTSI;29;10585;1299;;;12269;;;;17;0;3.26;2;;1.42;57;0;55.96;26;;22.08;;;;14;;12.43
