BOR;AN;nofinesset;nofinessej;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2020;060000478;060780897;SURVADU;4;1460;160;;;415;;;;2;0;0.29;0;0;0;3;0;0.99;4;0;1.32;0;0;0;0;0;0
REA;2020;060000510;060780954;REAADU;10;3660;415;432;15;3086;3;36;55;5;2;6.15;1;;1.33;30;2;28.08;16;2;18.32;;;;6;;6.05
REA;2020;060000510;060780954;SITOT;6;2196;623;;;1724;;;;;;;;;;;;;;;;;;;;;
REA;2020;060000510;060780954;SURVADU;9;3294;479;;;2531;;;;;;;;;;6;;5.95;5;2;7.38;;;;2;;2.38
REA;2020;060000510;060780954;USIC;6;2196;623;;;1724;;;;1;;1;;;;;;;;;;;;;;;
REA;2020;060000528;060780962;AUTSI;10;3611;243;;;3383;;;;4;;1.2;2;;0.63;27;5;9.59;25;;6.83;;;;2;;0.72
REA;2020;060000528;060780962;SITOT;10;3611;243;;;3383;;;;;;;;;;;;;;;;;;;;;
REA;2020;060000528;060780962;SURVADU;7;2488;268;;;2420;;;;8;;1.18;1;;1;16;;13.19;14;;7.27;;;;2;2;0.62
REA;2020;060000544;060780988;REAADU;8;2928;524;533;44;2677;4;44;113;0;7;3.57;;1;0.5;13;16;19.47;10;5;13.93;;1;0.6;;7;2.58
REA;2020;060000544;060780988;SITOT;12;4392;1248;;;3081;;;;;;;;;;;;;;;;;;;;;
REA;2020;060000544;060780988;SIUNV;4;1464;212;;;833;;;;0;10;2.62;;1;0.2;5;2;5.74;1;1;1.7;;1;0.17;;3;0.24
REA;2020;060000544;060780988;SURVADU;4;1464;171;;;431;;;;0;6;1.65;;1;0.2;5;2;6.08;3;1;3.17;;;0.05;;4;0.7
REA;2020;060000544;060780988;USIC;8;2928;1036;;;2248;;;;1;7;2.19;;1;0.6;4;7;10.21;8;1;8.71;;;;;;
REA;2020;060010899;060785011;SURVADU;1;366;11;;;15;;;;0;1;0.1;;;;;;;;;;;;;;;
REA;2020;060021417;060000221;SURVADU;6;804;23;;;201;;;;4;;4;;;;1;;1;1;;1;1;;1;;;
REA;2020;060780491;060790797;REAADU;8;2920;413;429;16;2560;8;39;93;;12;6;1;;0.7;16;;15.55;10;;8.24;;5;2.5;;;0.8
REA;2020;060780491;060790797;SURVADU;32;11680;1902;;;8033;;;;;;;;2;0.58;;33;10.55;;27;9.55;;;;;20;5.97
REA;2020;060780517;060000239;SURVADU;15;5475;1102;;;5885;;;;;;;;2;2;17;4;18.3;12;1;12.19;;;;;;
REA;2020;060780715;060000361;REAADU;5;1130;1;1;0;14;100;19;0;;3;3;;;;2;;2;2;;2;;;;2;;2
REA;2020;060780715;060000361;SITOT;6;2196;690;;;1412;;;;;;;;;;;;;;;;;;;;;
REA;2020;060780715;060000361;SURVADU;43;15738;1968;;;11796;;;;2;2;2.5;;2;0.5;16;3;17;5;1;6.5;;8;2;8;;8
REA;2020;060780715;060000361;USIC;6;2196;690;;;1412;;;;;18;4.8;;1;0.3;4;1;4.8;4;1;4.8;;2;0.2;2;;2
REA;2020;060780723;060004959;SURVADU;8;2920;449;;;1830;;;;2;17;4;;;;4;1;5.29;4;1;5.25;;;;;;
REA;2020;060780756;060000403;SURVADU;5;1825;154;;;457;;;;5;;5;;;;;;;;;;;;;;;
REA;2020;060780947;060800174;REAENF;5;1830;175;178;17;1071;22;;;2;3;2.94;;15;6.44;;16;7.32;2;12;8.54;;;;;7;3.16
REA;2020;060780947;060800174;SURVENF;6;2196;652;;;3391;;;;;3;1.25;;14;6.45;;15;5.24;;11;5.31;;;;;4;2
REA;2020;060781200;060000635;SURVADU;9;3294;295;;;2913;;;;;6;0.2;;;;4;1;4.5;4;1;4.5;;4;0.2;2;;2
REA;2020;060785003;060785011;AUTSI;6;2196;166;;;1537;;;;0;1;0.8;;;;;;;;;;;;;;;
REA;2020;060785003;060785011;REAADU;23;8976;831;1117;382;5819;11;39;44;2;11;4.86;11;1;4.37;58;9;56.8;37;7;41.08;;;;27;3;13.87
REA;2020;060785003;060785011;SITOT;24;8784;1678;;;6774;;;;;;;;;;;;;;;;;;;;;
REA;2020;060785003;060785011;SIUNV;8;2928;410;;;2394;;;;0;2;1.48;;;;;;;;;;;;;;;
REA;2020;060785003;060785011;SURVADU;20;8803;1668;;;4947;;;;0;16;4.17;5;;2.27;43;3;42.66;32;1;31.97;1;;0.1;9;1;5.05
REA;2020;060785003;060785011;USIC;10;3660;1102;;;2843;;;;0;1;0.75;;;;;;;;;;;;;;;
REA;2020;060789195;060785011;AUTSI;13;4758;227;;;3812;;;;0;7;2.05;2;;1.09;12;1;11.8;10;1;11.43;;;;4;2;3.93
REA;2020;060789195;060785011;REAADU;23;6416;694;740;29;5501;57;45;51;1;6;3.74;5;1;2.23;48;3;35.71;30;2;25.19;;;;13;2;7.51
REA;2020;060789195;060785011;SITOT;13;4758;227;;;3812;;;;;;;;;;;;;;;;;;;;;
REA;2020;060789195;060785011;SURVADU;12;4786;878;;;3136;;;;1;9;3.04;1;;0.3;10;3;11.18;8;1;8.33;;;;;1;1.28
REA;2020;060789195;060785011;SURVENF;10;3660;473;;;2470;;;;0;6;1.56;11;2;12.35;3;1;4.21;10;1;11.01;;;;3;2;4.2
REA;2020;060791811;060010808;REAADU;8;2920;268;273;7;2570;81;57;119;2;11;3.53;;1;0.8;13;2;15.13;8;3;11.22;;1;0.28;;1;0.39
REA;2020;060791811;060010808;SURVADU;10;3650;402;;;3059;;;;2;3;2.27;;1;0.5;6;3;8.36;6;2;8.58;;2;0.17;;1;0.61
REA;2020;060794013;060790797;REAADU;11;4015;776;797;48;2933;14;30;196;;;;1;;1.11;19;;18.3;10;;10.06;;;;4;;3.12
REA;2020;060794013;060790797;SITOT;8;2920;603;;;2317;;;;;;;;;;;;;;;;;;;;;
REA;2020;060794013;060790797;SURVADU;28;10220;2406;;;7258;;;;;;;;1;0.35;;18;7.76;;8;4.88;;;;;5;3.9
REA;2020;060794013;060790797;USIC;8;2920;603;;;2317;;;;;;;0;;0.4;5;;6.92;5;;5.93;;;;;;
REA;2020;060800166;060780608;SITOT;0;0;731;;;2391;;;;;;;;;;;;;;;;;;;;;
REA;2020;060800166;060780608;SURVADU;33;7665;1110;;;5848;;;;10;2;1.5;8;;0.7;6;;5.45;10;1;8.25;1;5;0.2;1;;0.5
REA;2020;060800166;060780608;USIC;0;0;731;;;2391;;;;2;1;2.5;1;;0.8;11;1;7.4;8;1;5.6;1;;0.1;;;
REA;2020;070000013;070002878;SURVADU;4;1460;205;;;1018;;;;1;;1;0;;0.46;15;2;12.75;8;2;7.05;;;;;;0.44
REA;2020;070000179;070780358;REAADU;8;2920;442;458;24;2944;11;38;111;4;0;4.09;1;1;1.13;20;10;24.26;11;12;17.94;0;0;0;1;4;3.61
REA;2020;070000179;070780358;SURVADU;10;3650;437;;;2047;;;;5;0;1.1;1;0;0.3;7;2;7.16;3;0;2.92;0;0;0;3;1;0.37
REA;2020;070000609;070005566;REAADU;8;2272;179;187;4;1350;9;34;44;;;;;;;;;;;;;;;;;;
REA;2020;070000609;070005566;SURVADU;5;1825;189;;;786;;;;1;;1.54;;;;13;1;12.47;11;1;9.76;;;;2;1;1.92
REA;2020;070780168;070000088;SURVADU;4;1460;65;;;407;;;;0;3;0.2;;;;0;2;1;0;2;1;;;;;;
REA;2020;070780424;070000245;REAADU;0;0;1;1;0;40;100;17;0;0;;0;;;;;;;;;;;;;;;
REA;2020;070780424;070000245;SURVADU;18;6588;820;;;4273;;;;8;5;13;1;;1;18;;13.28;10;3;10.34;;;;;;
REA;2020;080000110;080011174;REAADU;5;780;68;68;5;352;26;37;14;;;;;;;3;;2.39;2;1;2.05;;1;0.07;1;;0.62
REA;2020;080000110;080011174;SURVADU;;840;125;;;681;;;;3;1;1.68;;;;5;;4.62;4;1;3.96;;1;0.13;2;;1.21
REA;2020;080000219;080001969;SURVADU;6;2190;462;;;1684;;;;0;7;0.78;0;2;0.15;1;10;4.65;0;8;3.69;0;0;0;0;0;0
REA;2020;080000425;080011174;AUTSI;1;366;75;;;468;;;;6;;0.8;;;;1;1;1.31;1;1;1.21;;;;;1;0.21
REA;2020;080000425;080011174;REAADU;17;7049;470;489;11;3958;20;42;84;5;1;4.46;;;0.28;31;4;31.59;13;6;18.15;;;;1;1;1.29
REA;2020;080000425;080011174;SITOT;13;4566;732;;;4401;;;;;;;;;;;;;;;;;;;;;
REA;2020;080000425;080011174;SURVADU;;;1;;;4;;;;5;;1.35;;;;;;;;;;;;;;;
REA;2020;080000425;080011174;USIC;12;4200;657;;;3933;;;;1;;0.2;;;;9;8;14.95;8;7;11.93;;;;;;
REA;2020;090000175;090781774;REAADU;8;2920;506;519;35;3178;3;36;132;3;2;3.17;;1;0.58;19;6;17.8;17;1;12.59;;;;;;
REA;2020;090000175;090781774;SURVADU;4;1460;58;;;119;;;;3;2;1.59;;1;0.29;19;6;8.91;17;1;6.3;;;;;;
REA;2020;090000183;090781816;AUTSI;8;2920;133;;;2670;;;;1;;1;1;;0.35;11;1;12.5;9;;10.29;2;;1.3;6;3;5.63
REA;2020;090000183;090781816;SITOT;8;2920;133;;;2670;;;;;;;;;;;;;;;;;;;;;
REA;2020;090000183;090781816;SURVADU;2;730;138;;;591;;;;;2;0.2;1;;0.1;4;;3.12;3;;2.57;;;;2;1;1.85
REA;2020;100000090;100000017;AUTSI;2;732;36;;;742;;;;0;4;1.4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
REA;2020;100000090;100000017;REAADU;12;4392;596;618;39;4609;6;40;99;0;6;4.16;0;1;0.99;0;37;32.1;0;26;21.53;0;0;0.17;1;8;4.37
REA;2020;100000090;100000017;SITOT;20;7320;1420;;;6305;;;;;;;;;;;;;;;;;;;;;
REA;2020;100000090;100000017;SIUNV;4;1464;270;;;1208;;;;0;5;0.83;0;0;0;0;16;6.04;0;17;0.63;0;0;0;0;3;0.57
REA;2020;100000090;100000017;SURVADU;6;2196;249;;;1135;;;;0;5;1.56;0;1;0.13;0;37;4.3;0;26;2.86;0;0;0;0;3;0.14
REA;2020;100000090;100000017;SURVENF;4;1464;265;;;640;;;;0;6;0.51;0;7;6.4;0;0;0;0;13;0.7;0;0;0;0;3;0.3
REA;2020;100000090;100000017;USIC;14;5124;1114;;;4355;;;;0;8;0.84;0;0;0;16;8;20.41;10;3;12.08;0;0;0;0;1;0.05
REA;2020;100000124;100009075;SURVADU;12;4380;605;;;2904;;;;6;;6;;13;10.22;;8;6.68;;19;13.08;;;;;;
REA;2020;100000199;100006279;SURVADU;;;437;;;1772;;;;;;;;;;;;;;;;;;;;;
REA;2020;100010818;100010792;SURVADU;8;2920;677;;;3962;;;;;;;1;0;1;10;1;10.8;10;1;10.69;;;;3;0;3
REA;2020;110000023;110780061;REAADU;8;2970;375;383;30;2347;1;46;63;;8;6.68;;1;0.6;0;38;20.2;0;29;14.68;0;7;0.8;;1;0.67
REA;2020;110000023;110780061;SITOT;16;5856;1382;;;5265;;;;;;;;;;;;;;;;;;;;;
REA;2020;110000023;110780061;SIUNV;8;2928;724;;;2760;;;;;6;0.68;;1;0.3;7;3;9;9;0;8.96;0;7;0.5;;0;0
REA;2020;110000023;110780061;SURVADU;6;2196;271;;;1013;;;;;8;2.88;;1;0.3;0;38;11.03;0;29;10.32;0;7;0.2;;1;0.44
REA;2020;110000023;110780061;USIC;8;2928;658;;;2505;;;;;4;0.5;;1;0.33;11;1;11.92;7;0;6.84;0;0;0;;0;0
REA;2020;110000056;110780137;REAADU;8;2920;367;370;17;2470;5;40;32;6;0;4.71;1;0;0.75;23;4;18.45;17;0;12;0;0;0;1;;0.75
REA;2020;110000056;110780137;SITOT;10;3650;1131;;;3098;;;;;;;;;;;;;;;;;;;;;
REA;2020;110000056;110780137;SIUNV;4;1460;470;;;1186;;;;;;0.76;;;;16;;5.38;10;;3.36;;;;;2;0.1
REA;2020;110000056;110780137;SURVADU;4;1460;168;;;613;;;;6;;1.57;1;;0.25;23;4;6.01;17;;4;;;;;;0.25
REA;2020;110000056;110780137;USIC;6;2190;661;;;1912;;;;4;6;1.14;;;;16;;8.08;10;;5.04;;;;;2;0.11
