BOR;AN;nofinesset;nofinessej;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;CRAN;CERE;STEREOT;NPED;ENDO;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2019;310783048;310781406;1;78;1;1;1;;1;1;;0;;1;1;1;1;1;3078;26;24039;39;1;243;323;4102;850;2575;684;58;3075
NEUROCHIR;2019;330781360;330781196;1;72;1;1;0;;;;;;;1;1;0;1;1;2462;32;18655;230;2;854;553;5614;1475;2465;752;273;1832
NEUROCHIR;2019;340015502;340000512;1;30;1;0;1;2;1;0;;0;;1;0;1;0;1;1677;11;7275;1;0;10;81;337;582;876;0;0;0
NEUROCHIR;2019;340782085;340780477;1;53;1;0;1;8;1;0;;0;;1;1;1;1;1;2486;75;12831;290;9;1396;86;1354;690;1625;988;251;3414
NEUROCHIR;2019;350000741;350005179;1;48;0;1;0;;1;1;;1;;1;1;1;1;1;2765;37;15505;28;0;116;101;901;454;1608;425;81;1587
NEUROCHIR;2019;370000499;370000481;1;5;0;0;1;;0;1;;0;;0;0;0;1;0;1;0;5;325;106;1205;58;282;12;20;0;0;0
NEUROCHIR;2019;370000861;370000481;1;30;1;1;1;;1;1;2400;0;;1;1;1;1;1;1886;91;9101;7;1;30;137;1576;654;2883;530;34;2504
NEUROCHIR;2019;380000067;380780080;1;39;1;1;0;;1;1;2737;0;;1;1;0;1;1;2098;26;12878;24;0;113;375;2331;461;1556;321;89;1519
NEUROCHIR;2019;420785354;420784878;1;43;1;1;1;1;1;1;4015;0;;1;1;1;1;1;2007;60;13079;17;1;80;82;828;306;641;109;11;772
NEUROCHIR;2019;440017598;440000289;1;31;0;0;0;0;1;1;;0;;1;1;1;1;1;1692;285;8006;4;0;15;436;1636;186;191;411;57;1776
NEUROCHIR;2019;450002613;450000088;1;18;0;0;0;;0;0;;0;;1;0;1;0;0;643;2;4399;8;0;54;56;544;154;557;0;0;0
NEUROCHIR;2019;490000049;490000031;1;32;0;1;1;2;1;1;;1;;1;1;0;1;1;1759;37;9708;10;0;56;157;912;13;38;169;6;1061
NEUROCHIR;2019;510004302;510000029;1;30;0;1;1;5;1;1;520;1;0;1;1;0;0;1;1908;168;6847;11;2;35;36;370;596;1737;238;9;1036
NEUROCHIR;2019;540001138;540023264;1;72;1;1;1;8;1;1;;1;;1;1;1;0;1;2697;16;23606;16;0;55;131;1625;151;1504;540;39;2463
NEUROCHIR;2019;540002698;540023264;1;8;0;0;1;8;1;1;;0;;;;;1;0;0;0;0;424;10;1947;93;377;2;6;23;1;137
