BOR;AN;nofinesset;nofinessej;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2020;050000231;050000116;30;9970;19;;;;;;;;;;;;;;;;;;;;;;
USLD;2020;050000256;050000124;30;7198;6;15;;;;;1;;6;;;;;;;;;;;;;;
USLD;2020;050000348;050002948;50;18124;30;9;;;;2;16;;;;;;8;3;;;;;;;8;;
USLD;2020;060000478;060780897;30;10209;18;17;;;1;1;1;;12;2;;;;;;;;;;;;;
USLD;2020;060000551;060781010;41;13424;57;24;;;14;14;;;1;;1;;;;20;;;;;;31;;
USLD;2020;060002102;060791761;30;10779;17;20;;;;;;;;;;;;;;;;;;;1;1;
USLD;2020;060019213;060005188;60;17090;76;40;;0;;21;;0;;18;;0;;0;37;0;0;1;0;0;4;14;0
USLD;2020;060023702;060780954;20;6430;12;7;0;;3;;0;;4;;0;;0;;3;0;0;0;8;0;1;0;0
USLD;2020;060788957;060785011;61;12001;46;;;;;;2;;14;;;;;;12;89;;;;;23;;
USLD;2020;060790177;060785011;40;13938;15;6;;;;;;;8;;;;;;7;;;;;;2;;
USLD;2020;060791811;060010808;75;25216;32;36;;;;;7;6;9;1;;;;9;;;;;;;3;;
USLD;2020;060794021;060780988;54;19400;21;18;;;1;;2;;14;;;;;;4;21;11;0;2;0;0;0;0
USLD;2020;070000047;070780127;75;22821;67;29;;;3;2;;1;48;4;;;;2;7;;;;;;4;1;7
USLD;2020;070784517;070002878;56;20148;27;23;;;5;1;;;18;;;2;;;1;;;;;;7;1;
USLD;2020;080000110;080011174;43;13013;25;32;;;2;;4;;9;;;;;;10;;;;1;;3;;
USLD;2020;080000276;080001969;20;6268;20;20;;;1;;;;16;;;;3;;;20;;;;;1;;
USLD;2020;080005960;080011174;65;19183;32;34;;;6;3;;;2;5;;;;;16;;;;1;;;;
USLD;2020;090003823;090781816;20;6135;12;11;0;0;0;0;1;0;8;2;0;0;0;0;0;;;;0;0;1;0;0
USLD;2020;100000116;100000041;30;10613;27;18;;;6;3;;;6;;;;;;12;;;;;;;;
USLD;2020;100000140;100000058;30;10250;21;16;;;;;;;;;;;;;;;;;;;;;
USLD;2020;100006493;100000017;70;21149;34;40;;;20;1;;;12;;;;;;1;;;;;;1;2;
USLD;2020;110000049;110780087;30;10716;22;20;;;2;;;;6;;;;;;2;;;;;;;;
USLD;2020;110000247;110780772;30;10971;17;17;;;;;2;;1;;;;;;14;;;11;;;1;;
USLD;2020;110006137;110780061;30;9834;18;13;;;1;1;;;;5;;;;;11;;;;1;;7;;
USLD;2020;110781283;110780137;90;31893;39;49;;;5;;;;13;1;;;;;58;0;0;53;0;0;48;;
USLD;2020;110786746;110786324;30;10740;5;3;;;;;;;4;;;1;;;;;;12;;;1;;
USLD;2020;120000070;120780085;30;11170;19;6;;;1;;;;14;;;;;;4;;;;;;3;;
USLD;2020;120000088;120780093;30;10551;12;10;;;1;;;;7;;;;4;;;;;;;;2;;
USLD;2020;120000153;120780291;40;14040;28;18;0;0;0;1;0;0;10;9;0;0;0;1;7;0;0;0;0;0;9;1;
USLD;2020;120004668;120004619;40;13045;26;22;0;0;2;0;3;0;17;0;0;0;0;0;2;0;0;0;0;0;3;0;0
USLD;2020;120782263;120780069;80;26837;85;67;;;22;1;23;;16;;;;23;;;;;;;;9;11;
USLD;2020;120783097;120004528;50;17378;10;11;0;;1;;6;;2;;0;;0;;1;0;0;0;0;0;0;0;0
USLD;2020;120786959;120780044;30;8352;40;36;0;0;5;1;4;0;14;6;0;0;0;0;9;0;0;0;0;0;3;;
USLD;2020;130000516;130781339;56;17668;38;38;;;16;8;;;8;;;;;;6;;;;;;1;;
USLD;2020;130000565;130781446;30;9769;16;16;;;1;2;3;;8;;;;;;2;16;0;3;5;0;1;0;2
USLD;2020;130001225;130782634;33;11604;15;19;0;0;0;0;1;0;10;1;0;0;2;2;16;0;0;5;8;0;0;0;0
USLD;2020;130001258;130028228;30;9238;17;12;0;0;0;2;0;0;7;1;0;0;0;0;7;0;0;0;0;0;5;0;0
USLD;2020;130032758;130001514;80;29280;96;41;;;;;;7;;10;;;;;30;;;;;;2;4;
USLD;2020;130782097;130000938;19;6892;10;4;;;;3;;;6;;;;;;1;;;;;;;;
USLD;2020;130790157;130789316;30;8669;16;16;;;2;3;;;7;4;;;;;29;;;;;;3;;
USLD;2020;130798358;130041916;70;23759;22;35;;;2;6;;;;13;;;;;1;;;;;;;2;
USLD;2020;130808843;920030152;30;528;6;9;2;;0;;0;;2;;0;;0;;1;0;0;0;5;0;0;5;0
USLD;2020;130809015;130001928;150;47829;62;63;;;;;11;5;11;10;;;;;25;;;;;;8;1;
USLD;2020;130811102;130007487;5;590;28;9;;;;;;;;;;;;;;;;;313;;;;
USLD;2020;140000027;140000035;40;12015;15;21;;;2;1;3;;5;3;;;;;;;1;;19;;2;;
USLD;2020;140000241;140026279;30;10393;28;23;;;;;;;;;;;;;;;;;;;;;
USLD;2020;140000373;140000159;30;10454;34;29;;;6;11;5;;5;2;;;;;5;;;;;;1;1;0
USLD;2020;140012196;140000100;100;32849;68;38;;;8;17;;;1;7;1;2;;2;29;;0;;12;;29;4;
USLD;2020;140013830;140000118;60;21960;38;39;;;10;;7;;12;;;;;;9;;;;;;3;1;
USLD;2020;140017401;140000092;50;17344;17;23;;;2;2;;;5;;1;;;;7;;;4;10;0;;1;
USLD;2020;150000032;150780088;37;12286;15;13;;;1;2;;;;5;3;;;;4;0;0;9;0;0;0;0;0
USLD;2020;150000040;150780096;48;16447;32;26;;;3;;;;18;;2;;;;2;;7;15;12;;1;3;
USLD;2020;150000164;150780468;27;6961;19;18;;;3;;;;6;;;1;;;9;;;;;5;2;;
USLD;2020;150000180;150780500;30;10382;23;22;;;2;;;;14;;;;;;7;;;;;;;;
USLD;2020;150002921;150780468;12;3453;17;2;;;;;;;;1;;;;;16;;;;;;3;;
USLD;2020;160000188;160000121;53;16604;52;25;;;;;;;;;;;;;;;;;;;;;
USLD;2020;160000253;160000451;30;10339;34;29;;;5;1;17;;2;2;;;;;;;;;;;;;
USLD;2020;160000261;160014411;37;12160;18;14;;;;;;;3;;;;;;5;;;;;;;;
USLD;2020;160000303;160006037;80;28239;48;32;;;;;;;29;;;;;;14;;;;;;4;;1
USLD;2020;160000311;160000485;30;10053;19;17;;;3;;;;9;2;;;;;5;;;;8;;;;
USLD;2020;160000360;160014411;65;22368;20;25;;;;;14;2;2;2;;;;;9;;;;;;;;
USLD;2020;170000152;170780225;50;15846;12;16;;;1;;;;10;;;;;;1;;;;2;;;;
USLD;2020;170784110;170024194;92;33088;34;33;;;4;;2;;17;;1;;;;5;;14;4;2;;2;;
USLD;2020;170792220;170780175;45;15148;26;29;0;;25;1;3;;2;0;2;0;0;0;21;;;;;;;;
USLD;2020;170802789;170780191;50;18091;20;21;;;4;;;;9;;;;;;7;;;;;;;;
USLD;2020;180000176;180001158;40;13699;12;12;;;;;;;;2;6;;;;4;;;32;3;;1;;
USLD;2020;180000200;180000051;46;16325;30;18;;;;;;;;;;;;;;;;;;;;;
USLD;2020;180000333;180000093;30;8069;26;19;;;;;0;;11;;;;;;;;;;;;6;;
USLD;2020;180003287;180000028;60;21385;31;25;;;3;;1;;22;;;;;;5;;;;4;;7;;
USLD;2020;180003386;180000069;41;12906;25;19;;;8;;5;;11;;;;;;1;;;;;;5;;
USLD;2020;180007825;180001158;60;20942;5;10;;;;1;;;;;2;1;;;1;;;32;5;;1;;
USLD;2020;190000018;190000042;22;7852;22;15;;;;;10;;9;;;;;;;;6;;;;2;;
USLD;2020;190000034;190000067;30;10362;24;16;;;5;4;;3;9;;;;;;3;;;6;;;3;;
USLD;2020;190000091;190000075;30;10736;11;8;;;1;;;;5;;;;5;;;;;;;;;;
USLD;2020;190002493;190000059;53;19389;29;23;;;2;1;8;;8;1;;;;;3;;;;;;;;
USLD;2020;190005140;190002485;30;11217;32;25;;;;19;;;;6;;1;0;;6;;;;;;12;1;3
USLD;2020;190005165;190002519;71;22273;58;49;;;;;;;;;;;;;;;;;;;;;
USLD;2020;210986089;210780581;38;12769;58;23;;;1;;1;;13;;;;;1;2;;;;;;;;
USLD;2020;210987574;210012175;30;10451;15;7;;;12;1;;;1;;;;1;;;;;;;;4;;
USLD;2020;210987616;210012175;30;8504;13;11;;;3;;;;;;;;;;10;;;;;;2;1;
USLD;2020;210987673;210012142;30;6069;37;9;;;3;;;;7;;;;;;27;;;;;;;;
USLD;2020;210987939;210780607;42;15261;8;8;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0
USLD;2020;220000095;220000046;60;21900;49;44;;;10;1;;;31;1;;1;;;5;19;;9;37;;4;1;
USLD;2020;220000343;220000079;30;9439;31;24;0;;6;3;3;3;9;;;;;;7;;;;;;6;;
USLD;2020;220000368;220000103;30;10371;16;14;;;4;1;;;6;;;;;;4;;;;;;;;
USLD;2020;220000566;220021968;30;10335;29;31;;1;13;1;;;4;1;;;;;9;;;;2;;5;1;
USLD;2020;220001259;220005045;60;18406;62;42;;;;1;6;10;25;;;;;;20;;;;;;15;;
USLD;2020;220006423;220000152;30;9561;20;11;;;3;;5;;1;2;;1;;;8;;;;;;2;;
USLD;2020;220014138;220017974;30;10247;20;10;;;;5;;;6;1;2;;;;6;;;;;;;;
USLD;2020;230000259;230780041;50;16420;41;34;;;12;6;;;12;1;;1;;;9;0;2;0;54;0;;;
USLD;2020;230000838;230780058;30;8044;12;12;;;;;;;;;0;;0;;;;;;;0;;;
USLD;2020;230000846;230780066;30;8595;23;25;;;4;8;;;9;;;;;;2;;;;;;1;;
USLD;2020;230000952;230780512;30;9350;15;14;;;;;;;;;;;;;;;;;;;;;
USLD;2020;230000960;230780520;30;10855;6;3;;;;1;;;;;;;;;5;;;;;;1;;
USLD;2020;240000372;240000059;50;16894;29;27;0;;9;;3;;12;;0;;0;;1;0;0;0;4;0;1;0;0
USLD;2020;240000471;240000109;30;10916;19;11;;;2;1;;;12;3;;;;;1;;;4;;;5;;
USLD;2020;240000489;240000117;60;21960;41;23;;;6;;;;10;5;;;;;17;;;;9;;4;;
USLD;2020;240000505;240016055;60;19834;23;14;;;4;;4;;;;;;;;;;;;;;2;;1
USLD;2020;240000687;240000448;40;14640;7;3;0;0;0;0;0;0;4;0;0;0;0;0;3;0;0;0;2;0;1;0;0
USLD;2020;250000627;250000221;30;8522;21;29;0;;3;2;0;0;9;1;0;0;0;0;6;0;0;2;10;0;0;0;0
USLD;2020;250000635;250000239;20;7132;19;11;0;;5;;0;;5;;0;;0;;9;;;;;;8;;
USLD;2020;250000882;250002839;30;10101;15;23;;1;;;;5;;3;;;;;6;;;;;;6;1;
USLD;2020;250001237;250007598;60;20951;28;22;;;;3;;;;15;;;;;10;;;;;;2;;
USLD;2020;250001252;250007788;91;32211;39;55;;;2;;8;;25;;;;;;4;;;;;;0;0;0
USLD;2020;250004009;900000365;30;10501;11;16;0;0;1;0;0;0;10;0;0;0;0;0;0;0;4;0;0;0;0;0;0
USLD;2020;250007234;250000452;30;10506;8;10;;;;;;5;;;;;;;3;;;;;;2;;
USLD;2020;260000013;260000021;74;25225;47;48;;;;1;;26;;10;;;;;9;;;;;;;1;2
USLD;2020;260000138;260000047;40;14640;15;15;0;0;1;0;0;0;12;0;0;0;0;0;7;;0;;;;4;;
USLD;2020;260000195;260006770;58;19456;35;38;;;;;;;11;14;;;;;10;;;;;;;;
USLD;2020;260000823;260003264;33;11070;3;4;;;;;;;;;3;;;;;;;;;;8;;
USLD;2020;270000367;270000086;55;19328;48;35;0;;1;1;0;;22;6;;;;;15;;;;;;;;
USLD;2020;270000425;270000102;37;13542;16;14;;;;;;;3;;;;;;13;;;;;31;;;
USLD;2020;270000441;270000110;50;14999;45;33;0;0;1;2;0;0;16;8;0;0;0;0;13;0;0;0;0;0;10;0;0
USLD;2020;270000516;270000177;30;10562;19;16;;;;;;5;5;;;;;9;;0;;;;;;;1
USLD;2020;270026107;270023724;30;9388;29;11;;;12;;;;5;;;;;;10;;;;;;11;1;
USLD;2020;280000050;280000142;50;17694;10;9;0;0;0;0;0;0;0;0;7;0;0;0;3;0;0;0;0;0;1;0;0
USLD;2020;280000084;280000183;92;29969;27;35;;;2;;;;18;;;;;;7;;;;;;;;
USLD;2020;280000100;280000225;36;11796;25;22;;;12;;;;3;3;;;;;7;;;;;;;4;
USLD;2020;280000662;280500075;40;13933;30;21;;;2;;3;;21;;;;;;4;;;6;;;;3;
USLD;2020;290000033;290021542;10;2801;8;7;;;;;2;;1;;1;;;;4;16;0;;3;0;2;1;
USLD;2020;290000066;290020700;34;12003;24;20;;;8;;;;1;8;;;;;7;0;0;0;0;0;0;0;0
USLD;2020;290000256;290000017;34;8203;71;30;;;;;;;;;;;;;;;;;;;;;
USLD;2020;290000553;290021542;90;32249;25;17;;;;;2;;10;1;8;;;;4;116;0;58;8;0;7;1;
USLD;2020;290000785;220020739;48;17143;13;16;0;0;1;0;0;0;11;0;0;0;1;0;;;;;;;0;0;0
USLD;2020;290008853;290000074;30;10127;21;20;;;3;;3;;15;;;;;;;;;;;;;;
USLD;2020;290014687;560005746;30;10759;9;10;;;;;;;;;;;;;;;;;;;;;
USLD;2020;290017946;290000017;118;42381;43;38;0;0;10;1;1;0;10;7;1;0;0;0;5;;;26;7;0;2;0;0
USLD;2020;290024462;290000298;56;19271;5;8;;;;;;;;;4;;;;1;;;65;3;;2;;
USLD;2020;290025113;290020700;30;11082;31;22;;;5;;2;;3;5;;;;;16;1;;;;;4;;
USLD;2020;290025147;290020700;30;10488;20;14;;;5;1;2;;2;3;;2;;;5;;;2;;;4;;
USLD;2020;2A0000212;2A0000170;30;9759;15;9;;;;1;;;3;3;;;;;8;0;0;0;0;0;2;4;0
USLD;2020;2A0002614;2A0002606;30;7778;6;9;;;;;;;5;;;;;;1;;;;;;1;;
USLD;2020;2A0023271;2A0000014;70;25550;37;28;0;;1;;0;;25;2;;;;;3;0;0;0;;0;0;0;0
USLD;2020;2B0000038;2B0004246;10;2037;3;3;;;1;;;;;;;;;;3;;;;;;;;
USLD;2020;2B0004089;2B0000020;30;9760;24;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2020;2B0005359;2B0005342;20;7075;16;14;;;10;1;;;;;;;;;4;;;;;;;;
USLD;2020;300000031;300780053;30;9455;15;17;0;0;6;0;0;0;0;2;0;0;0;0;6;0;0;0;1;0;3;0;0
USLD;2020;300000064;300780087;30;10543;23;13;;;8;4;;;3;;;;;;8;0;0;0;0;0;2;9;0
USLD;2020;300000072;300780095;30;11221;18;11;;;13;3;;;10;10;;;;;4;;;;;;7;;
USLD;2020;300012481;300780046;27;9782;10;10;;;;;;;;;;;;;;;;;;;;;
USLD;2020;300012499;300780046;63;22796;29;26;;;;;;;;;;;;;;;;;;;;;
USLD;2020;300782125;300780038;156;49571;107;;;;;;;;;;;;;;;;;;;;;;
USLD;2020;310000310;310780671;60;18322;43;36;;;38;1;;1;;;;;;;3;;;;;;;2;
USLD;2020;310000336;310780713;61;20591;39;23;;;;;;;;;;;;;;;;;;;;;
USLD;2020;310013628;310786256;53;18326;23;22;0;0;0;0;2;0;0;4;14;0;0;0;5;0;0;0;2;0;4;0;0
USLD;2020;310021571;310021563;58;20052;23;19;;;;;3;2;14;4;;;;;;2;;;;;2;1;
USLD;2020;310022298;310781406;60;20989;35;35;;;;;5;;23;3;;;;;4;0;0;12;6;0;1;0;0
USLD;2020;310786702;750043713;76;26371;32;40;;;;4;;;21;;;;;;7;;;;;;5;;
USLD;2020;310794094;310780754;80;28055;35;9;;;;2;;;;1;8;3;;;5;;;22;;;;;
USLD;2020;320000086;320780117;70;23837;52;31;5;0;7;3;29;0;0;3;0;5;0;0;6;0;0;0;0;0;0;0;0
USLD;2020;320000102;320780133;35;11052;24;19;0;;8;4;0;;12;;;;;;24;0;0;0;0;0;2;1;0
USLD;2020;320000128;320780158;30;10601;23;21;;;;7;;;11;1;;2;;;;;;;;;;;
USLD;2020;320000144;320780174;30;10651;15;11;0;0;0;3;0;0;9;0;0;0;0;0;3;0;0;2;0;0;0;4;0
USLD;2020;320000177;320780208;30;10447;21;20;;;9;5;;;4;;;;;;2;;;;12;;3;2;
USLD;2020;330000571;330781220;20;6405;22;17;;;5;;;;;;;;17;;;;;;;;;;
USLD;2020;330000613;330781261;60;21070;36;29;;;1;2;;;15;5;;;;;13;;;;;;3;8;
USLD;2020;330005182;330792862;50;17710;28;12;;;;12;;;;1;;;;;12;;;;2;;8;;
USLD;2020;330781337;330781196;120;40287;39;33;;;;;;;;;;;;;;;;;;;;;
USLD;2020;330791641;330056540;80;28341;32;27;;;;2;;22;;;;;;;;0;4;0;4;0;6;2;0
USLD;2020;340000033;340780055;143;48228;154;44;;;;;;;;;;;;;;;;;;;;;
USLD;2020;340000215;340780519;28;9797;22;8;;;8;;;;7;;;;25;;;;;;;;;10;
USLD;2020;340000231;340780535;49;15902;22;24;;;4;1;;;4;2;;;;;11;;;0;;;1;4;
USLD;2020;340008275;340780477;28;14737;8;;;;;;;;;;;;;;;;;;;;;;
USLD;2020;340024512;340001825;80;27708;36;24;0;1;0;0;0;19;0;2;0;0;0;0;14;0;0;0;0;0;8;0;0
USLD;2020;340780436;340011295;35;10656;36;;;;;;;;;;;;;;;;;;;;;;
USLD;2020;340780444;340009893;30;10543;24;16;;;6;;;;8;;;;;;9;0;0;;0;0;1;0;0
USLD;2020;340782481;340780477;112;34373;93;;;;4;3;18;1;27;7;;;;;23;;;1;;;18;;1
USLD;2020;340796051;340011295;55;19045;61;;;;;;;;;;;;;;;;;;;;;;
USLD;2020;350000154;350000030;49;16539;33;24;;;10;;8;;12;;;1;;;2;;;;;;6;51;
USLD;2020;350000162;350000048;30;10980;7;6;;;3;;;;4;;;;;;4;;6;;14;;1;;1
USLD;2020;350000436;350002317;30;9729;25;17;;;6;;;1;4;11;;;;;3;0;0;0;0;0;1;;
USLD;2020;350002911;220020739;30;10401;30;26;0;0;0;;0;13;10;2;0;;0;;5;0;0;0;0;0;2;1;0
USLD;2020;350005021;440042844;60;21190;51;;;;;28;;;;;;;;;12;;;;;;;;
USLD;2020;350006771;350005179;120;34369;62;53;;;35;5;;;14;2;;;;;6;0;0;0;14;0;1;7;
USLD;2020;350013629;350000022;83;28275;66;67;0;;14;;25;3;7;2;3;;0;;8;;;;;;1;0;
USLD;2020;350016135;350000055;53;18119;32;24;;;;;;;;;;;;;;;;;;;8;;
USLD;2020;350032280;350000246;80;28965;33;24;;;;5;;;;;13;;;;15;;;;;;1;;
USLD;2020;360000160;360000053;30;9764;32;21;;;7;1;2;;9;;;;;;13;;;4;1;;;;
USLD;2020;360000202;360000103;29;8991;19;18;0;0;0;3;0;0;11;0;0;0;0;0;4;0;0;0;0;0;4;1;0
USLD;2020;360004618;360000046;30;9635;23;14;;;9;3;;;9;;;;;;2;;;;;;5;0;1
USLD;2020;360006688;360000392;81;23424;45;31;;;;;;;;;;;;;;;;;;;18;0;0
USLD;2020;370000531;370000606;124;44008;51;49;0;0;15;4;0;0;110;2;0;0;30;4;;0;0;0;14;24;5;0;0
USLD;2020;370102659;370013054;80;29198;12;3;;;;;;;;;;8;;;4;;;;;;2;;
USLD;2020;380000026;380780031;30;10919;14;10;;;5;;;;6;;;;;;1;;;;;;;;
USLD;2020;380000075;380780098;45;15890;21;21;;;;8;;;3;;;;;;10;;;;;;;;
USLD;2020;380000109;380780213;76;26472;45;44;0;0;7;10;0;0;10;4;;;;;14;;;;;;5;2;
USLD;2020;380000356;380782698;70;25445;38;32;0;;0;8;0;6;0;16;0;0;0;0;8;;;;;;6;0;0
USLD;2020;380020388;380780080;30;10517;27;23;;;8;;;;1;;;;;;6;;;;;;1;;6
USLD;2020;380782722;380780080;165;50478;134;68;;;12;4;25;;21;1;;;;;;;;;;;7;;
USLD;2020;380785840;380780049;38;13485;28;28;;;11;11;1;;;1;;;;;12;;;;;;;;
USLD;2020;380798520;380780049;47;16085;23;29;;;8;2;;;;2;;;;;23;;;;;;;;
USLD;2020;380802512;380793265;45;14637;28;31;;;;;17;;3;;;;8;;;;;;;;;;
USLD;2020;390000040;390780146;81;28321;29;32;;;;;;;25;;;;;;4;;;;;;;;
USLD;2020;390000065;390780161;30;9869;28;17;;;6;;7;;12;2;;;;;1;;;;;;;1;
USLD;2020;390784833;390780609;32;11422;29;25;;;1;;4;;21;;;;;;3;;;;4;;2;2;
USLD;2020;400000147;400780268;40;14369;36;15;;;10;;;2;22;;;;;;1;;;;;;2;;
USLD;2020;400000261;400780458;150;55133;58;46;;;;3;;;40;3;;;;;12;;;;60;3;11;;
USLD;2020;400006607;400011177;30;10693;38;30;;0;;0;;10;;7;;0;;0;5;0;0;0;1;0;3;0;0
USLD;2020;400780250;400011177;80;22297;39;27;0;;7;;2;;20;;1;;0;;1;;;;;;5;3;0
USLD;2020;400781043;400780193;99;30735;74;53;;;;;;;;;;;;;;1;0;6;1;0;;;
USLD;2020;410000020;410000087;100;34184;55;56;;;26;;;;14;;;;;;15;;;;;;;;
USLD;2020;410000046;410000103;60;21248;31;10;12;;;1;;;;;;;;;18;;;;;;1;;
USLD;2020;420000234;420780652;90;30961;64;54;;;14;;;;41;;;;;;9;;;;;;17;;
USLD;2020;420000275;420780694;30;10609;16;17;;;;;;;17;;;;;;1;;;;;;;;
USLD;2020;420780546;420000168;30;10598;14;19;0;0;0;3;0;4;0;1;0;0;0;0;6;0;0;0;0;0;2;0;0
USLD;2020;420782559;420784878;160;57664;124;108;;;24;1;;;93;1;;;;;2;;;;15;;11;6;
USLD;2020;420784845;420780033;90;29348;101;80;;;;;;;;;;;;;;;;;;;;;
USLD;2020;420789067;420780710;50;17690;42;32;;;;5;;3;;12;;;;;16;;;;;;8;;
USLD;2020;430000117;430000018;41;14754;32;31;;;7;1;3;;8;3;;1;;;7;;;;;;2;1;2
USLD;2020;430000190;430000034;20;6757;23;20;;;3;;2;1;16;1;;;;;0;;;1;1;0;;;
USLD;2020;430000307;430000067;40;12494;23;16;0;0;6;2;0;7;0;4;0;0;0;;4;;;;11;;;;
USLD;2020;430000356;430000091;30;10427;22;22;;;;;;;;;;;;;;;;;;;;;
USLD;2020;430007419;630786754;40;14050;21;19;;;;2;;;;;7;;;;12;;;25;;;4;;
USLD;2020;440000180;440000263;30;10750;5;5;;;;;;;;;5;;;;;;;;;;;;
USLD;2020;440000396;440053643;30;10079;36;31;;;13;;4;;19;;0;;;;;;;;19;;0;5;0
USLD;2020;440000503;440000313;30;10614;12;12;;;;1;;;7;;;;;;4;0;0;6;8;0;1;1;
USLD;2020;440000552;440042141;28;7876;19;14;;;;;;;13;1;;;;;5;;;;;;4;;
USLD;2020;440000644;440000347;30;10744;19;19;;;;3;;;9;;1;1;;;9;;;;;;1;0;0
USLD;2020;440000883;440042141;27;8888;12;11;;;;1;;;6;;;;;;5;;;;;;;;
USLD;2020;440001253;440028538;42;14649;35;20;0;0;6;1;0;0;10;0;0;0;0;0;18;;;;;;9;3;0
USLD;2020;440001295;440000859;39;13065;19;22;;;;;;;8;6;;;;;5;;;;;;;;
USLD;2020;440001964;440003267;30;9247;11;7;;;;;;;5;1;;;;;3;;;;;;2;;
USLD;2020;440002939;440018620;37;13145;22;24;;;;;;13;;3;;;;;6;;;;;;0;;
USLD;2020;440007607;440000057;74;25355;54;50;4;;29;2;;;13;3;;;;1;;;2399;;291;;;1;
USLD;2020;440021202;850009010;30;8984;29;11;2;0;2;0;2;0;13;0;0;0;0;0;0;0;2;;7;0;12;0;2
USLD;2020;440032399;440041531;28;10248;12;12;;;;;;;;;;;;;;;;;;;;;
USLD;2020;440050458;440000289;10;1170;1;;;;;;;;;;;;;;;;;;;;;;
USLD;2020;440050466;440000289;160;45823;35;;;;;;;;30;;;;;;5;;;;;;;;
USLD;2020;450000062;450000104;50;12567;22;18;;;3;;2;;13;1;;;;;3;;;;3;;4;;
USLD;2020;450000070;450000112;48;17335;19;31;;;;;1;;3;1;;;;;14;;;;;;;;
USLD;2020;450000336;450000179;40;14267;23;22;;;;4;;;4;4;;;;2;9;;;;;;;;
USLD;2020;450010442;450000088;160;57758;72;84;;;;;3;;19;13;;;;;37;;;;;;;;
USLD;2020;450019799;450000104;32;11457;16;4;;;1;;;;;;2;;;;13;;;;;;;;
USLD;2020;460000052;460780091;50;16807;22;22;;;8;2;;;6;;;1;;;5;;;;;;;;
USLD;2020;460785595;460780216;60;16291;10;23;;;;;8;;2;;;;;;;;;;;;;;
USLD;2020;470000431;470000324;41;14794;14;14;;;1;4;4;;2;2;;1;;;;0;0;0;3;0;1;1;0
USLD;2020;470000571;470000407;30;10459;19;11;0;0;6;0;0;1;6;0;0;0;0;0;6;;;;;;;;
USLD;2020;470008780;470016171;36;13021;19;27;;;1;;12;;5;;;;;;;26;12;2;0;0;;1;
USLD;2020;470012931;470001660;27;9700;6;5;;;3;;;;;;;;;;;;;;;;1;;
USLD;2020;480000017;480780097;30;9330;21;17;;;2;;;;7;1;;1;;;10;;;;;;0;0;1
