BOR;AN;nofinesset;nofinessej;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM;PCON;PACT
MCO;2020;050000231;050000116;44;16060;3027;706;12314;22;8030;1606;108;4836;9;3285;642;181;1575;75;27375;5275;995;18725;5;334;;;4567;5;1397;;0;;;10;1731;;;4567;1;1;1;1;0;1;1;1;1;;;;;15354;1194;12109;1;999;1981;;
MCO;2020;050000256;050000124;27;9882;1123;210;7442;;;0;0;0;;;0;0;0;27;9882;1123;210;7442;;0;;;0;;0;;0;;;;0;;;0;0;0;0;1;1;1;0;0;0;;;;;858;690;5462;;478;;;
MCO;2020;050000330;050007145;5;1135;37;0;1037;;;0;0;0;;;0;0;0;5;1135;37;0;1037;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;050000348;050002948;173;63196;9734;1091;52171;60;19771;3755;132;13154;18;6588;1749;83;5349;251;89555;15238;1306;70674;23;266;1;18;14244;14;2637;3;120;;;40;3023;1;18;14244;0;0;0;0;0;0;0;0;0;;;;;37535;2583;33689;1;1592;13081;;
MCO;2020;050007533;130784127;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;9521;;0;;0;;;;0;;;9521;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;060000163;060780327;4;1460;39;0;417;;;0;0;0;;;0;0;0;4;1460;39;0;417;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;060000304;060780657;5;1665;138;2;1707;;;0;0;0;;;0;0;0;5;1665;138;2;1707;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;060000411;060780780;6;2196;94;2;1283;;;0;0;0;;;0;0;0;6;2196;94;2;1283;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
MCO;2020;060000478;060780897;167;60955;8517;1142;44184;59;21535;2291;43;10189;32;11680;2844;81;10851;258;94170;13652;1266;65224;7;583;;;3813;16;1907;2;423;;;25;2913;;;3813;1;1;1;1;1;1;1;1;1;;;;;45706;1502;35013;846;5547;13858;;
MCO;2020;060000486;060780905;12;4392;246;7;3247;;;0;0;0;;;0;0;0;12;4392;246;7;3247;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;060000494;060780921;5;907;50;0;918;;;0;0;0;;;0;0;0;5;907;50;0;918;0;0;;;0;;0;;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;060000510;060780954;243;87371;11311;986;71386;53;19006;2872;126;14746;22;8052;1372;75;4639;318;114429;15555;1187;90771;24;808;0;0;3121;14;2346;3;372;;;41;3526;0;0;3121;1;1;1;1;1;1;1;1;1;130;50;42;65;56417;3312;32308;12;3306;7792;;
MCO;2020;060000528;060780962;92;30392;4597;63;29053;38;9408;1982;460;5056;;;0;0;0;130;39800;6579;523;34109;47;940;0;0;46041;15;1423;;0;;;62;2363;0;0;46041;1;1;0;1;0;0;1;0;0;;;;;50898;0;44475;0;0;9496;;
MCO;2020;060000544;060780988;249;88933;12891;1715;69959;67;24522;2532;53;14088;24;8784;2167;461;6590;340;122239;17590;2229;90637;29;1813;;;10873;16;2590;5;362;;;50;4765;;;10873;1;1;1;1;1;1;1;1;1;80;62;5;71;58204;1552;45297;721;3185;12715;;
MCO;2020;060001625;060006889;8;2664;139;3;1327;;;0;0;0;;;0;0;0;8;2664;139;3;1327;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;060002102;060791761;53;19398;2930;852;16450;42;9882;1285;167;6258;;;0;0;0;95;29280;4215;1019;22708;;0;;;29;9;2095;;0;;;9;2095;;;29;1;1;0;1;0;1;1;0;0;;;;;12679;904;13587;;964;1979;;
MCO;2020;060010899;060785011;0;;6;0;15;8;2928;69;9;188;;;0;0;0;8;2928;75;9;203;;0;;;0;5;2247;;0;;;5;2247;;;0;0;0;0;0;0;0;0;0;0;;;;;12449;0;10648;0;0;3388;;
MCO;2020;060010949;060790540;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;9671;;0;;0;;;;0;;;9671;;;;;;;;;;;;;;;;;;;;;
