BOR;AN;nofinesset;nofinessej;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2020;030780548;030000194;SSR_A;;55;20075;10;351;9562;8;2956;
SSR;2020;030780548;030000194;SSR_A50;1;30;;10;;6067;;2956;
SSR;2020;030780548;030000194;SSR_A59;1;25;;;;3495;;0;
SSR;2020;030780548;030000194;SSR_TOT;;55;20075;10;351;9562;8;2956;0
SSR;2020;030781116;030000426;SSR_A;;52;19032;;500;15734;10;0;
SSR;2020;030781116;030000426;SSR_A50;1;52;;;;15734;;0;
SSR;2020;030781116;030000426;SSR_TOT;;52;19032;;500;15734;10;0;0
SSR;2020;040000036;040780132;SSR_A;;10;3650;10;93;2636;1;21;
SSR;2020;040000036;040780132;SSR_A50;1;10;;10;;2636;;21;
SSR;2020;040000036;040780132;SSR_TOT;;10;3650;10;93;2636;1;21;
SSR;2020;040000044;040780140;SSR_A;;5;1830;;66;1830;4;0;
SSR;2020;040000044;040780140;SSR_A50;1;5;;;;1830;;0;
SSR;2020;040000044;040780140;SSR_TOT;;5;1830;;66;1830;4;0;
SSR;2020;040000069;040780215;SSR_A;;56;20440;;463;15854;26;0;
SSR;2020;040000069;040780215;SSR_A50;1;56;;;;15854;;0;
SSR;2020;040000069;040780215;SSR_TOT;;56;20440;;463;15854;26;0;0
SSR;2020;040000119;040780231;SSR_A;;15;5490;;236;5033;3;0;
SSR;2020;040000119;040780231;SSR_A50;1;15;;;;5033;;0;
SSR;2020;040000119;040780231;SSR_TOT;;15;5490;;236;5033;3;0;0
SSR;2020;040000135;050002948;SSR_A;;10;9263;0;277;7865;8;1250;
SSR;2020;040000135;050002948;SSR_A50;1;10;;;;7865;;0;
SSR;2020;040000135;050002948;SSR_A53;1;;;0;;0;;1250;
SSR;2020;040000135;050002948;SSR_A54;1;;;;;0;;0;
SSR;2020;040000135;050002948;SSR_A55;1;;;;;0;;0;
SSR;2020;040000135;050002948;SSR_TOT;;10;9263;0;277;7865;8;1250;
SSR;2020;040780389;040000192;SSR_A;;85;31110;;550;24394;67;0;
SSR;2020;040780389;040000192;SSR_A50;1;1;;;;247;;0;
SSR;2020;040780389;040000192;SSR_A59;1;84;;;;24147;;0;
SSR;2020;040780389;040000192;SSR_TOT;;85;31110;;550;24394;67;0;0
SSR;2020;040780405;040000168;SSR_A;;70;25550;5;660;25464;54;1453;
SSR;2020;040780405;040000168;SSR_A50;1;35;;;;7276;;0;
SSR;2020;040780405;040000168;SSR_A51;1;35;;5;;18188;;1453;
SSR;2020;040780405;040000168;SSR_E;;;;5;0;0;0;104;
SSR;2020;040780405;040000168;SSR_E50;1;;;;;0;;0;
SSR;2020;040780405;040000168;SSR_E51;1;;;5;;0;;104;
SSR;2020;040780405;040000168;SSR_TOT;;70;25550;10;660;25464;54;1557;0
SSR;2020;040780488;040000200;SSR_A;;80;29280;10;617;27545;70;2579;
SSR;2020;040780488;040000200;SSR_A50;1;;;;;0;;0;
SSR;2020;040780488;040000200;SSR_A51;1;40;;10;;12187;;2579;
SSR;2020;040780488;040000200;SSR_A52;1;40;;;;15358;;0;
SSR;2020;040780488;040000200;SSR_TOT;;80;29280;10;617;27545;70;2579;0
SSR;2020;040780520;750056335;SSR_A;;40;14600;;342;14923;53;0;
SSR;2020;040780520;750056335;SSR_A50;1;40;;;;14923;;0;
SSR;2020;040780520;750056335;SSR_TOT;;40;14600;;342;14923;53;0;0
SSR;2020;040782021;130037815;SSR_A;;66;24090;;458;17354;37;0;
SSR;2020;040782021;130037815;SSR_A50;1;20;;;;4678;;0;
SSR;2020;040782021;130037815;SSR_A59;1;46;;;;12676;;0;
SSR;2020;040782021;130037815;SSR_TOT;;66;24090;;458;17354;37;0;0
SSR;2020;050000041;130037815;SSR_A;;90;27720;25;684;27720;73;3131;
SSR;2020;050000041;130037815;SSR_A50;1;26;;5;;8014;;659;
SSR;2020;050000041;130037815;SSR_A51;1;42;;19;;12878;;2173;
SSR;2020;050000041;130037815;SSR_A53;1;;;;;0;;0;
SSR;2020;050000041;130037815;SSR_A54;1;22;;1;;6828;;299;
SSR;2020;050000041;130037815;SSR_TOT;;90;27720;25;684;27720;73;3131;
SSR;2020;050000058;050000033;SSR_A;;62;17520;;476;15807;24;0;
SSR;2020;050000058;050000033;SSR_A50;1;62;;;;15807;;0;
SSR;2020;050000058;050000033;SSR_TOT;;62;17520;;476;15807;24;0;0
SSR;2020;050000066;050000082;SSR_A;;60;21960;;427;16327;43;0;
SSR;2020;050000066;050000082;SSR_A50;1;60;;;;16327;;0;
SSR;2020;050000066;050000082;SSR_TOT;;60;21960;;427;16327;43;0;0
SSR;2020;050000256;050000124;SSR_A;;23;8418;;332;9206;12;0;
SSR;2020;050000256;050000124;SSR_A50;1;13;;;;5886;;0;
SSR;2020;050000256;050000124;SSR_A59;1;10;;;;3320;;0;
SSR;2020;050000256;050000124;SSR_TOT;;23;8418;;332;9206;12;0;
SSR;2020;050000298;050000496;SSR_E;;55;19250;;359;16597;61;0;
SSR;2020;050000298;050000496;SSR_E50;1;;;;;0;;0;
SSR;2020;050000298;050000496;SSR_E54;1;55;;;;16597;;0;
SSR;2020;050000298;050000496;SSR_TOT;;55;19250;;359;16597;61;0;0
SSR;2020;050000330;050007145;SSR_A;;12;4392;;47;3051;20;0;
SSR;2020;050000330;050007145;SSR_A50;1;12;;;;3051;;0;
SSR;2020;050000330;050007145;SSR_TOT;;12;4392;;47;3051;20;0;
SSR;2020;050000348;050002948;SSR_A;;30;10740;;306;9268;4;0;
SSR;2020;050000348;050002948;SSR_A50;1;;;;;0;;0;
SSR;2020;050000348;050002948;SSR_A59;1;30;;;;9268;;0;
SSR;2020;050000348;050002948;SSR_TOT;;30;10740;;306;9268;4;0;
SSR;2020;050000371;050003508;SSR_E;;;;;200;8609;27;21;
SSR;2020;050000371;050003508;SSR_E50;1;;;;;0;;0;
SSR;2020;050000371;050003508;SSR_E54;1;;;;;8609;;21;
SSR;2020;050000371;050003508;SSR_TOT;;;;;200;8609;27;21;
SSR;2020;050000488;050000678;SSR_A;;72;22425;;425;22985;68;0;
SSR;2020;050000488;050000678;SSR_A54;1;72;;;;22985;;0;
SSR;2020;050000488;050000678;SSR_TOT;;72;22425;;425;22985;68;0;
SSR;2020;050000637;050001163;SSR_A;;66;24156;;339;21018;87;0;
SSR;2020;050000637;050001163;SSR_A50;1;66;;;;21018;;0;
SSR;2020;050000637;050001163;SSR_TOT;;66;24156;;339;21018;87;0;0
SSR;2020;050000991;050000546;SSR_A;;131;47815;10;1227;37372;62;271;
SSR;2020;050000991;050000546;SSR_A50;1;33;;;;10752;;0;
SSR;2020;050000991;050000546;SSR_A55;1;54;;10;;13386;;271;
SSR;2020;050000991;050000546;SSR_A58;1;18;;;;4965;;0;
SSR;2020;050000991;050000546;SSR_A59;1;26;;;;8269;;0;
SSR;2020;050000991;050000546;SSR_TOT;;131;47815;10;1227;37372;62;271;0
SSR;2020;050001064;050000561;SSR_A;;90;32940;;825;26952;31;0;
SSR;2020;050001064;050000561;SSR_A50;1;90;;;;26952;;0;
SSR;2020;050001064;050000561;SSR_TOT;;90;32940;;825;26952;31;0;0
SSR;2020;050002351;130037815;SSR_A;;25;8206;17;244;8206;18;4667;
SSR;2020;050002351;130037815;SSR_A50;1;;;;;0;;0;
SSR;2020;050002351;130037815;SSR_A51;1;20;;9;;5789;;3130;
SSR;2020;050002351;130037815;SSR_A52;1;5;;5;;2417;;1432;
SSR;2020;050002351;130037815;SSR_A53;1;;;3;;0;;105;
SSR;2020;050002351;130037815;SSR_TOT;;25;8206;17;244;8206;18;4667;0
SSR;2020;060000163;060780327;SSR_A;;6;2190;;81;1371;3;0;
SSR;2020;060000163;060780327;SSR_A50;1;6;;;;1371;;0;
SSR;2020;060000163;060780327;SSR_TOT;;6;2190;;81;1371;3;0;
SSR;2020;060000296;060780640;SSR_A;;84;30660;;820;20208;1;0;
SSR;2020;060000296;060780640;SSR_A53;1;42;;;;10145;;0;
SSR;2020;060000296;060780640;SSR_A54;1;42;;;;10063;;0;
SSR;2020;060000296;060780640;SSR_TOT;;84;30660;;820;20208;1;0;0
SSR;2020;060000304;060780657;SSR_A;;10;3650;;117;3019;4;0;
SSR;2020;060000304;060780657;SSR_A50;1;10;;;;3019;;0;
SSR;2020;060000304;060780657;SSR_TOT;;10;3650;;117;3019;4;0;
SSR;2020;060000411;060780780;SSR_A;;10;3660;;73;2961;7;0;
SSR;2020;060000411;060780780;SSR_A50;1;10;;;;2961;;0;
SSR;2020;060000411;060780780;SSR_TOT;;10;3660;;73;2961;7;0;
SSR;2020;060000478;060780897;SSR_A;;30;10980;;253;10014;26;0;
SSR;2020;060000478;060780897;SSR_A50;1;30;;;;10014;;0;
SSR;2020;060000478;060780897;SSR_A59;1;;;;;0;;0;
SSR;2020;060000478;060780897;SSR_TOT;;30;10980;;253;10014;26;0;
SSR;2020;060000486;060780905;SSR_A;;13;4758;;130;3207;4;0;
SSR;2020;060000486;060780905;SSR_A50;1;13;;;;3207;;0;
SSR;2020;060000486;060780905;SSR_TOT;;13;4758;;130;3207;4;0;0
SSR;2020;060000510;060780954;SSR_A;;25;8820;;319;7554;1;0;
SSR;2020;060000510;060780954;SSR_A50;1;5;;;;1150;;0;
SSR;2020;060000510;060780954;SSR_A59;1;20;;;;6404;;0;
SSR;2020;060000510;060780954;SSR_TOT;;25;8820;;319;7554;1;0;
SSR;2020;060001625;060006889;SSR_A;;19;6935;;177;5312;7;0;
SSR;2020;060001625;060006889;SSR_A50;1;19;;;;5312;;0;
SSR;2020;060001625;060006889;SSR_TOT;;19;6935;;177;5312;7;0;0
SSR;2020;060002102;060791761;SSR_A;;82;24120;;695;22670;24;0;
SSR;2020;060002102;060791761;SSR_A50;1;32;;;;6492;;0;
SSR;2020;060002102;060791761;SSR_A59;1;50;;;;16178;;0;
SSR;2020;060002102;060791761;SSR_TOT;;82;24120;;695;22670;24;0;0
SSR;2020;060005469;920030269;SSR_A;;117;42822;;1242;38400;34;0;
SSR;2020;060005469;920030269;SSR_A50;1;90;;;;18559;;0;
SSR;2020;060005469;920030269;SSR_A59;1;27;;;;19841;;0;
SSR;2020;060005469;920030269;SSR_TOT;;117;42822;;1242;38400;34;0;0
SSR;2020;060015328;060015278;SSR_E;;12;2280;28;92;1893;0;7156;
SSR;2020;060015328;060015278;SSR_E50;1;12;;28;;1893;;7156;
SSR;2020;060015328;060015278;SSR_TOT;;12;2280;28;92;1893;0;7156;0
SSR;2020;060021094;060024619;SSR_A;;43;15695;;523;13216;1;0;
SSR;2020;060021094;060024619;SSR_A50;1;43;;;;13216;;0;
SSR;2020;060021094;060024619;SSR_TOT;;43;15695;;523;13216;1;0;0
SSR;2020;060021201;060000155;SSR_A;;50;18300;25;586;17073;7;3170;
SSR;2020;060021201;060000155;SSR_A50;1;20;;;;2307;;0;
SSR;2020;060021201;060000155;SSR_A51;1;30;;25;;14766;;3170;
SSR;2020;060021201;060000155;SSR_TOT;;50;18300;25;586;17073;7;3170;0
SSR;2020;060023694;060023686;SSR_A;;;;30;0;0;0;4078;
SSR;2020;060023694;060023686;SSR_A50;1;;;;;0;;0;
SSR;2020;060023694;060023686;SSR_A55;1;;;30;;0;;4078;
SSR;2020;060023694;060023686;SSR_TOT;;;;30;0;0;0;4078;
SSR;2020;060780145;060000049;SSR_A;;101;36966;;1022;34402;67;0;
SSR;2020;060780145;060000049;SSR_A50;1;2;;;;528;;0;
SSR;2020;060780145;060000049;SSR_A56;1;10;;;;3210;;0;
SSR;2020;060780145;060000049;SSR_A59;1;89;;;;30664;;0;
