BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2019;690805361;690805353;NAUT;4;5;6.64;;;;
IMAGES_P;2019;690807367;690003447;M1160;8;3;9.75;;1;;
IMAGES_P;2019;690807367;690003447;N4130;14;2;15.3;;1;;
IMAGES_P;2019;690807367;690003447;N4160;2;;2;;;;
IMAGES_P;2019;690807367;690003447;NAUT;18;2;19.3;;;;
IMAGES_P;2019;700000011;700780026;M1160;1;1;0.83;1;0;0;0
IMAGES_P;2019;700000011;700780026;N4130;5;1;4.78;0;1;;
IMAGES_P;2019;700000029;700004591;M1160;1;4;1.8;;;;
IMAGES_P;2019;700000029;700004591;N4130;20;6;22.61;;;;
IMAGES_P;2019;700000029;700004591;N4160;;1;0.16;;;;
IMAGES_P;2019;700000029;700004591;NAUT;5;1;2.43;;;;
IMAGES_P;2019;700780042;250006335;N4130;;1;0.11;0;0;;
IMAGES_P;2019;700780059;700004591;NAUT;;1;0.4;;;;
IMAGES_P;2019;700780208;700004591;N4130;1;1;1.95;;;;
IMAGES_P;2019;700780208;700004591;NAUT;;0;0.5;;;;
IMAGES_P;2019;710010067;710780644;M1160;4;1;3.37;;;;
IMAGES_P;2019;710010067;710780644;N4130;12;2;9.64;;;;
IMAGES_P;2019;710010067;710780644;N4160;2;;0.55;;;;
IMAGES_P;2019;710010067;710780644;NAUT;3;;3;;;;
IMAGES_P;2019;710010786;710781451;M1160;;1;0.8;0;0;0;0
IMAGES_P;2019;710010786;710781451;N4130;4;;3.13;0;1;;
IMAGES_P;2019;710010786;710781451;NAUT;1;;0.6;;;;
IMAGES_P;2019;710781139;750721334;N4130;;;0.13;0;0;;
IMAGES_P;2019;710978263;710780958;M1160;2;4;3.65;;1;;
IMAGES_P;2019;710978263;710780958;N4130;18;5;21.83;;;;
IMAGES_P;2019;710978263;710780958;N4160;1;;1;;;;
IMAGES_P;2019;710978263;710780958;NAUT;10;5;12.2;;;;
IMAGES_P;2019;710978271;710781014;N4130;;6;0.08;0;0;;
IMAGES_P;2019;710978289;710780263;M1160;6;1;5.9;;;1;1
IMAGES_P;2019;710978289;710780263;N4130;21;7;26.58;0;1;;
IMAGES_P;2019;710978289;710780263;N4160;;1;0.8;;;;
IMAGES_P;2019;710978289;710780263;NAUT;6;8;7.52;;;;
IMAGES_P;2019;710978313;710976705;M1160;4;1;3.84;1;;0;0
IMAGES_P;2019;710978313;710976705;N4130;11;5;14.29;1;;;
IMAGES_P;2019;710978313;710976705;N4160;1;1;1.06;;;;
IMAGES_P;2019;710978313;710976705;NAUT;7;3;9.47;;;;
IMAGES_P;2019;710978347;570010181;M1160;;1;0.05;;;;
IMAGES_P;2019;710978347;570010181;N4130;;;;1;;;
IMAGES_P;2019;720000033;720000025;M1160;8;7;9.96;1;1;0;0
IMAGES_P;2019;720000033;720000025;M1210;3;2;2.78;0;1;;
IMAGES_P;2019;720000033;720000025;N4130;10;54;54.47;1;1;;
IMAGES_P;2019;720000033;720000025;N4160;0;1;1.73;;;;
IMAGES_P;2019;720000033;720000025;NAUT;6;33;25.7;;;;
IMAGES_P;2019;720000124;720000066;M1160;;2;0.8;0;0;0;0
IMAGES_P;2019;720000124;720000066;N4130;3;;3;0;1;;
IMAGES_P;2019;720000124;720000066;NAUT;4;;1.06;;;;
IMAGES_P;2019;720000389;720012749;M1160;;1;0.02;0;0;0;0
IMAGES_P;2019;720000389;720012749;N4130;1;;1;0;0;;
IMAGES_P;2019;720000413;720008390;N4130;;1;0.2;0;0;;
IMAGES_P;2019;720000470;610780082;M1160;;3;0.7;0;0;;
IMAGES_P;2019;720000470;610780082;N4130;1;4;3.26;0;1;;
IMAGES_P;2019;720000470;610780082;N4160;;1;0.2;;;;
IMAGES_P;2019;720000470;610780082;NAUT;4;;3.46;;;;
IMAGES_P;2019;720000520;720000140;M1160;;2;0.2;0;0;0;0
IMAGES_P;2019;720000520;720000140;N4130;4;1;4.8;0;1;;
IMAGES_P;2019;720000520;720000140;NAUT;1;1;1.35;;;;
IMAGES_P;2019;720000744;720000454;N4130;;1;0.43;0;0;;
IMAGES_P;2019;720001437;720006022;M1160;2;5;3.56;0;1;0;0
IMAGES_P;2019;720001437;720006022;N4130;6;3;6.96;0;0;;
IMAGES_P;2019;720001437;720006022;N4160;;1;0.46;;;;
IMAGES_P;2019;720001437;720006022;NAUT;4;;4;;;;
IMAGES_P;2019;720001569;720007244;N4130;;1;0.2;0;0;;
IMAGES_P;2019;720001569;720007244;NAUT;;1;0.2;;;;
IMAGES_P;2019;720014729;720002294;M1210;;4;1.05;0;0;;
IMAGES_P;2019;720014729;720002294;N4130;;9;5.31;0;0;;
IMAGES_P;2019;720014729;720002294;N4160;;1;0.13;;;;
IMAGES_P;2019;720014729;720002294;NAUT;;8;4.27;;;;
IMAGES_P;2019;720016179;720016724;M1160;2;;2;0;0;0;0
IMAGES_P;2019;720016179;720016724;N4130;10;4;13.45;0;0;;
IMAGES_P;2019;720016179;720016724;NAUT;7;3;8.4;;;;
IMAGES_P;2019;730000031;730000015;M1160;10;4;11.97;0;1;;
IMAGES_P;2019;730000031;730000015;M1210;5;;4.93;0;0;;
IMAGES_P;2019;730000031;730000015;N4130;39;21;53.01;;;;
IMAGES_P;2019;730000031;730000015;N4160;1;1;2.21;;;;
IMAGES_P;2019;730000031;730000015;NAUT;19;7;25.19;;;;
IMAGES_P;2019;730000049;730002839;M1160;1;;0.25;0;1;0;0
IMAGES_P;2019;730000049;730002839;N4130;;17;5.54;0;1;;
IMAGES_P;2019;730000049;730002839;NAUT;3;1;2.47;;;;
IMAGES_P;2019;730000080;730780103;M1160;3;0;2.79;;1;;
IMAGES_P;2019;730000080;730780103;N4130;8;2;9.09;;;;
IMAGES_P;2019;730000080;730780103;N4160;0;1;0.53;;;;
IMAGES_P;2019;730000080;730780103;NAUT;4;3;6.26;;;;
IMAGES_P;2019;730000098;730000015;M1160;;;0.07;;1;;
IMAGES_P;2019;730000098;730000015;N4130;4;7;8.04;;;;
IMAGES_P;2019;730000247;730780525;M1160;3;0;1.46;0;1;0;0
IMAGES_P;2019;730000247;730780525;N4130;6;0;6.08;0;1;;
IMAGES_P;2019;730000262;730002839;M1160;5;2;3.05;0;1;1;0
IMAGES_P;2019;730000262;730002839;N4130;;17;10.3;0;1;;
IMAGES_P;2019;730000262;730002839;NAUT;5;1;5.48;;;;
IMAGES_P;2019;730004298;730010048;M1160;11;6;11.6;0;1;1;0
IMAGES_P;2019;740000237;740781133;M1160;3;15;9.31;1;1;1;1
IMAGES_P;2019;740000237;740781133;N4130;28;16;39.19;0;0;;
IMAGES_P;2019;740000237;740781133;N4160;1;;1;;;;
IMAGES_P;2019;740000237;740781133;NAUT;19;80;33.73;;;;
IMAGES_P;2019;740000294;740781208;M1160;;1;0.6;0;0;0;0
IMAGES_P;2019;740000294;740781208;N4130;2;1;2.5;0;0;;
IMAGES_P;2019;740000302;740781133;M1160;;9;1.46;1;1;0;0
IMAGES_P;2019;740000302;740781133;N4130;10;5;14.36;0;0;;
IMAGES_P;2019;740000302;740781133;NAUT;6;1;7.63;;;;
IMAGES_P;2019;740000328;740790381;M1160;2;2;3.31;;;;
IMAGES_P;2019;740000328;740790381;N4130;15;3;19.48;;;;
IMAGES_P;2019;740000328;740790381;NAUT;5;1;3.92;;;;
IMAGES_P;2019;740780135;750050924;N4130;;1;0.28;0;0;;
IMAGES_P;2019;740780192;740780168;M1160;;1;0.1;0;0;0;0
IMAGES_P;2019;740780192;740780168;N4130;;1;0.37;0;0;;
IMAGES_P;2019;740780416;740000112;M1160;11;;11;;;;
IMAGES_P;2019;740780424;740000120;M1160;7;3;9.4;0;1;0;0
IMAGES_P;2019;740780424;740000120;N4130;5;6;9.5;0;0;;
IMAGES_P;2019;740780424;740000120;N4160;1;;1;;;;
IMAGES_P;2019;740780424;740000120;NAUT;7;1;7.8;;;;
IMAGES_P;2019;740781141;740790258;M1160;4;3;4.91;0;1;1;0
IMAGES_P;2019;740781141;740790258;M1210;3;0;3;0;0;;
IMAGES_P;2019;740781141;740790258;N4130;23;9;26.71;1;1;;
IMAGES_P;2019;740781141;740790258;N4160;;3;1.75;;;;
IMAGES_P;2019;740781141;740790258;NAUT;14;12;23.09;;;;
IMAGES_P;2019;740781166;740001839;N4130;;1;0.77;;;;
IMAGES_P;2019;740781166;740001839;N4160;;1;0.1;;;;
IMAGES_P;2019;740781224;740001839;M1160;3;1;3.67;0;1;1;0
IMAGES_P;2019;740781224;740001839;N4130;8;5;11.5;;1;;
IMAGES_P;2019;740781224;740001839;N4160;;1;0.9;;;;
IMAGES_P;2019;740781224;740001839;NAUT;5;2;6.74;;;;
IMAGES_P;2019;750000481;750110025;M1160;5;2;5.84;;;;
IMAGES_P;2019;750000481;750110025;N4130;10;1;10.28;;;;
IMAGES_P;2019;750000481;750110025;N4160;;1;0.53;;;;
IMAGES_P;2019;750000481;750110025;NAUT;7;1;6.5;;;;
IMAGES_P;2019;750000499;750062036;M1160;7;12;11.25;1;1;1;1
IMAGES_P;2019;750000499;750062036;N4130;5;11;15;1;1;;
IMAGES_P;2019;750000499;750062036;N4160;1;;1;;;;
IMAGES_P;2019;750000499;750062036;NAUT;13;2;13.5;;;;
IMAGES_P;2019;750000523;750150120;M1160;12;21;14.77;1;1;;
IMAGES_P;2019;750000523;750150120;N4130;39;1;43.95;0;0;;
IMAGES_P;2019;750000523;750150120;N4160;2;1;3.8;;;;
IMAGES_P;2019;750000523;750150120;NAUT;40;9;30.53;;;;
IMAGES_P;2019;750000549;750150229;M1160;13;14;17.71;;;;
IMAGES_P;2019;750000549;750150229;N4130;20;2;22.25;;;;
IMAGES_P;2019;750000549;750150229;N4160;1;;1;;;;
IMAGES_P;2019;750000549;750150229;NAUT;14;;15.3;;;;
IMAGES_P;2019;750014128;750014078;N4130;;1;0.1;;;;
IMAGES_P;2019;750100018;750712184;M1160;20;2;5.5;0;0;0;1
IMAGES_P;2019;750100018;750712184;N4130;16;2;15.8;1;1;;
IMAGES_P;2019;750100018;750712184;N4160;1;0;1;;;;
IMAGES_P;2019;750100018;750712184;NAUT;12;;12;;;;
IMAGES_P;2019;750100042;750712184;M1160;8;22;19.3;1;1;1;1
IMAGES_P;2019;750100042;750712184;M1210;1;7;4.7;0;0;;
IMAGES_P;2019;750100042;750712184;N4130;51;6;55.4;1;1;;
IMAGES_P;2019;750100042;750712184;N4160;5;0;5;;;;
IMAGES_P;2019;750100042;750712184;NAUT;38;6;42.8;;;;
IMAGES_P;2019;750100075;750712184;M1160;7;13;15.5;1;1;1;1
IMAGES_P;2019;750100075;750712184;M1210;1;2;1.7;1;1;;
IMAGES_P;2019;750100075;750712184;N4130;44;2;45.4;1;1;;
IMAGES_P;2019;750100075;750712184;N4160;4;0;4;;;;
IMAGES_P;2019;750100075;750712184;NAUT;33;4;35.75;;;;
IMAGES_P;2019;750100083;750712184;M1160;1;4;2.4;0;0;1;1
IMAGES_P;2019;750100083;750712184;N4130;5;;5;0;0;;
IMAGES_P;2019;750100083;750712184;N4160;;2;0.3;;;;
IMAGES_P;2019;750100083;750712184;NAUT;4;;4;;;;
IMAGES_P;2019;750100091;750712184;M1160;15;6;13.5;1;1;1;1
IMAGES_P;2019;750100091;750712184;N4130;38;12;47.6;1;0;;
IMAGES_P;2019;750100091;750712184;N4160;3;0;3;;;;
IMAGES_P;2019;750100091;750712184;NAUT;23;2;24.6;;;;
IMAGES_P;2019;750100109;750712184;M1160;5;9;6.9;0;1;0;1
IMAGES_P;2019;750100109;750712184;M1210;2;1;1.9;0;0;;
IMAGES_P;2019;750100109;750712184;N4130;22;2;26.86;1;0;;
IMAGES_P;2019;750100109;750712184;N4160;;5;2.88;;;;
IMAGES_P;2019;750100109;750712184;NAUT;12;5;16.06;;;;
IMAGES_P;2019;750100125;750712184;M1160;49;17;40.7;1;1;1;1
IMAGES_P;2019;750100125;750712184;M1210;10;5;8.1;0;0;;
IMAGES_P;2019;750100125;750712184;N4130;128;12;136.6;1;;;
IMAGES_P;2019;750100125;750712184;N4160;14;0;13.5;;;;
IMAGES_P;2019;750100125;750712184;NAUT;116;7;120.9;;;;
IMAGES_P;2019;750100166;750712184;M1160;9;45;24.8;1;1;1;1
IMAGES_P;2019;750100166;750712184;M1210;3;14;7;0;0;;
IMAGES_P;2019;750100166;750712184;N4130;75;10;85.6;1;1;;
IMAGES_P;2019;750100166;750712184;N4160;7;0;7;;;;
IMAGES_P;2019;750100166;750712184;NAUT;47;6;56.1;;;;
IMAGES_P;2019;750100208;750712184;M1160;18;26;28.04;1;1;1;1
IMAGES_P;2019;750100208;750712184;N4130;49;6;52;0;0;;
IMAGES_P;2019;750100208;750712184;N4160;3;;3;;;;
IMAGES_P;2019;750100208;750712184;NAUT;26;3;28;;;;
IMAGES_P;2019;750100216;750712184;N4130;;1;0.6;0;0;;
IMAGES_P;2019;750100232;750712184;M1160;8;9;9.91;1;1;1;1
IMAGES_P;2019;750100232;750712184;M1210;0;6;2.62;1;1;;
IMAGES_P;2019;750100232;750712184;N4130;51;12;62.99;1;0;;
IMAGES_P;2019;750100232;750712184;N4160;4;0;4;;;;
IMAGES_P;2019;750100232;750712184;NAUT;73;18;85.51;;;;
IMAGES_P;2019;750100273;750712184;M1160;17;9;16;;1;0;1
IMAGES_P;2019;750100273;750712184;M1210;8;3;7.6;0;0;;
IMAGES_P;2019;750100273;750712184;N4130;48;13;48.6;;;;
IMAGES_P;2019;750100273;750712184;N4160;5;;3.71;;;;
IMAGES_P;2019;750100273;750712184;NAUT;35;2;37.12;;;;
IMAGES_P;2019;750100299;750712184;M1160;0;1;0.6;0;0;0;0
IMAGES_P;2019;750100299;750712184;N4130;2;0;2;0;0;;
IMAGES_P;2019;750100299;750712184;N4160;0;1;0.5;;;;
IMAGES_P;2019;750100299;750712184;NAUT;2;0;2;;;;
IMAGES_P;2019;750150104;750720476;M1160;4;12;10.16;;1;;
IMAGES_P;2019;750150104;750720476;N4130;20;2;20.77;1;;;
IMAGES_P;2019;750150104;750720476;N4160;2;;2.23;;;;
IMAGES_P;2019;750150104;750720476;NAUT;18;1;17.3;;;;
IMAGES_P;2019;750150237;750006728;M1160;6;8;8.73;0;1;1;1
IMAGES_P;2019;750150237;750006728;N4130;17;;14.92;0;0;;
IMAGES_P;2019;750150237;750006728;N4160;2;;1.99;;;;
IMAGES_P;2019;750150237;750006728;NAUT;9;1;9.42;;;;
IMAGES_P;2019;750150252;750720575;N4130;;1;0.86;0;0;;
IMAGES_P;2019;750150344;750720468;M1160;1;1;1.19;0;0;0;0
IMAGES_P;2019;750150344;750720468;N4130;;3;0.91;0;0;;
IMAGES_P;2019;750160012;750813321;M1160;11;15;16.61;;;;
IMAGES_P;2019;750160012;750813321;M1210;5;2;5.17;;;;
IMAGES_P;2019;750160012;750813321;N4130;20;12;27.36;;;;
IMAGES_P;2019;750160012;750813321;N4160;6;1;6.3;;;;
IMAGES_P;2019;750160012;750813321;NAUT;15;;15;;;;
IMAGES_P;2019;750300089;750000606;M1160;;5;;0;1;;
IMAGES_P;2019;750300089;750000606;N4130;1;2;2.55;;;;
IMAGES_P;2019;750300089;750000606;N4160;;1;0.5;;;;
IMAGES_P;2019;750300097;750813305;M1160;0;17;2.74;0;0;0;0
IMAGES_P;2019;750300097;750813305;N4130;4;;4;;;;
IMAGES_P;2019;750300121;750052037;M1160;6;;6;;1;;
IMAGES_P;2019;750300121;750052037;N4130;7;;7;;1;;
IMAGES_P;2019;750300121;750052037;NAUT;7;;7;;;;
IMAGES_P;2019;750300139;750000655;M1160;;10;5.5;0;1;0;0
IMAGES_P;2019;750300139;750000655;N4130;6;1;6.5;0;1;;
IMAGES_P;2019;750300139;750000655;NAUT;4;;4;;;;
IMAGES_P;2019;750300154;750000671;M1160;4;17;6.5;0;0;0;1
IMAGES_P;2019;750300154;750000671;N4130;8;;8;0;0;;
IMAGES_P;2019;750300154;750000671;N4160;1;;1;;;;
IMAGES_P;2019;750300154;750000671;NAUT;4;;4;;;;
IMAGES_P;2019;750300360;750026569;M1160;15;;8;;0;;
IMAGES_P;2019;750300360;750026569;N4130;15;;15;;0;;
IMAGES_P;2019;750300360;750026569;N4160;2;;2;;;;
IMAGES_P;2019;750300360;750026569;NAUT;5;;5;;;;
IMAGES_P;2019;750300410;750000770;M1160;0;0;0;0;0;0;1
IMAGES_P;2019;750300410;750000770;N4130;0;1;0.5;0;0;;
IMAGES_P;2019;750300592;750000820;NAUT;;1;0.1;;;;
IMAGES_P;2019;750300741;750000861;M1160;;5;1;;;;
IMAGES_P;2019;750300741;750000861;N4130;;5;1;;;;
IMAGES_P;2019;750300741;750000861;NAUT;;5;1;;;;
IMAGES_P;2019;750300766;750056145;M1160;2;5;3.5;0;1;0;0
IMAGES_P;2019;750300766;750056145;N4130;9;;9;0;1;;
IMAGES_P;2019;750300766;750056145;N4160;2;;2;;;;
IMAGES_P;2019;750300766;750056145;NAUT;5;;5;;;;
IMAGES_P;2019;750300774;750000895;M1160;;4;;0;1;1;1
IMAGES_P;2019;750300774;750000895;N4130;;4;3;0;1;;
IMAGES_P;2019;750300774;750000895;NAUT;;4;2;;;;
IMAGES_P;2019;750300881;750000937;M1160;;2;1;0;1;0;0
IMAGES_P;2019;750300881;750000937;N4130;1;1;1.89;0;1;;
IMAGES_P;2019;750300915;750000960;M1160;0;14;6;0;1;0;0
IMAGES_P;2019;750300915;750000960;N4130;6;;6;0;0;;
IMAGES_P;2019;750300915;750000960;N4160;1;;1;;;;
IMAGES_P;2019;750300915;750000960;NAUT;4;;4;;;;
IMAGES_P;2019;750301137;750001034;M1160;2;4;3;0;1;0;1
IMAGES_P;2019;750301137;750001034;N4130;7;;7;;1;;
IMAGES_P;2019;750301137;750001034;N4160;1;;1;;;;
IMAGES_P;2019;750301137;750001034;NAUT;5;1;5.8;;;;
IMAGES_P;2019;750801441;750712184;M1160;1;;0.2;0;0;0;0
IMAGES_P;2019;750801441;750712184;N4130;2;;2;0;0;;
IMAGES_P;2019;750803447;750712184;M1160;20;26;21.5;1;1;0;0
IMAGES_P;2019;750803447;750712184;M1210;7;2;5;0;0;;
IMAGES_P;2019;750803447;750712184;N4130;54;12;64;1;1;;
IMAGES_P;2019;750803447;750712184;N4160;5;;5;;;;
IMAGES_P;2019;750803447;750712184;NAUT;37;4;40;;;;
IMAGES_P;2019;750803454;750712184;M1160;8;6;6.32;1;1;0;1
IMAGES_P;2019;750803454;750712184;N4130;29;0;30.87;1;0;;
IMAGES_P;2019;750803454;750712184;N4160;2;0;1.52;;;;
IMAGES_P;2019;750803454;750712184;NAUT;13;4;18.35;;;;
IMAGES_P;2019;760000018;760780023;M1160;1;8;1.12;0;1;;
IMAGES_P;2019;760000018;760780023;N4130;20;8;25.84;;;;
IMAGES_P;2019;760000018;760780023;N4160;1;;1;;;;
IMAGES_P;2019;760000018;760780023;NAUT;13;2;13.6;;;;
IMAGES_P;2019;760000042;760780056;N4130;4;0;4;0;1;;
IMAGES_P;2019;760000059;760780064;N4130;4;;3;0;0;;
IMAGES_P;2019;760000141;760780239;M1160;1;;1;0;0;;
IMAGES_P;2019;760000141;760780239;N4130;7;2;8.6;0;0;;
IMAGES_P;2019;760000141;760780239;N4160;1;;1;;;;
IMAGES_P;2019;760000141;760780239;NAUT;3;1;2.98;;;;
IMAGES_P;2019;760000158;760780239;M1160;20;21;21.83;1;1;;
IMAGES_P;2019;760000158;760780239;N4130;99;29;113.76;;;;
IMAGES_P;2019;760000158;760780239;N4160;4;;4;;;;
IMAGES_P;2019;760000158;760780239;NAUT;24;7;24.85;;;;
IMAGES_P;2019;760000166;760780247;M1160;1;13;4.48;0;0;0;1
IMAGES_P;2019;760000166;760780247;M1210;9;1;8;0;0;;
IMAGES_P;2019;760000166;760780247;N4130;28;5;32.34;0;0;;
IMAGES_P;2019;760000166;760780247;N4160;3;;3;;;;
IMAGES_P;2019;760000166;760780247;NAUT;19;8;23.38;;;;
IMAGES_P;2019;760000182;760780262;M1160;1;;1;0;0;;
IMAGES_P;2019;760000182;760780262;N4130;1;;1;0;0;;
IMAGES_P;2019;760000356;760780726;M1160;;3;1.6;0;0;0;0
IMAGES_P;2019;760000356;760780726;N4130;4;4;4.97;0;0;;
IMAGES_P;2019;760000356;760780726;NAUT;4;1;4.5;;;;
IMAGES_P;2019;760000364;760780734;M1160;1;1;2.21;0;1;1;0
IMAGES_P;2019;760000364;760780734;N4130;9;1;9.75;;;;
IMAGES_P;2019;760000364;760780734;N4160;0;1;0.8;;;;
IMAGES_P;2019;760000364;760780734;NAUT;4;1;4.63;;;;
IMAGES_P;2019;760000372;760780742;M1160;;9;0.81;0;0;0;0
IMAGES_P;2019;760000372;760780742;N4130;8;4;10.56;;0;;
IMAGES_P;2019;760000463;760024042;M1160;9;2;6.46;1;0;0;0
IMAGES_P;2019;760000463;760024042;N4130;20;15;26.4;;;;
IMAGES_P;2019;760000463;760024042;N4160;;5;1.8;;;;
IMAGES_P;2019;760000463;760024042;NAUT;15;7;15.96;;;;
IMAGES_P;2019;760780510;760000257;M1160;15;;15;;;;
IMAGES_P;2019;760783159;760000851;M1160;;1;0.1;0;0;0;0
IMAGES_P;2019;760783522;760780239;M1160;1;2;1.6;0;0;;
IMAGES_P;2019;760783522;760780239;N4130;9;3;11.98;;0;;
IMAGES_P;2019;760783522;760780239;N4160;1;;1;;;;
IMAGES_P;2019;760783522;760780239;NAUT;6;2;4.85;;;;
IMAGES_P;2019;760783530;760780239;M1160;1;;0.05;0;0;0;0
IMAGES_P;2019;760805770;760780726;M1160;8;9;11.3;;;;
IMAGES_P;2019;760805770;760780726;M1210;;2;0.32;;;;
IMAGES_P;2019;760805770;760780726;N4130;27;27;42.93;;;;
IMAGES_P;2019;760805770;760780726;N4160;3;;3;;;;
IMAGES_P;2019;760805770;760780726;NAUT;21;14;23.92;;;;
IMAGES_P;2019;770000131;770021145;M1160;3;1;3.8;;;;
IMAGES_P;2019;770000131;770021145;N4130;13;3;15.6;;;;
IMAGES_P;2019;770000131;770021145;N4160;1;;0.7;;;;
IMAGES_P;2019;770000131;770021145;NAUT;4;;4.08;;;;
IMAGES_P;2019;770000149;770021152;M1160;;;;0;1;;
IMAGES_P;2019;770000149;770021152;N4130;17;1;16.57;0;1;;
IMAGES_P;2019;770000149;770021152;N4160;;;0.8;;;;
IMAGES_P;2019;770000149;770021152;NAUT;10;;10.09;;;;
IMAGES_P;2019;770000164;770021152;M1160;1;2;1.48;0;1;0;0
IMAGES_P;2019;770000164;770021152;N4130;12;1;12.91;0;1;;
IMAGES_P;2019;770000164;770021152;N4160;2;;0.8;;;;
IMAGES_P;2019;770000164;770021152;NAUT;10;1;10.55;;;;
IMAGES_P;2019;770000172;770110070;M1160;;4;3.11;;;;
IMAGES_P;2019;770000214;770021152;M1160;;;0.02;;;;
IMAGES_P;2019;770000214;770021152;N4130;7;1;8.03;;;;
IMAGES_P;2019;770000214;770021152;N4160;;;0.4;;;;
IMAGES_P;2019;770000214;770021152;NAUT;4;;4;;;;
IMAGES_P;2019;770000420;770700029;N4130;1;;1;0;0;;
IMAGES_P;2019;770000446;770021145;M1160;7;3;8.66;;;;
IMAGES_P;2019;770000446;770021145;N4130;25;8;29.63;;;;
IMAGES_P;2019;770000446;770021145;N4160;2;;2;;;;
IMAGES_P;2019;770000446;770021145;NAUT;21;7;26.3;;;;
IMAGES_P;2019;770019032;770021145;M1160;5;2;6.14;;;;
IMAGES_P;2019;770019032;770021145;N4130;26;4;28.8;;;;
IMAGES_P;2019;770019032;770021145;NAUT;11;1;11.5;;;;
IMAGES_P;2019;770300010;770004299;M1160;;3;1.75;0;1;0;0
IMAGES_P;2019;770300010;770004299;N4130;2;;2;0;1;;
IMAGES_P;2019;770300010;770004299;N4160;1;;1;;;;
IMAGES_P;2019;770300010;770004299;NAUT;2;;2;;;;
IMAGES_P;2019;770300135;770000289;M1160;;17;4.5;0;1;1;0
IMAGES_P;2019;770300135;770000289;N4130;6;3;7.75;0;1;;
IMAGES_P;2019;770300135;770000289;NAUT;7;1;7.5;;;;
IMAGES_P;2019;770300259;770000347;N4130;;1;0.5;0;0;;
IMAGES_P;2019;770700011;930027347;M1160;;1;0.14;;;;
IMAGES_P;2019;770700011;930027347;N4130;;1;0.86;;;;
IMAGES_P;2019;770790707;770000719;M1160;10;;10;0;1;1;0
IMAGES_P;2019;770790707;770000719;N4130;7;;7;0;1;;
IMAGES_P;2019;770790707;770000719;NAUT;3;;3;;;;
IMAGES_P;2019;770803989;770000925;N4130;0;1;0.2;0;0;;
IMAGES_P;2019;780000287;780110011;M1160;5;1;4.22;1;0;0;0
IMAGES_P;2019;780000287;780110011;N4130;16;3;18.27;1;;;
IMAGES_P;2019;780000287;780110011;N4160;2;;1.12;;;;
IMAGES_P;2019;780000287;780110011;NAUT;5;3;9.64;;;;
IMAGES_P;2019;780000295;780002697;M1160;3;2;2.77;0;1;0;0
IMAGES_P;2019;780000295;780002697;N4130;7;1;9.15;1;0;;
IMAGES_P;2019;780000295;780002697;N4160;;;0.88;;;;
IMAGES_P;2019;780000295;780002697;NAUT;4;2;7.2;;;;
IMAGES_P;2019;780000303;780024113;M1160;0;1;0.5;0;0;0;0
IMAGES_P;2019;780000311;780001236;M1160;6;6;6.04;1;1;0;
IMAGES_P;2019;780000311;780001236;N4130;;29;29.19;1;0;;
IMAGES_P;2019;780000311;780001236;N4160;;1;0.9;;;;
IMAGES_P;2019;780000311;780001236;NAUT;12;2;13.43;;;;
IMAGES_P;2019;780000329;780110052;M1160;4;10;6.6;1;1;0;0
IMAGES_P;2019;780000329;780110052;N4130;16;0;16;1;0;;
IMAGES_P;2019;780000329;780110052;N4160;1;;0.2;;;;
IMAGES_P;2019;780000329;780110052;NAUT;3;1;3.9;;;;
IMAGES_P;2019;780000337;780001236;M1160;1;3;3.19;;;;
IMAGES_P;2019;780000337;780001236;N4130;;12;10.25;;;;
IMAGES_P;2019;780000337;780001236;N4160;;;0.8;;;;
IMAGES_P;2019;780000337;780001236;NAUT;5;2;7.06;;;;
IMAGES_P;2019;780000352;780110094;M1160;1;1;1.4;0;0;0;0
IMAGES_P;2019;780000352;780110094;N4130;2;;2.42;0;0;;
IMAGES_P;2019;780000386;780021788;N4130;;1;0.25;0;0;;
IMAGES_P;2019;780001657;780530010;N4130;;4;0.02;0;0;;
IMAGES_P;2019;780008298;920030269;N4130;;1;0.5;0;0;;
IMAGES_P;2019;780022646;780024857;M1160;;9;;0;0;0;0
IMAGES_P;2019;780022646;780024857;N4130;9;4;9.59;1;1;;
IMAGES_P;2019;780022646;780024857;N4160;1;1;1.15;;;;
IMAGES_P;2019;780022646;780024857;NAUT;13;4;11.59;;;;
IMAGES_P;2019;780140018;750005068;M1160;0;1;0.2;0;0;0;0
IMAGES_P;2019;780140018;750005068;N4130;;1;0.8;0;0;;
IMAGES_P;2019;780150017;750005068;M1160;;1;0.1;0;0;0;0
IMAGES_P;2019;780150017;750005068;N4130;;1;0.1;0;;;
IMAGES_P;2019;780150066;780808614;M1160;1;;1;0;0;0;0
IMAGES_P;2019;780150066;780808614;N4130;2;;2;0;1;;
IMAGES_P;2019;780150066;780808614;N4160;1;;0.5;;;;
IMAGES_P;2019;780300075;780000485;M1160;;1;0.3;;1;;
IMAGES_P;2019;780300075;780000485;N4130;;2;1.5;;1;;
IMAGES_P;2019;780300406;780018032;M1160;;7;7;0;1;0;0
IMAGES_P;2019;780300406;780018032;M1210;;2;1;;;;
IMAGES_P;2019;780300406;780018032;N4130;6;;6;0;0;;
IMAGES_P;2019;780300406;780018032;N4160;3;;3;;;;
IMAGES_P;2019;780300406;780018032;NAUT;5;1;5;;;;
