BOR;AN;nofinesset;nofinessej;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2018;970300083;970302121;1;1;0;0;0;;0;0;168;168;168;;1;;;241;;;;;;241;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2018;970305637;970305629;1;1;0;0;0;;0;0;190;190;190;;1;;;118;133;;;;;251;23;20;3;;;118;23;4;118;;;;;;;;;;;;;;;;;
SMURSAMU;2018;970400024;970408589;1;1;0;0;0;;0;1;343;548;280;2;2;1;0;1550;411;407;161;108;2;2639;660;163;23;76;398;1090;69;101;974;116;405006;;348785;339110;263159;179105;48874;581;336;245;679;0;0;0;597;0
SMURSAMU;2018;970400057;970408589;1;1;0;0;0;;0;0;329;336;0;;4;;;2567;393;;5;11;;2976;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2018;970400065;970421038;1;1;0;0;0;;0;0;175;373;0;;1;;;1109;442;427;;0;0;1978;304;103;5;104;92;805;73;74;537;268;;;;;;;;;;;;;;;;
SMURSAMU;2018;970400073;970403606;1;1;0;0;0;;0;0;168;168;;;3;;;917;443;0;2;18;;1380;376;86;10;61;234;559;59;63;393;166;;;;;;;;;;;;;;;;
SMURSAMU;2018;980500011;980500003;1;1;0;0;0;;0;1;252;252;252;2;1;0;0;1188;913;71;23;;3;2198;559;151;3;48;349;175;51;0;170;5;184922;;73722;61866;63215;42347;0;168;168;0;252;0;0;;1108;0
SMURSAMU;2017;010000024;010780054;1;1;0;0;0;;0;1;252;336;252;2;2;;;1336;307;218;;;;1861;455;184;3;58;210;1141;104;307;845;296;254017;;246797;236266;141331;136986;62598;404;223;181;622;0;6;0;4823;1
SMURSAMU;2017;010000032;010780062;1;1;0;0;0;;0;0;163;151;151;;;;;545;63;0;0;0;0;608;291;64;2;34;193;250;10;51;150;100;;;;;;;;;;;;;;;;
SMURSAMU;2017;010005239;010008407;1;1;0;0;0;;0;0;168;168;84;;1;;;520;22;0;0;0;0;542;272;62;0;22;188;433;62;85;298;135;;;;;;;;;;;;;;;;
SMURSAMU;2017;010780203;010010718;1;1;0;0;0;;0;0;168;168;168;2;1;0;0;829;15;;;;;844;153;88;;65;;691;91;128;395;296;;;;;;;;;;;;;;;;
SMURSAMU;2017;020000162;020000063;1;1;0;0;0;;0;0;0;168;336;2;2;0;0;1328;325;135;7;80;0;1875;192;78;5;95;14;1143;120;201;1077;66;;;;;;;;;;;;;;;;
