BOR;AN;nofinesset;nofinessej;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2020;220000368;220000103;1;1;220000541;;;;1;1;0;0;1;0;1;0;1;0;0;0;25;329;0;134;19;9285;0;2208;567;224;0;88;16;77;37;1;29;0;20;0
HAD;2020;220000541;220000152;0;;;;;;1;0;0;0;1;0;1;0;0;0;0;0;10;113;0;54;5;3256;0;961;167;96;0;53;5;43;24;2;10;0;4;0
HAD;2020;220019616;220019608;0;;;;;235052;0;0;0;0;1;0;1;0;1;0;0;0;80;805;17;436;9;24998;223;14055;105;636;14;337;7;288;152;2;137;0;24;0
HAD;2020;220020341;350000626;0;;;;;75441;0;0;0;0;1;0;1;0;1;0;0;0;25;392;1;175;10;10157;24;5239;346;300;1;143;4;148;65;0;100;0;31;1
HAD;2020;230782617;920028560;1;4;230782617;;;117340;0;1;0;0;1;0;1;0;1;0;0;0;35;517;0;120;167;13112;0;5021;1007;266;0;103;34;92;48;4;35;0;8;1
HAD;2020;240000489;240000117;1;2;240000489;;;181734;1;1;0;0;1;0;1;0;1;0;0;1;49;743;0;214;196;20652;0;4879;1149;480;0;198;50;264;128;11;111;0;60;1
HAD;2020;240000687;240000448;0;;;;;80000;1;0;0;0;1;0;0;0;1;0;0;0;30;237;0;127;1;8257;0;4188;7;169;0;112;1;71;55;0;29;0;21;0
HAD;2020;240011668;240000612;0;;;;;;0;0;0;0;1;1;1;0;1;0;0;0;30;378;0;170;3;12379;0;4236;25;305;0;148;2;150;76;0;65;0;12;0
HAD;2020;250012069;250017803;0;;;;;17197;;;;;;;;;1;0;0;0;20;233;0;112;0;7776;0;3766;0;172;0;91;0;51;36;0;19;0;11;0
HAD;2020;250016037;250017803;0;;;;;17197;;;;;;;;;1;0;0;0;40;474;0;225;3;18852;0;10501;180;368;0;167;2;129;62;0;68;0;2;0
HAD;2020;250016045;250017803;0;;;;;525000;0;0;0;0;;;;;1;0;0;0;100;554;0;251;5;19505;0;9942;94;440;0;197;5;157;86;2;70;0;15;0
HAD;2020;260000138;260000047;0;;;;;182337;1;0;0;0;1;0;1;0;1;0;0;0;30;332;0;72;45;9930;0;1538;1822;230;0;65;30;88;33;4;19;0;5;0
HAD;2020;260000146;260000054;1;3;260000054;;;462785;1;0;0;0;1;1;;;1;0;0;0;140;1953;327;435;411;47607;3625;12397;5685;1222;308;384;118;350;178;29;105;0;43;0
HAD;2020;270000441;270000110;0;;;;;55000;1;1;0;0;1;0;1;0;1;0;1;1;25;185;0;57;15;5536;0;1142;500;142;0;52;9;73;32;2;41;0;13;0
HAD;2020;270016058;750047367;0;;;;;270000;1;0;0;0;1;1;0;0;1;0;0;0;42;425;0;259;6;15531;0;7900;145;287;0;182;4;102;72;0;38;0;18;0
HAD;2020;270029416;270000102;0;;;;;88476;0;1;0;0;1;0;1;0;1;0;1;1;30;366;0;159;27;7779;0;3253;186;274;0;123;9;86;42;2;32;0;7;0
HAD;2020;280001678;370001638;1;1;;;;433233;1;1;0;0;1;1;;;1;1;1;1;70;1057;194;243;306;21537;2692;7781;1227;610;172;191;52;104;64;9;32;0;12;1
HAD;2020;290000785;220020739;0;;;;;330000;0;0;0;0;1;1;;;1;0;0;1;90;1303;0;416;460;23604;0;11030;1606;695;0;342;91;231;145;15;83;0;58;0
