BOR;AN;nofinesset;nofinessej;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2020;130000565;130781446;1;791;0;289;1.46;1;25;0;981;0;7651;1;1;1;1;1.36;1.01;0;0;0;0;13;13;;;2;5;2;;;2;15.42;14.91;;;2.64
MCOGER;2020;130001225;130782634;1;1101;0;746;3.8;1;20;0;850;0;7278;5;;;;3.47;;0;0;0;0;6;6;;;4;4;9;;;1;9.13;12.31;;;3.62
MCOGER;2020;130002827;130789274;1;999;0;700;2.91;1;28;;913;0;9603;0;0;3;0;1.8;0;;;;;11;13;0;0;1;5;9;0;0;9;10.57;14;0;0;4.3
MCOGER;2020;130002835;130789316;1;346;21;310;2.69;1;16;0;597;0;5149;;;2;1;1.03;0.94;0;0;1;1;;;;;;24;22;;;12;7.1;5.99;;;3.07
MCOGER;2020;130043664;130002157;1;760;;661;4.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2020;130780521;130786049;1;501;0;406;1.25;1;30;2;686;177;6747;;;6;;2.3;;;;;;16;13;;;5;;1;;;2;14.58;13.24;;;3.78
MCOGER;2020;130781255;220020739;0;;;;;1;30;8;517;293;6754;3;1;2;1;3.22;1.5;0;0;1;1;6;8;0;0;4;2;0;;;8;8.38;8.32;0;0;8.09
MCOGER;2020;130783293;130786049;1;1969;8;1868;4.85;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2020;130784234;130786049;0;;;;;1;25;8;492;389;6727;9;;14;;13.44;;;;;;18;12;;;6;5;4;;;3;20.04;15.08;;;11.16
MCOGER;2020;130785652;130014228;1;2089;0;1873;5;1;3;0;370;0;12;3;;1;;3.07;;0;0;0;0;2;;;;1;;;;;1;2.05;;;;1.33
MCOGER;2020;130786742;750821092;1;782;10;580;;1;86;2;;;;;;1;1;1;1;0;0;0;0;;;;;;2;;;;;1;;;;
MCOGER;2020;130809015;130001928;0;;;;;1;43;5;859;606;12021;;;5;3;4.5;1.5;1;1;1;1;13;17;;;12;;;;;9;13;17;;;16.8
MCOGER;2020;140000027;140000035;1;414;0;414;4;1;25;1;880;113;7476;3;3;2;0;4.22;3.62;0;0;0;0;10;12;;;5;7;6;;;2;14.02;17.14;;;5.08
MCOGER;2020;140000209;140000100;1;648;12;640;5.03;1;30;1;769;373;10579;8;8;;;4.7;4.7;0;0;0;0;11;15;;;7;9;5;;;4;15.6;18.24;;;9.77
MCOGER;2020;140000233;140000118;0;;;;;1;20;0;474;0;5951;;;3;;1.82;;;;;;4;3;;;;16;21;;;26;10.87;11.64;;;4.71
MCOGER;2020;140000373;140000159;0;;;;;1;10;0;511;0;5752;3;;1;1;2.31;0.2;0;0;0;0;8;12;;;2;3;2;;;7;10.24;12.8;;;4.02
MCOGER;2020;140002452;140025800;0;;;;;1;;5;0;1557;0;4;1;3;;4.59;1;0;0;1;0;14;19;;;7;12;10;;;6;24.23;27.98;;;12.7
MCOGER;2020;140026410;140026279;0;;;;;1;28;;814;0;8625;5;;;;5;;0;0;1;0;7;10;;;6;8;12;;;7;11.57;14.86;;;8.75
MCOGER;2020;150000032;150780088;0;;;;;1;16;0;371;0;4483;2;2;0;0;1;1;0;0;1;1;4;8;;;5;2;3;;;1;5.8;10.5;;;5.02
MCOGER;2020;150000040;150780096;1;81;21;668;0.2;1;18;;532;0;6350;;;1;1;0.2;0.2;0;0;0;0;5;4;;;2;2;5;;;4;5.85;7.2;;;3.15
MCOGER;2020;160000253;160000451;1;583;0;533;2.7;1;30;5;1102;207;10233;2;1;5;1;5.12;1.83;;;1;;13;16;0;0;6;3;6;1;0;5;15.09;17.88;0.25;0;6.33
MCOGER;2020;160000303;160006037;1;158;25;171;;1;21;;712;0;5627;2;1;;;2.05;1;0;0;0;0;2;;;;1;;2;;;2;2;1;;;1.4
MCOGER;2020;160000311;160000485;1;289;129;332;2.98;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2020;160015368;160014411;1;387;131;518;2.2;1;21;;617;0;7387;8;;;;7.55;;;;;;3;5;;;36;2;;;;3;3.3;5;;;32.73
MCOGER;2020;170000038;170780050;1;40;81;118;0.43;1;30;1;954;469;10540;3;2;1;1;2.75;2.4;0;0;1;0;12;13;;;2;4;5;;;1;15.73;17.15;;;1.41
MCOGER;2020;170000079;170780142;0;;;;;1;11;1;60;12;1488;1;;;;0.6;;0;0;0;0;4;6;;;1;1;2;;;;4.85;7;;;1
MCOGER;2020;170000087;170024194;1;563;;467;2.38;1;54;;1093;0;11550;7;7;0;0;7;7;0;0;1;1;1;;;;;26;35;;;13;26.32;33.27;;;8.01
MCOGER;2020;170000095;170780167;0;;;;;1;15;0;543;0;6981;1;1;;;1.57;0.9;0;0;1;1;15;21;1;;14;3;5;;;3;10.73;12.37;0.2;;7.41
MCOGER;2020;170000103;170780175;1;417;0;375;2.66;1;16;0;1216;0;10313;0;0;0;0;0.6;0;0;0;1;1;25;31;;;24;5;8;;;7;3.31;4.12;;;0.99
MCOGER;2020;170000129;170780191;0;;;;;1;30;;1125;0;9863;3;;;;3.08;;0;;1;;21;21;;;4;5;4;;;4;16.51;20.22;;;2.98
MCOGER;2020;170000152;170780225;1;1046;75;610;3.5;1;41;5;1372;582;14300;8;8;;;8;8;;;;;21;26;;;5;1;;2;;4;20.26;23.15;0.84;;4.16
MCOGER;2020;180000010;180000028;1;601;56;598;1.96;1;29;0;521;0;7219;2;2;2;2;2.92;2.92;0;0;1;1;9;11;;;1;1;2;;;1;12.89;14.6;;;2.45
MCOGER;2020;180000200;180000051;1;67;;599;0.92;1;22;0;;;;1;;1;;1.88;;;;;;1;4;;;1;2;2;;;3;7.09;9.79;;;2.05
MCOGER;2020;180000283;180000069;0;;;;;1;46;0;1179;54;15934;4;3;;;3.41;3.06;0;0;1;0;13;19;;;10;6;6;1;;5;15.47;21.15;0.05;;12.28
MCOGER;2020;190000018;190000042;1;2137;207;1986;11.5;1;43;0;1422;0;15064;5;5;1;1;4.2;4.2;0;0;1;1;26;19;;;13;1;3;;;5;23.09;19.74;;;15.89
MCOGER;2020;190000026;190000059;1;562;108;579;4.52;1;21;;617;0;7888;5;5;2;2;3.22;3.22;0;0;1;1;9;9;;;1;2;3;;;1;10.32;10.84;;;2.02
MCOGER;2020;190000091;190000075;1;2;11;366;1.75;1;5;1;167;3;1897;0;0;1;1;0.35;0.35;;;;;1;4;0;0;1;0;0;1;0;3;1;3.41;0.26;0;1.65
MCOGER;2020;210986089;210780581;1;355;1198;997;2.75;1;60;10;1485;644;16255;6;2;4;2;8.39;3.1;0;0;0;0;19;24;0;0;17;12;19;0;0;12;25.38;33.14;0;0;23.53
MCOGER;2020;210987657;210012175;1;457;61;486;2.94;1;20;;542;0;6585;1;;1;1;2.45;0.23;0;0;0;0;9;9;;;4;2;1;;;2;10.61;9.72;;;4.84
MCOGER;2020;210987665;210012142;1;113;228;477;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2020;210987673;210012142;0;;;;;1;23;1;393;173;4624;2;1;;;2.13;0.15;0;0;0;0;10;7;0;;7;1;4;;;2;11.17;12.92;0.47;;7.16
MCOGER;2020;220000012;220000020;1;1427;0;1097;2.04;1;40;0;1140;0;14044;4;1;6;4;7.57;2.4;0;0;1;1;20;28;1;;11;11;18;0;;5;22.11;26.76;0.13;;8.5
MCOGER;2020;220000095;220000046;1;210;65;981;3.8;1;22;3;757;171;9815;3;;1;;3.4;;0;;0;;11;14;;;4;8;7;;;8;19.19;23.29;;;8.15
MCOGER;2020;220000343;220000079;1;331;;;0.9;1;25;8;805;235;8510;3;;1;;2.05;;0;;1;;6;12;;;0;10;6;;;2;11.97;15.22;;;1.71
MCOGER;2020;220000368;220000103;1;496;0;462;2.85;1;28;0;825;0;7967;1;;2;2;3.01;1.4;0;;0;;10;9;;;2;6;11;1;;10;12.69;14.44;0.25;;5.9
MCOGER;2020;220000541;220000152;1;422;5;357;1.7;1;25;;807;0;8558;1;1;2;2;1.75;1.75;0;0;1;1;9;10;;;3;6;9;;;6;12.65;14.59;;;4.46
MCOGER;2020;220001259;220005045;1;6;70;59;0.87;1;30;5;678;243;8621;;;4;;2.17;;;;;;8;8;;;2;7;6;5;;22;12.18;12.16;1.36;;11.99
MCOGER;2020;230000820;230780041;1;407;0;367;3.27;1;0;0;547;0;6154;;;;;2.14;1.59;0;0;0;0;;1;;;2;;;;;;7.49;9.29;;;2.56
MCOGER;2020;230004657;230780058;0;;;;;1;20;0;339;0;3923;1;;;;0.9;;0;;1;;9;13;;;5;1;3;;;0;8.61;15.33;;;5.66
MCOGER;2020;240000372;240000059;1;206;165;158;1.9;1;20;0;771;0;7330;0;0;3;2;2.21;2.07;;;;;12;10;0;0;4;6;3;0;0;3;15.52;13.04;0;0;4.92
MCOGER;2020;240000489;240000117;1;910;0;479;4.08;1;46;0;1028;0;13208;7;2;1;;7.25;2;0;0;1;;10;20;0;0;8;0;2;0;0;1;10.08;19.21;0;0;7.3
MCOGER;2020;240000505;240016055;0;;;;;1;25;;273;0;4184;1;;;;1;;0;;1;;7;8;;;;1;6;;;1;6.7;10.8;;;0.4
MCOGER;2020;240000687;240000448;1;7;39;58;2;1;15;0;464;0;4046;0;;2;;0.93;;0;0;1;0;6;11;0;0;6;2;2;0;0;1;6.46;11.68;0;0;5.79
MCOGER;2020;250000700;250000452;1;324;164;766;4.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2020;250006954;250000015;1;3631;0;1354;6.12;1;52;4;1117;235;14883;2;0;4;1;6.77;0.93;0;0;0;0;13;17;1;0;9;21;18;2;0;18;24.87;23.35;1.35;0;15.24
MCOGER;2020;260000013;260000021;1;322;60;382;4.75;1;30;2;1035;128;11312;6;1;1;1;2.94;0.74;0;0;1;1;8;6;1;;11;4;12;;;8;10.41;15.93;1;;5.83
MCOGER;2020;260000120;260016910;1;279;184;463;1.5;1;12;1;406;7;4599;2;;2;;2.9;;0;0;1;;3;3;0;0;2;2;1;0;0;1;4.06;4.61;0;0;1.4
MCOGER;2020;260000138;260000047;1;12;72;794;3.4;1;20;0;686;0;8309;0;0;3;2;2.31;1.59;0;0;1;1;12;13;0;0;3;8;2;0;0;2;16.06;13.71;0;0;4.84
MCOGER;2020;260000146;260000054;0;;;;;1;5;1;430;14;4740;0;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2020;260000286;260000104;0;;;;;1;3;;172;0;1588;0;0;2;0;2.7;0;0;0;1;1;13;11;;0;4;3;2;1;0;4;7.02;5.78;0.35;0;3.59
