BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2018;300782117;300780038;N2340;33;13;41.88;;;;
PERINAT_P;2018;300782117;300780038;N2700;;1;0.33;;;;
PERINAT_P;2018;300782117;300780038;N2800;14;3;16.72;;;;
PERINAT_P;2018;300782117;300780038;N280H;14;3;16.72;;;;
PERINAT_P;2018;300788502;300017985;M1030;17;1;14.5;1;1;0;0
PERINAT_P;2018;300788502;300017985;M1140;0;14;4.8;0;1;;
PERINAT_P;2018;300788502;300017985;M2050;9;4;9.5;1;1;;
PERINAT_P;2018;300788502;300017985;N2340;2;1;2.5;;;;
PERINAT_P;2018;300788502;300017985;N2700;0;2;0.46;;;;
PERINAT_P;2018;300788502;300017985;N2800;8;19;20.63;;;;
PERINAT_P;2018;300788502;300017985;N280H;8;19;20.63;;;;
PERINAT_P;2018;310009279;310780671;M1140;;2;0.3;;1;;
PERINAT_P;2018;310009279;310780671;M2050;3;1;3.17;;1;;
PERINAT_P;2018;310009279;310780671;N2700;;1;0.08;;;;
PERINAT_P;2018;310009279;310780671;N2800;12;5;13.52;;;;
PERINAT_P;2018;310009279;310780671;N280H;12;5;13.52;;;;
PERINAT_P;2018;310009279;310780671;N3120;;1;0.1;;;;
PERINAT_P;2018;310016977;310781406;M1030;1;;1;;;;
PERINAT_P;2018;310016977;310781406;M1140;8;7;11.89;;;;
PERINAT_P;2018;310016977;310781406;M2050;6;17;8.26;;;;
PERINAT_P;2018;310016977;310781406;MIVG;;6;0.56;;;;
PERINAT_P;2018;310016977;310781406;N2340;55;32;81.69;;;;
PERINAT_P;2018;310016977;310781406;N2700;1;4;1.19;;;;
PERINAT_P;2018;310016977;310781406;N2800;87;35;101.29;;;;
PERINAT_P;2018;310016977;310781406;N280H;34;35;39.2;;;;
PERINAT_P;2018;310016977;310781406;N3120;;2;1.6;;;;
PERINAT_P;2018;310026083;310026075;M1030;4;;4;1;1;1;0
PERINAT_P;2018;310026083;310026075;M1140;8;;8;0;1;;
PERINAT_P;2018;310026083;310026075;M2050;14;3;16;1;1;;
PERINAT_P;2018;310026083;310026075;MIVG;20;;20;;;;
PERINAT_P;2018;310026083;310026075;N2340;13;4;15.8;;;;
PERINAT_P;2018;310026083;310026075;N2700;;1;0.5;;;;
PERINAT_P;2018;310026083;310026075;N2800;38;6;42.21;;;;
PERINAT_P;2018;310026083;310026075;N3120;;1;0.5;;;;
PERINAT_P;2018;310026927;310026794;M1030;28;;28;0;1;0;1
PERINAT_P;2018;310026927;310026794;M1140;5;;5;0;1;;
PERINAT_P;2018;310026927;310026794;M2050;19;;19;0;1;;
PERINAT_P;2018;310026927;310026794;N2340;5;;4.86;;;;
PERINAT_P;2018;310026927;310026794;N2800;19;4;17.77;;;;
PERINAT_P;2018;310026927;310026794;N280H;19;4;17.77;;;;
PERINAT_P;2018;310780101;310026794;N2340;8;;6.16;;;;
PERINAT_P;2018;310780101;310026794;N2800;16;4;11.49;;;;
PERINAT_P;2018;310780101;310026794;N280H;16;4;11.49;;;;
PERINAT_P;2018;310780283;310000112;M1030;10;5;13.5;;;;
PERINAT_P;2018;310780283;310000112;M1140;4;;4;;;;
PERINAT_P;2018;310780283;310000112;N2340;2;3;5.39;;;;
PERINAT_P;2018;310780283;310000112;N2700;1;;0.5;;;;
PERINAT_P;2018;310780283;310000112;N2800;6;9;13.29;;;;
PERINAT_P;2018;310780283;310000112;N280H;1;;1;;;;
PERINAT_P;2018;310780382;310000179;M1030;;;;1;0;0;0
PERINAT_P;2018;310780382;310000179;M1140;5;2;6;0;1;;
PERINAT_P;2018;310780382;310000179;M2050;7;;7;0;1;;
PERINAT_P;2018;310780382;310000179;N2340;23;;18.91;;;;
PERINAT_P;2018;310780382;310000179;N2800;31;;31.76;;;;
PERINAT_P;2018;310780382;310000179;N3120;;1;0.5;;;;
PERINAT_P;2018;310781067;310788898;M1030;;;;1;1;1;0
PERINAT_P;2018;310781067;310788898;M1140;0;5;2.79;0;1;;
PERINAT_P;2018;310781067;310788898;M2050;5;7;8.91;1;0;;
PERINAT_P;2018;310781067;310788898;N2340;7;4;6.04;;;;
PERINAT_P;2018;310781067;310788898;N2800;38;12;37.9;;;;
PERINAT_P;2018;310781067;310788898;N280H;38;12;37.9;;;;
PERINAT_P;2018;310781505;310000492;M1030;10;;;;;;
PERINAT_P;2018;310781505;310000492;M1140;3;;;;;;
PERINAT_P;2018;310781505;310000492;M2050;4;;;;;;
PERINAT_P;2018;310781505;310000492;N2340;1;;1;;;;
PERINAT_P;2018;310781505;310000492;N2800;5;5;9.31;;;;
PERINAT_P;2018;310781505;310000492;N280H;1;;1;;;;
PERINAT_P;2018;320000086;320780117;M1030;;;;1;0;;
PERINAT_P;2018;320000086;320780117;M1140;;2;0.75;0;1;;
PERINAT_P;2018;320000086;320780117;M2050;5;2;5.98;0;1;;
PERINAT_P;2018;320000086;320780117;N2340;4;1;4.8;;;;
PERINAT_P;2018;320000086;320780117;N2800;10;7;15.4;;;;
PERINAT_P;2018;320780067;320000052;MIVG;;1;0.05;;;;
PERINAT_P;2018;330000340;330780552;M1140;5;4;4.97;0;1;;
PERINAT_P;2018;330000340;330780552;M2050;11;1;8.35;1;0;;
PERINAT_P;2018;330000340;330780552;N2700;1;1;1;;;;
PERINAT_P;2018;330000340;330780552;N2800;30;12;40.81;;;;
PERINAT_P;2018;330000340;330780552;N280H;28;10;23.81;;;;
PERINAT_P;2018;330000340;330780552;N3120;1;1;0.65;;;;
PERINAT_P;2018;330000555;330781204;M1030;;;;1;;0;
PERINAT_P;2018;330000555;330781204;M1140;3;;0.5;0;1;;
PERINAT_P;2018;330000555;330781204;M2050;5;;5.83;0;1;;
PERINAT_P;2018;330000555;330781204;MIVG;5;;0.2;;;;
PERINAT_P;2018;330000555;330781204;N2700;;2;0.47;;;;
PERINAT_P;2018;330000555;330781204;N2800;16;7;19.55;;;;
PERINAT_P;2018;330000555;330781204;N280H;16;7;17.05;;;;
PERINAT_P;2018;330000555;330781204;N3120;1;;0.15;;;;
PERINAT_P;2018;330000571;330781220;M2050;2;1;2.15;;1;;
PERINAT_P;2018;330000571;330781220;MIVG;;1;0.13;;;;
PERINAT_P;2018;330000571;330781220;N2700;;1;0.2;;;;
PERINAT_P;2018;330000571;330781220;N2800;8;5;11.11;;;;
PERINAT_P;2018;330000571;330781220;N280H;6;4;8.49;;;;
PERINAT_P;2018;330000571;330781220;N3120;2;1;0.3;;;;
PERINAT_P;2018;330000589;330027509;M1030;0;4;0.2;0;1;;
PERINAT_P;2018;330000589;330027509;M1140;0;0;0;0;1;;
PERINAT_P;2018;330000589;330027509;M2050;3;2;4.48;0;1;;
PERINAT_P;2018;330000589;330027509;N2700;0;1;0.24;;;;
PERINAT_P;2018;330000589;330027509;N2800;11;11;16.54;;;;
PERINAT_P;2018;330000589;330027509;N280H;11;11;16.54;;;;
PERINAT_P;2018;330000597;330027509;M2050;0;2;0.23;;;;
PERINAT_P;2018;330000597;330027509;N2800;0;6;1.86;;;;
PERINAT_P;2018;330000605;330781253;M1140;;9;2.25;1;0;;
PERINAT_P;2018;330000605;330781253;M2050;;13;9.11;1;0;;
PERINAT_P;2018;330000605;330781253;MIVG;;2;0.36;;;;
PERINAT_P;2018;330000605;330781253;N2340;11;4;13.19;;;;
PERINAT_P;2018;330000605;330781253;N2700;;1;0.49;;;;
PERINAT_P;2018;330000605;330781253;N2800;15;19;28.6;;;;
PERINAT_P;2018;330780263;330000134;M1030;;13;3.6;1;0;0;0
PERINAT_P;2018;330780263;330000134;M1140;;5;2.5;0;1;;
PERINAT_P;2018;330780263;330000134;M2050;6;2;6.7;1;0;;
PERINAT_P;2018;330780263;330000134;N2700;;1;0.75;;;;
PERINAT_P;2018;330780263;330000134;N2800;20;2;20.42;;;;
PERINAT_P;2018;330780263;330000134;N280H;3;;3;;;;
PERINAT_P;2018;330780263;330000134;N3120;;1;0.05;;;;
PERINAT_P;2018;330780479;330000274;M1030;;17;2.7;1;0;;
PERINAT_P;2018;330780479;330000274;M1140;2;3;4.2;0;1;;
PERINAT_P;2018;330780479;330000274;M2050;13;1;13.5;1;0;;
PERINAT_P;2018;330780479;330000274;N2340;5;1;5.13;;;;
PERINAT_P;2018;330780479;330000274;N2700;;1;0.5;;;;
PERINAT_P;2018;330780479;330000274;N2800;23;9;29.89;;;;
PERINAT_P;2018;330780479;330000274;N280H;13;5;16.68;;;;
PERINAT_P;2018;330780479;330000274;N3120;;1;0.5;;;;
PERINAT_P;2018;330780495;330796392;M1140;;1;0.5;;;;
PERINAT_P;2018;330780495;330796392;M2050;2;2;2.29;;;;
PERINAT_P;2018;330780495;330796392;N2800;4;5;6.7;;;;
PERINAT_P;2018;330780495;330796392;N280H;1;;1;;;;
PERINAT_P;2018;330780537;330000324;M1030;4;;4;0;1;0;0
PERINAT_P;2018;330780537;330000324;M1140;;2;0.4;0;1;;
PERINAT_P;2018;330780537;330000324;M2050;4;3;5;0;1;;
PERINAT_P;2018;330780537;330000324;MIVG;3;;3;;;;
PERINAT_P;2018;330780537;330000324;N2340;7;3;9.26;;;;
PERINAT_P;2018;330780537;330000324;N2800;6;3;7.78;;;;
PERINAT_P;2018;330780537;330000324;N280H;6;3;7.78;;;;
PERINAT_P;2018;330781360;330781196;M1030;7;;6.5;1;1;1;1
PERINAT_P;2018;330781360;330781196;M1140;18;2;16.24;1;1;;
PERINAT_P;2018;330781360;330781196;M2050;20;10;19.07;1;1;;
PERINAT_P;2018;330781360;330781196;MIVG;1;4;1.48;;;;
PERINAT_P;2018;330781360;330781196;N2340;85;53;133.55;;;;
PERINAT_P;2018;330781360;330781196;N2700;2;3;3.16;;;;
PERINAT_P;2018;330781360;330781196;N2800;95;50;129.19;;;;
PERINAT_P;2018;330781360;330781196;N3120;;1;0.24;;;;
PERINAT_P;2018;330782582;330000928;M1030;;;;1;0;0;
PERINAT_P;2018;330782582;330000928;M1140;2;2;3;1;0;;
PERINAT_P;2018;330782582;330000928;M2050;7;1;8;0;1;;
PERINAT_P;2018;330782582;330000928;MIVG;5;;5;;;;
PERINAT_P;2018;330782582;330000928;N2340;10;5;10.05;;;;
PERINAT_P;2018;330782582;330000928;N2700;;1;0.23;;;;
PERINAT_P;2018;330782582;330000928;N2800;8;7;13.07;;;;
PERINAT_P;2018;330782582;330000928;N280H;8;7;13.07;;;;
PERINAT_P;2018;340000033;340780055;M1030;1;;0.75;1;0;0;0
PERINAT_P;2018;340000033;340780055;M1140;;10;2.29;1;0;;
PERINAT_P;2018;340000033;340780055;M2050;1;6;4.25;1;0;;
PERINAT_P;2018;340000033;340780055;MIVG;;6;0.84;;;;
PERINAT_P;2018;340000033;340780055;N2340;1;4;5.11;;;;
PERINAT_P;2018;340000033;340780055;N2800;15;20;27.85;;;;
PERINAT_P;2018;340000033;340780055;N280H;14;18;12.14;;;;
PERINAT_P;2018;340000033;340780055;N3120;;1;1.46;;;;
PERINAT_P;2018;340000223;340011295;M1030;0;0;0;;1;;1
PERINAT_P;2018;340000223;340011295;M1140;1;1;1.49;0;1;;
PERINAT_P;2018;340000223;340011295;M2050;5;0;3.4;0;1;;
PERINAT_P;2018;340000223;340011295;N2340;2;2;2.7;;;;
PERINAT_P;2018;340000223;340011295;N2800;12;3;13.3;;;;
PERINAT_P;2018;340000223;340011295;N280H;12;3;13.3;;;;
PERINAT_P;2018;340000223;340011295;N3120;2;0;0.26;;;;
PERINAT_P;2018;340009885;340009877;M1030;3;2;4;;;;
PERINAT_P;2018;340009885;340009877;M1140;;5;2;0;;;
PERINAT_P;2018;340009885;340009877;M2050;;10;5;;;;
PERINAT_P;2018;340009885;340009877;MIVG;;15;3;;;;
PERINAT_P;2018;340009885;340009877;N2700;;1;0.1;;;;
PERINAT_P;2018;340009885;340009877;N2800;11;11;16.43;;;;
PERINAT_P;2018;340009885;340009877;N280H;11;11;16.43;;;;
PERINAT_P;2018;340022979;340000306;M1030;5;2;6;1;1;1;0
PERINAT_P;2018;340022979;340000306;M1140;;11;6;1;1;;
PERINAT_P;2018;340022979;340000306;M2050;;32;16;1;1;;
PERINAT_P;2018;340022979;340000306;MIVG;;27;9;;;;
PERINAT_P;2018;340022979;340000306;N2340;5;3;7.32;;;;
PERINAT_P;2018;340022979;340000306;N2700;;1;0.44;;;;
PERINAT_P;2018;340022979;340000306;N2800;24;17;33.33;;;;
PERINAT_P;2018;340022979;340000306;N280H;10;8;18.23;;;;
PERINAT_P;2018;340022979;340000306;N3120;;1;0.6;;;;
PERINAT_P;2018;340780675;340000298;M1030;9;1;9.5;1;0;1;0
PERINAT_P;2018;340780675;340000298;M1140;;9;5;1;0;;
PERINAT_P;2018;340780675;340000298;M2050;8;10;11;1;0;;
PERINAT_P;2018;340780675;340000298;MIVG;;16;10;;;;
PERINAT_P;2018;340780675;340000298;N2340;6;;6;;;;
PERINAT_P;2018;340780675;340000298;N2700;;1;0.73;;;;
PERINAT_P;2018;340780675;340000298;N2800;18;8;23;;;;
PERINAT_P;2018;340780675;340000298;N280H;9;2;10.5;;;;
PERINAT_P;2018;340780675;340000298;N3120;;1;0.1;;;;
PERINAT_P;2018;340780717;340023225;M1030;;5;3;0;1;0;0
PERINAT_P;2018;340780717;340023225;M1140;3;;3;0;1;;
PERINAT_P;2018;340780717;340023225;M2050;2;2;3;0;1;;
PERINAT_P;2018;340780717;340023225;MIVG;2;2;3;;;;
PERINAT_P;2018;340780717;340023225;N2800;4;4;6;;;;
PERINAT_P;2018;340780717;340023225;N280H;1;;1;;;;
PERINAT_P;2018;340780741;340000348;M1030;4;0;4;0;1;;0
PERINAT_P;2018;340780741;340000348;M1140;3;0;3;0;1;;
PERINAT_P;2018;340780741;340000348;M2050;4;0;4;0;1;;
PERINAT_P;2018;340780741;340000348;MIVG;4;0;4;;;;
PERINAT_P;2018;340780741;340000348;N2340;2;0;2;;;;
PERINAT_P;2018;340780741;340000348;N2700;0;1;0.17;;;;
PERINAT_P;2018;340780741;340000348;N2800;7;0;6.3;;;;
PERINAT_P;2018;340780741;340000348;N280H;7;0;6.3;;;;
PERINAT_P;2018;340796663;340780477;M1030;1;1;0.85;1;1;1;
PERINAT_P;2018;340796663;340780477;M1140;7;14;9.67;0;1;;
PERINAT_P;2018;340796663;340780477;M2050;2;12;5.02;1;1;;
PERINAT_P;2018;340796663;340780477;MIVG;3;1;0.87;;;;
PERINAT_P;2018;340796663;340780477;N2340;92;13;88.5;;;;
PERINAT_P;2018;340796663;340780477;N2700;3;3;3.1;;;;
PERINAT_P;2018;340796663;340780477;N2800;54;9;49.6;;;;
PERINAT_P;2018;340796663;340780477;N280H;52;8;48.3;;;;
PERINAT_P;2018;350000121;350000303;M1030;29;;29;1;0;1;0
PERINAT_P;2018;350000121;350000303;M1140;5;;5;0;1;;
PERINAT_P;2018;350000121;350000303;M2050;11;;11;0;1;;
PERINAT_P;2018;350000121;350000303;N2340;3;5;6.4;;;;
PERINAT_P;2018;350000121;350000303;N2700;;2;1.5;;;;
PERINAT_P;2018;350000121;350000303;N2800;17;10;23.4;;;;
PERINAT_P;2018;350000121;350000303;N3120;2;;2;;;;
PERINAT_P;2018;350000139;350001137;M1030;13;2;15.15;1;1;1;0
PERINAT_P;2018;350000139;350001137;M1140;;9;4.76;1;0;;
PERINAT_P;2018;350000139;350001137;M2050;11;9;13.66;1;1;;
PERINAT_P;2018;350000139;350001137;N2340;4;13;17.05;;;;
PERINAT_P;2018;350000139;350001137;N2700;;2;1.5;;;;
PERINAT_P;2018;350000139;350001137;N2800;40;17;67.95;;;;
PERINAT_P;2018;350000147;350000022;M1030;0;12;1;1;0;;
PERINAT_P;2018;350000147;350000022;M1140;0;1;0.54;0;1;;
PERINAT_P;2018;350000147;350000022;M2050;0;14;1.97;1;0;;
PERINAT_P;2018;350000147;350000022;MIVG;;1;0.3;;;;
PERINAT_P;2018;350000147;350000022;N2700;;1;0.65;;;;
PERINAT_P;2018;350000147;350000022;N2800;9;21;24.4;;;;
PERINAT_P;2018;350000147;350000022;N3120;;1;0.2;;;;
PERINAT_P;2018;350000154;350000030;M1030;4;3;0.2;1;0;0;0
PERINAT_P;2018;350000154;350000030;M1140;1;2;0.95;0;1;;
PERINAT_P;2018;350000154;350000030;M2050;4;2;3.47;0;1;;
PERINAT_P;2018;350000154;350000030;MIVG;;1;0.1;;;;
PERINAT_P;2018;350000154;350000030;N2340;3;4;3.3;;;;
PERINAT_P;2018;350000154;350000030;N2800;15;4;16.4;;;;
PERINAT_P;2018;350000154;350000030;N280H;14;4;6;;;;
PERINAT_P;2018;350000162;350000048;M1030;;;0.04;;;;
PERINAT_P;2018;350000162;350000048;M1140;1;;0.1;0;1;;
PERINAT_P;2018;350000162;350000048;M2050;5;;3.99;0;1;;
PERINAT_P;2018;350000162;350000048;MIVG;1;;0.1;;;;
PERINAT_P;2018;350000162;350000048;N2800;8;8;14.69;;;;
PERINAT_P;2018;350000162;350000048;N280H;5;8;5.84;;;;
PERINAT_P;2018;350000188;350000055;M1030;;;;0;1;0;0
PERINAT_P;2018;350000188;350000055;M1140;4;1;4.1;0;1;;
PERINAT_P;2018;350000188;350000055;M2050;2;2;3;0;1;;
PERINAT_P;2018;350000188;350000055;N2700;1;0;0.15;;;;
PERINAT_P;2018;350000188;350000055;N2800;9;10;15.96;;;;
PERINAT_P;2018;350007084;350005179;M1030;13;4;2.79;;;;
PERINAT_P;2018;350007084;350005179;M1140;11;0;7.01;;;;
PERINAT_P;2018;350007084;350005179;M2050;32;10;8.38;;;;
PERINAT_P;2018;350007084;350005179;N2340;43;55;80.07;;;;
PERINAT_P;2018;350007084;350005179;N2700;0;1;0.29;;;;
PERINAT_P;2018;350007084;350005179;N2800;51;37;77.19;;;;
PERINAT_P;2018;360000038;360000046;M2050;;2;0.35;0;0;;
PERINAT_P;2018;360000038;360000046;N2800;2;1;2.9;;;;
PERINAT_P;2018;360000137;360000053;M1030;;;;1;0;1;0
PERINAT_P;2018;360000137;360000053;M1140;3;;1.5;0;1;;
PERINAT_P;2018;360000137;360000053;M2050;3;;1.5;1;0;;
PERINAT_P;2018;360000137;360000053;MIVG;1;;0.2;;;;
PERINAT_P;2018;360000137;360000053;N2340;7;8;7.8;;;;
PERINAT_P;2018;360000137;360000053;N2700;;1;0.8;;;;
PERINAT_P;2018;360000137;360000053;N2800;21;9;27.6;;;;
PERINAT_P;2018;360000137;360000053;N3120;1;2;2.7;;;;
PERINAT_P;2018;360000160;360000053;M1140;1;;1;0;0;;
PERINAT_P;2018;360000160;360000053;M2050;1;;1;0;0;;
PERINAT_P;2018;360000160;360000053;N2800;3;1;3.5;;;;
PERINAT_P;2018;360000160;360000053;N280H;;;1;;;;
PERINAT_P;2018;370000499;370000481;M1030;8;;7.5;;;;
PERINAT_P;2018;370000499;370000481;M1140;30;17;33.4;;;;
PERINAT_P;2018;370000499;370000481;N2340;0;0;0.83;;;;
PERINAT_P;2018;370000531;370000606;M1030;0;0;0;0;1;;1
PERINAT_P;2018;370000531;370000606;M1140;1;2;1.42;0;0;;
PERINAT_P;2018;370000531;370000606;M2050;1;4;3.01;0;1;;
PERINAT_P;2018;370000531;370000606;N2700;1;0;0.2;;;;
PERINAT_P;2018;370000531;370000606;N2800;12;5;14.85;;;;
PERINAT_P;2018;370000531;370000606;N280H;6;0;6;;;;
PERINAT_P;2018;370000861;370000481;M1030;5;2;5.15;1;;;
PERINAT_P;2018;370000861;370000481;M1140;10;6;11.7;1;;;
PERINAT_P;2018;370000861;370000481;M2050;24;7;22.8;1;1;;
PERINAT_P;2018;370000861;370000481;MIVG;1;5;4.2;;;;
PERINAT_P;2018;370000861;370000481;N2340;15;17;28.18;;;;
PERINAT_P;2018;370000861;370000481;N2700;4;0;2.5;;;;
PERINAT_P;2018;370000861;370000481;N2800;53;42;78.47;;;;
PERINAT_P;2018;370000861;370000481;N280H;51;35;65.45;;;;
PERINAT_P;2018;370000879;370000564;M1140;;2;0.49;0;0;;
PERINAT_P;2018;370000879;370000564;M2050;2;;1.7;0;0;;
PERINAT_P;2018;370000879;370000564;MIVG;;1;0.1;;;;
PERINAT_P;2018;370000879;370000564;N2800;6;2;7.22;;;;
PERINAT_P;2018;370000903;370000614;MIVG;;1;0.2;;;;
PERINAT_P;2018;370000903;370000614;N2800;;2;0.75;;;;
PERINAT_P;2018;370007569;370007528;M1030;;;;1;;1;
PERINAT_P;2018;370007569;370007528;M1140;2;1;2.5;1;;;
PERINAT_P;2018;370007569;370007528;M2050;13;;13;1;;;
PERINAT_P;2018;370007569;370007528;N2340;1;;0.8;;;;
PERINAT_P;2018;370007569;370007528;N2700;;1;0.15;;;;
PERINAT_P;2018;370007569;370007528;N2800;22;;19.5;;;;
PERINAT_P;2018;380000026;380780031;M2050;;;0.1;;;;
PERINAT_P;2018;380000026;380780031;N2800;;2;0.65;;;;
PERINAT_P;2018;380000034;380780049;M2050;1;3;1.53;;;;
PERINAT_P;2018;380000034;380780049;MIVG;0;2;1.29;;;;
PERINAT_P;2018;380000034;380780049;N2340;3;2;2.86;;;;
PERINAT_P;2018;380000034;380780049;N2700;0;3;0.67;;;;
PERINAT_P;2018;380000034;380780049;N2800;13;9;19.58;;;;
PERINAT_P;2018;380000034;380780049;N280H;13;9;19.58;;;;
PERINAT_P;2018;380000042;380780056;N2800;;1;0.6;;;;
PERINAT_P;2018;380000067;380780080;M1030;1;;0.5;0;0;;
PERINAT_P;2018;380000067;380780080;M1140;10;1;8.79;1;1;;
PERINAT_P;2018;380000067;380780080;M2050;12;9;11.06;1;1;;
PERINAT_P;2018;380000067;380780080;MIVG;;5;1.65;;;;
PERINAT_P;2018;380000067;380780080;N2340;43;26;62.64;;;;
PERINAT_P;2018;380000067;380780080;N2700;;2;1.2;;;;
PERINAT_P;2018;380000067;380780080;N2800;42;40;70.92;;;;
PERINAT_P;2018;380000091;380780171;M2050;;3;0.37;0;0;;
PERINAT_P;2018;380000091;380780171;N2800;2;;2;;;;
PERINAT_P;2018;380000174;380781435;M1030;;8;0.35;1;0;0;0
PERINAT_P;2018;380000174;380781435;M1140;;6;2.65;1;0;;
PERINAT_P;2018;380000174;380781435;M2050;2;9;7.39;1;0;;
PERINAT_P;2018;380000174;380781435;MIVG;;2;0.29;;;;
PERINAT_P;2018;380000174;380781435;N2340;1;2;2.07;;;;
PERINAT_P;2018;380000174;380781435;N2700;0;1;0.8;;;;
PERINAT_P;2018;380000174;380781435;N2800;29;13;37.53;;;;
PERINAT_P;2018;380000174;380781435;N280H;6;3;8.31;;;;
PERINAT_P;2018;380000174;380781435;N3120;0;3;1.32;;;;
PERINAT_P;2018;380000406;380784751;M2050;2;6;6.09;;;;
PERINAT_P;2018;380000406;380784751;N2340;2;4;6.43;;;;
PERINAT_P;2018;380000406;380784751;N2700;1;;0.75;;;;
PERINAT_P;2018;380000406;380784751;N2800;6;30;25;;;;
PERINAT_P;2018;380000406;380784751;N280H;3;12;11;;;;
PERINAT_P;2018;380000406;380784751;N3120;1;;0.1;;;;
PERINAT_P;2018;380012658;380012609;M1140;;10;2.1;;;;
PERINAT_P;2018;380012658;380012609;M2050;9;8;13.2;;;;
PERINAT_P;2018;380012658;380012609;N2340;;2;1.5;;;;
PERINAT_P;2018;380012658;380012609;N2700;;1;0.33;;;;
PERINAT_P;2018;380012658;380012609;N2800;13;22;34.9;;;;
PERINAT_P;2018;380020123;380021139;M2050;;2;1;0;0;;
PERINAT_P;2018;380020123;380021139;N2800;1;;1;;;;
PERINAT_P;2018;380780197;380798173;M1030;;14;11;0;1;0;1
PERINAT_P;2018;380780197;380798173;M1140;4;8;4.62;0;1;;
PERINAT_P;2018;380780197;380798173;M2050;4;1;5.2;0;1;;
PERINAT_P;2018;380780197;380798173;N2340;6;1;6.98;;;;
PERINAT_P;2018;380780197;380798173;N2700;;2;0.45;;;;
PERINAT_P;2018;380780197;380798173;N2800;10;11;16.33;;;;
PERINAT_P;2018;380780197;380798173;N280H;9;9;9.63;;;;
PERINAT_P;2018;380780197;380798173;N3120;;2;0.6;;;;
PERINAT_P;2018;380780288;380019224;M2050;;1;0.5;;;;
PERINAT_P;2018;380785956;380795211;M1030;;;;1;1;0;0
PERINAT_P;2018;380785956;380795211;M1140;;8;4;0;1;;
PERINAT_P;2018;380785956;380795211;M2050;7;;7;1;0;;
PERINAT_P;2018;380785956;380795211;N2700;;1;0.17;;;;
PERINAT_P;2018;380785956;380795211;N2800;5;12;13.26;;;;
PERINAT_P;2018;380785956;380795211;N280H;5;12;13.26;;;;
PERINAT_P;2018;380786442;380798025;M1030;19;;19;1;1;1;
PERINAT_P;2018;380786442;380798025;M1140;2;6;5;;1;;
PERINAT_P;2018;380786442;380798025;M2050;16;;16;1;1;;
PERINAT_P;2018;380786442;380798025;MIVG;3;;3;;;;
PERINAT_P;2018;380786442;380798025;N2340;2;9;8.03;;;;
PERINAT_P;2018;380786442;380798025;N2700;;2;0.5;;;;
PERINAT_P;2018;380786442;380798025;N2800;15;21;29.4;;;;
PERINAT_P;2018;380786442;380798025;N280H;5;2;6.02;;;;
PERINAT_P;2018;390000040;390780146;M1140;;4;3.6;0;1;;
PERINAT_P;2018;390000040;390780146;M2050;;1;0.58;0;1;;
PERINAT_P;2018;390000040;390780146;N2340;;11;4.33;;;;
PERINAT_P;2018;390000040;390780146;N2800;1;27;18.04;;;;
PERINAT_P;2018;390000065;390780161;M2050;;1;0.44;0;0;;
PERINAT_P;2018;390000065;390780161;N2800;4;8;8.55;;;;
PERINAT_P;2018;390000065;390780161;N280H;4;8;8.55;;;;
PERINAT_P;2018;390000222;390780609;M2050;5;2;5.94;0;1;;
PERINAT_P;2018;390000222;390780609;N2340;;;0.67;;;;
PERINAT_P;2018;390000222;390780609;N2700;;;1;;;;
PERINAT_P;2018;390000222;390780609;N2800;5;6;9.37;;;;
PERINAT_P;2018;400000105;400780193;M1030;;4;0.5;1;0;1;
PERINAT_P;2018;400000105;400780193;M1140;;5;0.45;1;1;;
PERINAT_P;2018;400000105;400780193;M2050;;6;1.67;1;1;;
PERINAT_P;2018;400000105;400780193;MIVG;1;;0.76;;;;
PERINAT_P;2018;400000105;400780193;N2340;0;1;0.5;;;;
PERINAT_P;2018;400000105;400780193;N2700;0;1;0.5;;;;
PERINAT_P;2018;400000105;400780193;N2800;10;13;18.84;;;;
PERINAT_P;2018;400000139;400011177;M1030;;;;1;0;0;0
PERINAT_P;2018;400000139;400011177;M1140;0;8;6.04;1;0;;
PERINAT_P;2018;400000139;400011177;M2050;6;2;7.08;1;0;;
PERINAT_P;2018;400000139;400011177;N2340;7;5;11.08;;;;
PERINAT_P;2018;400000139;400011177;N2800;22;7;26.47;;;;
PERINAT_P;2018;400000139;400011177;N3120;0;1;0.7;;;;
PERINAT_P;2018;410000020;410000087;M1140;0;3;2.25;1;0;;
PERINAT_P;2018;410000020;410000087;M2050;3;6;5.98;1;0;;
PERINAT_P;2018;410000020;410000087;MIVG;0;9;2.05;;;;
PERINAT_P;2018;410000020;410000087;N2340;3;11;11.73;;;;
PERINAT_P;2018;410000020;410000087;N2800;19;12;23.82;;;;
PERINAT_P;2018;410000020;410000087;N280H;9;6;11.91;;;;
PERINAT_P;2018;410000046;410000103;M1030;1;6;3.73;0;1;0;1
PERINAT_P;2018;410000046;410000103;M1140;3;;3;0;1;;
PERINAT_P;2018;410000046;410000103;M2050;3;1;4.23;0;1;;
PERINAT_P;2018;410000046;410000103;N2800;11;3;14.9;;;;
PERINAT_P;2018;410000046;410000103;N280H;11;3;14.9;;;;
PERINAT_P;2018;410000202;410000319;M1030;6;2;7.25;;;;
PERINAT_P;2018;410000202;410000319;M1140;1;1;1.8;;;;
PERINAT_P;2018;410000202;410000319;M2050;4;;4;;;;
