BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2020;020000162;020000063;M1140;5;3;6.3;1;;;
PERINAT_P;2020;020000162;020000063;M2050;6;1;6.4;1;;;
PERINAT_P;2020;020000162;020000063;MIVG;0;1;0.2;;;;
PERINAT_P;2020;020000162;020000063;N2200;15;8;15.4;;;;
PERINAT_P;2020;020000162;020000063;N2340;15;4;17.32;;;;
PERINAT_P;2020;020000162;020000063;N2530;8;4;9.91;;;;
PERINAT_P;2020;020000162;020000063;N2700;2;0;2;;;;
PERINAT_P;2020;020000162;020000063;N2800;25;7;27.68;;;;
PERINAT_P;2020;020000162;020000063;N280H;25;7;27.68;;;;
PERINAT_P;2020;020000162;020000063;NAUT;20;10;22.64;;;;
PERINAT_P;2020;020000394;020000253;M1140;0;5;3.63;;;;
PERINAT_P;2020;020000394;020000253;M2050;3;4;3.69;1;0;;
PERINAT_P;2020;020000394;020000253;MIVG;0;1;0.7;;;;
PERINAT_P;2020;020000394;020000253;N2200;13;0;12.51;;;;
PERINAT_P;2020;020000394;020000253;N2340;1;0;1.26;;;;
PERINAT_P;2020;020000394;020000253;N2530;8;0;7.99;;;;
PERINAT_P;2020;020000394;020000253;N2700;0;1;0.2;;;;
PERINAT_P;2020;020000394;020000253;N2800;13;7;16.63;;;;
PERINAT_P;2020;020000394;020000253;N280H;13;7;16.63;;;;
PERINAT_P;2020;020000394;020000253;NAUT;11;4;12.88;;;;
PERINAT_P;2020;020000519;020000261;M1030;1;;1;1;0;0;0
PERINAT_P;2020;020000519;020000261;M1140;4;2;5.4;1;0;;
PERINAT_P;2020;020000519;020000261;M2050;5;;5;0;1;;
PERINAT_P;2020;020000519;020000261;MIVG;2;;2;;;;
PERINAT_P;2020;020000519;020000261;N2200;10;2;12.42;;;;
PERINAT_P;2020;020000519;020000261;N2340;9;0;8;;;;
PERINAT_P;2020;020000519;020000261;N2530;6;1;7.07;;;;
PERINAT_P;2020;020000519;020000261;N2700;;1;0.25;;;;
PERINAT_P;2020;020000519;020000261;N2800;16;3;16.93;;;;
PERINAT_P;2020;020000519;020000261;NAUT;13;2;15.87;;;;
PERINAT_P;2020;020000535;020000287;M1030;;2;5.98;1;;;
PERINAT_P;2020;020000535;020000287;M1140;1;2;1.34;1;1;;
PERINAT_P;2020;020000535;020000287;M2050;;5;4.41;0;1;;
PERINAT_P;2020;020000535;020000287;N2200;2;;2;;;;
PERINAT_P;2020;020000535;020000287;N2340;1;1;1.5;;;;
PERINAT_P;2020;020000535;020000287;N2530;9;;8.95;;;;
PERINAT_P;2020;020000535;020000287;N2800;9;2;10.43;;;;
PERINAT_P;2020;020000535;020000287;N280H;9;2;10.43;;;;
PERINAT_P;2020;020000535;020000287;NAUT;8;5;11.33;;;;
PERINAT_P;2020;020001061;020004404;M1030;;2;0.75;;;;
PERINAT_P;2020;020001061;020004404;M1140;2;2;3.3;0;1;;
PERINAT_P;2020;020001061;020004404;M2050;2;2;3.5;0;1;;
PERINAT_P;2020;020001061;020004404;N2200;1;2;2.44;;;;
PERINAT_P;2020;020001061;020004404;N2340;6;;6;;;;
PERINAT_P;2020;020001061;020004404;N2530;16;2;17.26;;;;
PERINAT_P;2020;020001061;020004404;N2700;1;;0.25;;;;
PERINAT_P;2020;020001061;020004404;N2800;12;4;14.6;;;;
PERINAT_P;2020;020001061;020004404;NAUT;8;1;7.34;;;;
PERINAT_P;2020;020001087;020004495;M2050;0;1;0.3;0;0;;
PERINAT_P;2020;020001087;020004495;N2800;1;0;1;;;;
PERINAT_P;2020;020001087;020004495;NAUT;1;0;1;;;;
PERINAT_P;2020;020010047;020001632;M1030;7;;7;0;1;;
PERINAT_P;2020;020010047;020001632;M1140;2;;2;0;1;;
PERINAT_P;2020;020010047;020001632;M2050;5;;5;0;1;;
PERINAT_P;2020;020010047;020001632;N2200;;2;1;;;;
PERINAT_P;2020;020010047;020001632;N2340;1;1;1.8;;;;
PERINAT_P;2020;020010047;020001632;N2530;7;1;7.5;;;;
PERINAT_P;2020;020010047;020001632;N2700;;1;0.25;;;;
PERINAT_P;2020;020010047;020001632;N2800;9;2;10.6;;;;
