BOR;AN;nofinesset;nofinessej;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_REE;HPLETP_EDU
PSY;2020;060780541;060000262;TOT;0;;;0;67;;;;;;24522;;;;787;21356;;;;;;;;;;;;;;;;;;;;;647;;647;;;3;2;;3;1.28;;;21;19;28.71;14.94;11;0.83;0.34;1.6;;3;2;;3;1.28;21;19;;;;;;
PSY;2020;060780749;060000395;GEN;;;;;36;;;;;;13140;;;;330;12754;;;;;;;;;;;;;;;;;;;;;303;;;;;6;;;4;;0;0;24;;;9;2;0.2;0.26;;;6;;;4;;;;;;;;;
PSY;2020;060780749;060000395;TOT;0;;;0;36;;;;;;13140;;;;330;12754;;;;;;;;;;;;;;;;;;;;;303;;;;;6;;;4;;;;24;;;9;2;0.2;0.26;;;6;;;4;;;;;;;;;
PSY;2020;060780996;630786754;GEN;;7;;;295;28;34;;;30;107970;154;;;1605;103803;4367;7660;;;5666;;10488;;;6;10;0;9;85287;;23578;17134;560;1554;;8328;6749;1277;47;29;12;33.64;10;2;9.59;0;1;509;47;554;291.3;178.47;26.1;3;41.1;16;1;16.8;9;;7.12;362;29;343.03;190.55;165.37;7.56;;18.51
PSY;2020;060780996;630786754;INF;;0;;;0;;;;;;;;;;29;1226;;;;;;;;;;;;;;;;;;;;;28;;28;;;;0.9;;;0.36;0;1;;;16.72;;;;;;;;0.9;;;0.36;;;16.72;;;;;
PSY;2020;060780996;630786754;PEN;;;;;;;;;;;;12;;;;;;;;;;;1083;;;;1;;3;11316;;953;;;;;1324;;;;2;;2;;;;;;13;3;14.7;9.35;;2.5;;2.5;;;;;;;;;;;;;;
PSY;2020;060780996;630786754;TOT;1;;5;1;295;28;34;;;30;107970;166;;;1634;105029;4367;7660;;;5666;;11571;;;6;11;0;12;96603;;24531;17134;560;1554;;9587;6749;1303;47;31;12;36.54;10;2;9.95;;;522;50;585.42;300.65;178.47;28.6;3;43.6;16;1;17.7;9;;7.48;362;29;359.75;190.55;165.37;7.56;;18.51
PSY;2020;060781929;060000858;GEN;;;;;75;;;;;;27375;15;;;706;26827;;;;;;;5468;;;;;;;;;;;;;;622;0;560;0;;10;;;1;0.5;0;0;35;7;44.02;18.83;10.7;0.9;1;1.34;;10;;;1;0.5;;;;;;;;
PSY;2020;060781929;060000858;TOT;0;;;0;75;;;;;;27375;15;;;706;26827;;;;;;;5468;;;;;;;;;;;;;;622;;560;;;10;;;1;0.5;;;35;7;44.02;18.83;10.7;0.9;1;1.34;;10;;;1;0.5;;;;;;;;
PSY;2020;060785003;060785011;GEN;;1;;;70;;;;;;22741;25;;;563;19725;;;;;;;2424;;;1;;1;;14691;3450;;1749;51;3956;;3343;2822;486;35;8;6;8.4;0;1;0.1;0;1;67;9;65.78;34.68;24.81;1.5;;;2;5;4.83;;;;54;6;54.49;25.58;23.99;1;;
