BOR;AN;nofinesset;nofinessej;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2020;020001061;020004404;N1220;1;;1;;;;
SMURSAMU_P;2020;020001061;020004404;N2120;1;;0.2;1;;;
SMURSAMU_P;2020;020001061;020004404;N2223;4;;2.57;1;;;
SMURSAMU_P;2020;020001061;020004404;N5140;5;;5;;;;
SMURSAMU_P;2020;020001061;020004404;N9999;11;;8.77;;;;
SMURSAMU_P;2020;020001087;020004495;M9999;2;9;7.68;1;;;
SMURSAMU_P;2020;020001087;020004495;N2120;0;1;0.5;;;;
SMURSAMU_P;2020;020001087;020004495;N2223;5;0;3;;;;
SMURSAMU_P;2020;020001087;020004495;N2500;1;0;1;;;;
SMURSAMU_P;2020;020001087;020004495;N5140;6;0;5.91;;;;
SMURSAMU_P;2020;020001087;020004495;N9999;12;1;10.41;;;;
SMURSAMU_P;2020;020016366;020000063;M9999;0;3;0.47;1;;;
SMURSAMU_P;2020;020016366;020000063;N2120;1;0;0.25;1;;;
SMURSAMU_P;2020;020016366;020000063;N2223;6;0;0.1;0;;;
SMURSAMU_P;2020;020016366;020000063;N9999;7;0;0.35;1;;;
SMURSAMU_P;2020;030000061;030780092;M9999;1;9;4.45;1;0;4;2.33
SMURSAMU_P;2020;030000061;030780092;MREG;1;9;4.45;1;0;4;2.33
SMURSAMU_P;2020;030000061;030780092;N1220;0;0;0;;15;5;19.35
SMURSAMU_P;2020;030000061;030780092;N2120;0;0;0;;0;1;0.6
SMURSAMU_P;2020;030000061;030780092;N2223;1;5;4.99;1;1;0;0.3
SMURSAMU_P;2020;030000061;030780092;N5140;7;1;7.34;;0;0;0
SMURSAMU_P;2020;030000061;030780092;N9999;8;6;12.33;;16;6;20.25
SMURSAMU_P;2020;030000079;030780100;M9999;6;3;4.4;1;;;
SMURSAMU_P;2020;030000079;030780100;N1220;2;;1;1;;;
SMURSAMU_P;2020;030000079;030780100;N2120;2;;0.67;1;;;
SMURSAMU_P;2020;030000079;030780100;N2223;29;3;8.78;1;;;
SMURSAMU_P;2020;030000079;030780100;N5140;8;;7;;;;
SMURSAMU_P;2020;030000079;030780100;N9999;41;3;17.45;;;;
SMURSAMU_P;2020;030000087;030780118;M9999;10;12;13.5;1;;;
SMURSAMU_P;2020;030000087;030780118;N2120;2;0;2;1;;;
SMURSAMU_P;2020;030000087;030780118;N2223;12;0;11.84;0;;;
SMURSAMU_P;2020;030000087;030780118;N2500;9;0;8.13;;;;
SMURSAMU_P;2020;030000087;030780118;N5140;2;0;2.87;0;;;
SMURSAMU_P;2020;030000087;030780118;N9999;25;0;24.84;0;;;
SMURSAMU_P;2020;040000093;040780215;M9999;7;8;1.15;1;0;0;0
