BOR;AN;nofinesset;nofinessej;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2020;130002827;130789274;TYPE1;;;20;;;;3;1076;86;0;0;0;0;0;0;839;15;3945;0;0;0;3167;828;3626;134;726;0;825;3;12;;841;748;2376;384;30;0;1;258;134;95;2;4;3;0;0
PERINAT;2020;130002835;130789316;TYPE2;;1;37;7;3;0;5;2642;365;248;14;122;5;0;0;1629;3;8105;996;1104;0;5052;1802;6967;457;2430;12;1784;18;4;;1825;12646;9664;239;294;0;1;724;748;406;31;8;15;0;0
PERINAT;2020;130008253;130001084;TYPE1;;;45;;;;5;1279;135;0;0;0;0;0;0;967;8;4228;0;0;0;3288;963;3774;168;882;2;960;3;6;;966;;;;78;0;1;195;240;145;6;;0;0;0
PERINAT;2020;130050917;130050891;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;14;;11;0;1;1;0;0
PERINAT;2020;130780521;130786049;TYPE3;EXT;0;50;9;16;12;5;3219;155;380;13;383;19;397;24;1863;22;15184;3040;5332;3633;5736;2351;11845;632;5035;1;2258;93;24;;2473;6638;6974;2;296;1;1;631;653;349;54;;64;0;0
PERINAT;2020;130781370;130000532;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;7;22;5;0;;1;0;0
PERINAT;2020;130781479;130000599;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;14;12;0;1;;0;0;0
PERINAT;2020;130783236;130786049;TYPE3;EXT;0;62;24;15;15;5;3446;159;736;23;374;18;660;243;1708;3;17039;6858;4791;5999;5842;2416;12740;664;5184;1;2339;77;21;;2563;12398;;;268;2;1;2323;2503;1358;207;54;64;1;316
PERINAT;2020;130783327;130001415;TYPE2;;0;40;6;;;5;2438;309;678;25;0;0;0;0;1208;3;9135;2243;0;0;4172;1851;8310;471;2589;20;1825;26;25;;1879;;;;80;0;1;136;126;108;5;;13;1;722
PERINAT;2020;130783665;130043722;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;438;;;0;0;1;131;206;126;0;;0;0;0
PERINAT;2020;130784713;130038847;TYPE2;;1;37;12;;;8;4038;1300;1005;13;0;0;0;0;1437;0;11003;3376;0;0;4551;2386;10188;540;2990;13;2363;23;9;;2409;;;;85;0;1;115;134;92;1;;8;0;0
PERINAT;2020;130785652;130014228;TYPE2;;1;75;12;6;;10;5811;335;1365;65;638;38;0;0;3470;13;19802;4214;4340;0;10117;4741;17469;820;3733;14;4658;83;15;;4825;6010;18172;;632;0;1;5;0;2;3;;91;1;491
PERINAT;2020;130786361;130002447;;;;;;;;;39;35;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;11;8;0;1;;1;0;0
PERINAT;2020;130786445;130002488;TYPE2;;1;62;12;;;7;3531;409;603;26;0;0;0;0;2238;2;14856;3083;0;0;8268;2737;12969;538;3281;8;2700;37;18;;2800;;5670;470;60;0;0;0;0;0;0;;0;0;0
PERINAT;2020;140000027;140000035;TYPE2;;1;28;9;3;;4;1672;87;435;10;120;12;0;0;1105;2;6969;2664;479;0;3714;1341;6290;261;1593;7;1325;16;5;;1374;3156;6763;;71;0;1;238;297;136;24;;6;0;0
PERINAT;2020;140000076;140000092;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;662;1026;65;;;0;;;;;;;0;
PERINAT;2020;140000209;140000100;TYPE3;INT;;72;15;10;14;7;3958;137;663;13;247;34;396;23;2603;1;19985;4503;1333;4442;9398;3051;16438;640;5204;9;2954;97;1;0;3199;10629;11760;125;178;0;1;893;896;544;67;;55;1;441
PERINAT;2020;140000233;140000118;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1595;3490;126;0;0;1;26;36;26;0;15;0;0;0
PERINAT;2020;140000373;140000159;CPPR;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1512;59;0;0;1;10;17;10;0;0;0;0;0
PERINAT;2020;140016759;140003146;TYPE2;;1;44;6;0;0;5;2216;252;281;20;0;0;0;0;1515;0;8529;1267;0;0;5611;1818;8168;389;2164;0;1801;17;12;52;1839;;;;27;0;1;19;23;0;0;;26;0;0
PERINAT;2020;140024886;140000092;TYPE1;;0;16;;;;3;631;105;0;0;0;0;0;0;458;8;2136;0;0;0;1728;457;2017;78;385;0;457;0;8;;459;3347;2994;338;6;0;1;92;85;61;3;3;1;0;0
PERINAT;2020;140026410;140026279;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;3172;2242;174;0;0;1;84;70;84;0;;0;0;0
PERINAT;2020;140026709;140000415;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;21;43;19;0;0;0;0;0
PERINAT;2020;150000032;150780088;TYPE1;EXT;0;15;;;;2;354;53;0;0;0;0;0;0;254;7;1175;0;0;0;940;250;1079;59;318;0;248;2;7;0;256;1121;1770;133;1;0;1;67;54;64;0;0;1;0;0
PERINAT;2020;150000040;150780096;TYPE2;;1;18;6;;;2;988;83;214;46;0;0;0;0;644;2;3766;1083;0;0;2350;759;3413;135;794;1;750;9;10;;773;8946;6428;;32;0;1;226;212;172;3;1;3;0;0
PERINAT;2020;150000164;150780468;CPPR;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;99;2313;20;0;0;0;0;0;0;0;;0;0;0
PERINAT;2020;150780732;150000271;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;12;9;12;0;;0;0;0
PERINAT;2020;160000253;160000451;TYPE2;;1;25;7;6;;5;1884;154;694;17;111;15;0;0;792;0;6862;3036;798;0;2592;1359;5741;250;1426;6;1339;20;6;28;1393;6586;8633;186;76;0;1;478;465;349;27;1;7;0;0
PERINAT;2020;160000303;160006037;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;237;1481;52;0;0;0;0;;0;0;;0;0;0
PERINAT;2020;160013207;160001632;TYPE1;;0;20;;;;6;1613;476;0;0;0;0;0;0;964;25;3962;0;0;0;3134;951;3505;187;803;0;939;12;25;;969;;;;77;0;1;81;61;9;13;;3;0;0
PERINAT;2020;160015368;160014411;TYPE1;;0;15;;;;3;844;147;0;0;0;0;0;0;618;11;2645;0;0;0;2150;619;2512;79;433;2;619;0;9;0;622;6891;10332;59;47;0;1;171;171;109;8;;5;0;0
PERINAT;2020;170000038;170780050;CPPR;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2564;1774;55;0;0;1;101;52;83;2;;0;0;0
PERINAT;2020;170000087;170024194;TYPE2;;1;30;8;4;;5;2711;335;330;15;167;24;0;0;1893;0;9534;2020;801;0;6617;2103;8914;453;2233;2;2065;38;10;;2151;9544;8051;26;68;0;1;663;699;477;30;3;18;0;0
PERINAT;2020;170000095;170780167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;17;49;11;1;;0;0;
PERINAT;2020;170000103;170780175;TYPE2;;1;24;11;3;0;4;1758;118;328;15;105;15;0;0;1177;0;6252;2912;398;0;3712;1425;5797;294;1457;2;1401;24;3;;1458;8914;7998;515;161;0;1;207;304;112;24;;5;0;0
PERINAT;2020;170000152;170780225;TYPE2;;;18;6;;;3;1404;109;313;21;0;0;0;0;825;2;5088;1197;0;0;2867;1066;4620;186;1021;0;1051;15;14;;1089;2978;4096;38;51;0;1;228;265;164;9;;12;0;0
PERINAT;2020;170780613;170024053;;;;;;;;;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;6;12;6;0;;0;1;100
PERINAT;2020;170780621;170000285;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;44;53;0;3;;1;0;0
PERINAT;2020;170780662;170024053;;;;0;;;;;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;;0;1;317
PERINAT;2020;180000010;180000028;TYPE2;;1;26;9;3;;4;1474;152;244;11;91;9;0;0;954;1;5660;1605;445;0;3433;1124;4860;164;869;14;1101;23;6;0;1158;7625;3365;42;24;0;1;422;471;309;24;;8;0;0
