BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2018;490014909;490008109;N2510;3;1;3.75;0;0
BLOCS_P;2018;490014909;490008109;N4160;3;0;2.17;;
BLOCS_P;2018;490014909;490008109;NAUT;25;0;23.09;0;
BLOCS_P;2018;490015906;490000197;M100H;;;;0;1
BLOCS_P;2018;490015906;490000197;M1030;8;;7.7;0;1
BLOCS_P;2018;490015906;490000197;M200H;15;9;19;0;1
BLOCS_P;2018;490015906;490000197;N2200;25;;23.47;0;1
BLOCS_P;2018;490015906;490000197;N2320;1;;1;0;1
BLOCS_P;2018;490015906;490000197;N2510;3;;3;0;0
BLOCS_P;2018;490015906;490000197;N4160;1;;1;0;0
BLOCS_P;2018;490015906;490000197;NAUT;13;;12.68;0;0
BLOCS_P;2018;490540440;490004330;M1030;2;1;2.5;0;0
BLOCS_P;2018;490540440;490004330;M200H;8;;8;0;0
BLOCS_P;2018;490540440;490004330;N2200;10;6;14.4;0;0
BLOCS_P;2018;490540440;490004330;N4130;;2;1.5;0;
BLOCS_P;2018;490540440;490004330;NAUT;2;1;2.49;0;0
BLOCS_P;2018;500000021;500000054;M100H;1;1;0.3;0;1
BLOCS_P;2018;500000021;500000054;M1030;2;;2;1;0
BLOCS_P;2018;500000021;500000054;M200H;4;5;9.09;0;1
BLOCS_P;2018;500000021;500000054;N2200;31;7;35.19;;
BLOCS_P;2018;500000021;500000054;N2310;16;5;18.48;1;1
BLOCS_P;2018;500000021;500000054;N2320;6;2;7.69;1;1
BLOCS_P;2018;500000021;500000054;N2510;23;9;26.11;;
BLOCS_P;2018;500000021;500000054;N4130;;;;1;
BLOCS_P;2018;500000021;500000054;NAUT;5;1;4.41;;
BLOCS_P;2018;500000146;500000500;M1030;6;;6;0;0
BLOCS_P;2018;500000146;500000500;M200H;31;;31;0;0
BLOCS_P;2018;500000146;500000500;N2200;18;6;19.79;;1
BLOCS_P;2018;500000146;500000500;N2310;;;;;1
BLOCS_P;2018;500000146;500000500;N2320;3;2;3.36;;1
BLOCS_P;2018;500000146;500000500;N2510;4;1;4.45;;0
BLOCS_P;2018;500000146;500000500;N4160;;;;;1
BLOCS_P;2018;500000187;500000013;M100H;8;9;2.45;0;0
BLOCS_P;2018;500000187;500000013;M1030;3;0;3.72;1;0
BLOCS_P;2018;500000187;500000013;M200H;2;1;0.52;1;0
BLOCS_P;2018;500000187;500000013;N2200;11;5;14.45;0;0
BLOCS_P;2018;500000187;500000013;N2310;22;3;21.91;1;0
BLOCS_P;2018;500000187;500000013;N2320;12;1;12.55;1;0
BLOCS_P;2018;500000187;500000013;N2510;11;4;13.83;1;0
BLOCS_P;2018;500000187;500000013;NAUT;4;1;2.38;0;0
BLOCS_P;2018;500000203;500000542;M100H;1;3;1.9;0;1
BLOCS_P;2018;500000203;500000542;M1030;2;1;2.8;0;1
BLOCS_P;2018;500000203;500000542;M200H;5;4;6.7;0;1
BLOCS_P;2018;500000203;500000542;N2200;9;2;10.44;0;1
BLOCS_P;2018;500000203;500000542;N2310;1;2;2.19;0;0
BLOCS_P;2018;500000203;500000542;N2320;1;1;1.46;0;1
BLOCS_P;2018;500000203;500000542;N2510;1;1;1.36;0;0
BLOCS_P;2018;500000203;500000542;N4160;1;;1;0;0
BLOCS_P;2018;500000203;500000542;NAUT;6;2;5.59;0;0
BLOCS_P;2018;500000260;500000054;M100H;;3;1;0;1
BLOCS_P;2018;500000260;500000054;M200H;;2;1.95;0;1
BLOCS_P;2018;500000260;500000054;NAUT;;3;1.09;0;0
BLOCS_P;2018;500000401;500000609;M100H;1;1;0.8;0;0
BLOCS_P;2018;500000401;500000609;M1030;;20;2.14;0;1
BLOCS_P;2018;500000401;500000609;M200H;4;14;5.88;0;1
BLOCS_P;2018;500000401;500000609;N2200;6;3;7.32;0;1
BLOCS_P;2018;500000401;500000609;N2310;1;2;1.23;0;0
BLOCS_P;2018;500000401;500000609;N2510;;1;0.6;0;0
BLOCS_P;2018;500000401;500000609;N4160;1;;1;0;0
BLOCS_P;2018;500000401;500000609;NAUT;2;;2;0;0
BLOCS_P;2018;500000450;500000112;M1030;4;;4.75;1;0
BLOCS_P;2018;500000450;500000112;M200H;12;5;14.31;1;1
BLOCS_P;2018;500000450;500000112;N2200;8;1;9.63;;
BLOCS_P;2018;500000450;500000112;N2310;17;1;12.02;;
BLOCS_P;2018;500000450;500000112;N2320;12;;11.26;;
BLOCS_P;2018;500000450;500000112;N2510;10;2;11.55;;
BLOCS_P;2018;500000450;500000112;N4160;;;0.43;;
BLOCS_P;2018;500000591;500000393;M100H;;4;0.45;0;0
BLOCS_P;2018;500000591;500000393;M200H;;3;0.54;0;0
BLOCS_P;2018;500002357;500002233;M100H;1;2;2.5;;1
BLOCS_P;2018;500002357;500002233;M1030;5;;5;;1
BLOCS_P;2018;500002357;500002233;M200H;19;3;20.5;;1
BLOCS_P;2018;500002357;500002233;N2200;17;6;19.78;0;1
BLOCS_P;2018;500002357;500002233;N2310;2;2;3.02;0;1
BLOCS_P;2018;500002357;500002233;N4160;1;;1;0;0
BLOCS_P;2018;500002357;500002233;NAUT;5;;3.88;0;0
BLOCS_P;2018;510000169;510000037;M1030;6;2;7.22;1;
BLOCS_P;2018;510000169;510000037;M200H;;20;4.89;1;
BLOCS_P;2018;510000169;510000037;N2200;3;3;5.12;;
BLOCS_P;2018;510000169;510000037;N2320;7;3;8.89;;
BLOCS_P;2018;510000169;510000037;N2510;1;;1.25;;
BLOCS_P;2018;510000169;510000037;NAUT;4;2;6.25;;
BLOCS_P;2018;510000185;510000532;M100H;;3;;1;1
BLOCS_P;2018;510000185;510000532;M1030;;28;;1;1
BLOCS_P;2018;510000185;510000532;M200H;25;2;;1;1
BLOCS_P;2018;510000185;510000532;N2200;24;7;36.98;;
BLOCS_P;2018;510000185;510000532;N2320;1;0;1.08;;
BLOCS_P;2018;510000185;510000532;N2510;2;1;5.7;;
BLOCS_P;2018;510000185;510000532;NAUT;2;0;0.89;;
BLOCS_P;2018;510000193;510000532;N2200;0;0;13.49;0;0
BLOCS_P;2018;510000193;510000532;N2320;0;0;0.41;0;0
BLOCS_P;2018;510000193;510000532;N2510;0;0;0.42;0;0
BLOCS_P;2018;510000193;510000532;N4160;0;0;0.82;0;0
BLOCS_P;2018;510000193;510000532;NAUT;0;0;1.42;0;0
BLOCS_P;2018;510000227;510000565;M100H;;4;;0;0
BLOCS_P;2018;510000227;510000565;M1030;;2;1;0;1
BLOCS_P;2018;510000227;510000565;M200H;2;4;;0;1
BLOCS_P;2018;510000227;510000565;N2200;3;3;7.21;0;1
BLOCS_P;2018;510000227;510000565;N2310;;6;0.18;0;0
BLOCS_P;2018;510000227;510000565;N2510;1;1;1.68;0;0
BLOCS_P;2018;510000227;510000565;N4160;1;;0.8;0;1
BLOCS_P;2018;510000227;510000565;NAUT;4;;3.68;0;0
BLOCS_P;2018;510000235;510000060;M100H;;2;0.2;;1
BLOCS_P;2018;510000235;510000060;M1030;2;2;2.91;1;
BLOCS_P;2018;510000235;510000060;M200H;;9;1.6;;1
BLOCS_P;2018;510000235;510000060;N2200;5;8;7.66;;1
BLOCS_P;2018;510000235;510000060;N2310;3;;3.49;;1
BLOCS_P;2018;510000235;510000060;N2320;2;;2.35;;1
BLOCS_P;2018;510000235;510000060;N2510;;1;0.63;;0
BLOCS_P;2018;510000235;510000060;N4160;;1;0.8;;0
BLOCS_P;2018;510000235;510000060;NAUT;;1;0.52;;0
BLOCS_P;2018;510000243;510000573;M100H;2;6;3.5;;1
BLOCS_P;2018;510000243;510000573;M1030;2;;2;;1
BLOCS_P;2018;510000243;510000573;M200H;7;5;7.9;;1
BLOCS_P;2018;510000243;510000573;N2200;4;0;4;0;1
BLOCS_P;2018;510000243;510000573;N2310;1;1;1.6;;
BLOCS_P;2018;510000243;510000573;N2320;2;1;2.8;0;1
BLOCS_P;2018;510000243;510000573;N2510;2;0;1.5;0;0
BLOCS_P;2018;510000243;510000573;NAUT;4;;3.8;0;0
BLOCS_P;2018;510000250;510000078;M100H;;1;0.45;;
BLOCS_P;2018;510000250;510000078;N2200;0;0;0.22;;
BLOCS_P;2018;510000250;510000078;N2310;0;0;0.25;;
BLOCS_P;2018;510000250;510000078;N2320;0;0;0.08;;
BLOCS_P;2018;510000250;510000078;N2510;0;0;0.08;;
BLOCS_P;2018;510000250;510000078;NAUT;0;0;0.04;;
BLOCS_P;2018;510000516;510000136;M1030;0;3;2.65;0;1
BLOCS_P;2018;510000516;510000136;M200H;3;2;3.9;0;1
BLOCS_P;2018;510000516;510000136;N2200;13;1;13.8;0;0
BLOCS_P;2018;510000516;510000136;N2310;3;1;3.5;0;1
BLOCS_P;2018;510000516;510000136;N2320;2;1;2.5;0;1
BLOCS_P;2018;510000516;510000136;N2510;6;2;7.3;0;0
BLOCS_P;2018;510000516;510000136;N4160;1;0;1;0;1
BLOCS_P;2018;510002447;510000029;N2200;31;10;37.93;0;1
BLOCS_P;2018;510002447;510000029;N2310;21;7;26.3;0;1
BLOCS_P;2018;510002447;510000029;N2320;14;6;18.8;0;1
BLOCS_P;2018;510002447;510000029;N2510;8;0;8;0;0
BLOCS_P;2018;510002447;510000029;N4160;3;0;2.5;0;0
BLOCS_P;2018;510002447;510000029;NAUT;25;1;17.75;0;0
BLOCS_P;2018;510002470;510000029;M1030;;;;1;0
BLOCS_P;2018;510002470;510000029;N2200;4;3;5;0;0
BLOCS_P;2018;510002470;510000029;N2310;6;1;3.9;0;0
BLOCS_P;2018;510002470;510000029;N2320;5;0;5;1;0
BLOCS_P;2018;510002470;510000029;N2510;3;0;2.5;0;0
BLOCS_P;2018;510002470;510000029;N4160;2;0;0.7;0;0
BLOCS_P;2018;510002470;510000029;NAUT;6;0;4.85;0;0
BLOCS_P;2018;510004302;510000029;M1030;;;;1;0
BLOCS_P;2018;510004302;510000029;N2200;14;14;19.6;0;0
BLOCS_P;2018;510004302;510000029;N2310;17;4;13.8;0;0
BLOCS_P;2018;510004302;510000029;N2320;1;2;2.6;0;0
BLOCS_P;2018;510004302;510000029;N2510;11;0;10.5;0;0
BLOCS_P;2018;510004302;510000029;N4160;4;0;2.3;0;0
BLOCS_P;2018;510004302;510000029;NAUT;26;5;24.04;0;0
BLOCS_P;2018;510012040;510000532;M100H;1;;;0;0
BLOCS_P;2018;510012040;510000532;M1030;;29;;;1
BLOCS_P;2018;510012040;510000532;M200H;14;;;0;1
BLOCS_P;2018;510012040;510000532;N2200;8;2;5.39;;
BLOCS_P;2018;510012040;510000532;N2510;3;;1.65;;
BLOCS_P;2018;510012040;510000532;N4160;1;;1;;
BLOCS_P;2018;510012040;510000532;NAUT;8;;6.96;;
BLOCS_P;2018;510024979;510000532;M1030;29;;29;;
BLOCS_P;2018;510024979;510000532;M200H;78;;78;0;0
BLOCS_P;2018;510024979;510000532;N2320;4;;4;;
BLOCS_P;2018;510024979;510000532;N4160;4;;4;1;1
BLOCS_P;2018;520000027;520780032;M100H;;5;1.61;0;1
BLOCS_P;2018;520000027;520780032;M1030;;2;1.6;0;1
BLOCS_P;2018;520000027;520780032;M200H;1;6;6.35;0;1
BLOCS_P;2018;520000027;520780032;N2200;5;1;7.75;0;1
BLOCS_P;2018;520000027;520780032;N2310;;4;2.76;0;1
BLOCS_P;2018;520000027;520780032;N2320;;2;1.8;0;1
BLOCS_P;2018;520000027;520780032;N2510;;3;4.33;0;1
BLOCS_P;2018;520000027;520780032;NAUT;;;0.23;0;1
BLOCS_P;2018;520000068;520780073;M100H;;1;0.2;;
BLOCS_P;2018;520000068;520780073;M1030;3;1;4.73;;
BLOCS_P;2018;520000068;520780073;M200H;12;1;3.37;;
BLOCS_P;2018;520000068;520780073;N2200;5;2;5.36;;
BLOCS_P;2018;520000068;520780073;N2310;7;1;8.8;;
BLOCS_P;2018;520000068;520780073;N2320;8;;7.98;;
BLOCS_P;2018;520000068;520780073;N2510;1;1;2.59;;
BLOCS_P;2018;520000068;520780073;NAUT;14;2;14.72;;
BLOCS_P;2018;520004680;520004664;M1030;3;1;3.8;1;0
BLOCS_P;2018;520004680;520004664;M200H;5;15;10.7;0;1
BLOCS_P;2018;520004680;520004664;N2200;12;1;12.8;0;0
BLOCS_P;2018;520004680;520004664;N2310;6;1;6.3;0;0
BLOCS_P;2018;520004680;520004664;N2320;2;1;2.8;0;0
BLOCS_P;2018;520004680;520004664;N2510;5;0;5;0;0
BLOCS_P;2018;520004680;520004664;N4160;1;0;1;0;0
BLOCS_P;2018;520004714;520004664;M1030;3;;3;0;1
BLOCS_P;2018;520004714;520004664;M200H;3;1;3.5;0;1
BLOCS_P;2018;520004714;520004664;N2200;4;1;4.8;;
BLOCS_P;2018;520004714;520004664;N2310;;1;0.6;0;0
BLOCS_P;2018;520004714;520004664;N2320;;1;0.8;;
BLOCS_P;2018;520004714;520004664;N2510;1;;1;;
BLOCS_P;2018;520004714;520004664;NAUT;3;;3;;
BLOCS_P;2018;520780180;520000100;M100H;;2;;0;1
BLOCS_P;2018;520780180;520000100;M1030;2;1;;0;1
BLOCS_P;2018;520780180;520000100;M200H;2;8;;0;1
BLOCS_P;2018;520780180;520000100;N2200;6;2;7.2;0;1
BLOCS_P;2018;520780180;520000100;N2320;1;;1;0;1
BLOCS_P;2018;520780180;520000100;N2510;2;1;2.8;0;0
BLOCS_P;2018;520780180;520000100;N4160;1;;1;0;1
BLOCS_P;2018;520780180;520000100;NAUT;3;;3;0;0
BLOCS_P;2018;530000017;530000025;M1030;3;0;2.86;;
BLOCS_P;2018;530000017;530000025;N2200;19;3;19.98;;
BLOCS_P;2018;530000017;530000025;N2310;11;1;11.22;;
BLOCS_P;2018;530000017;530000025;N2320;5;0;4.03;;
BLOCS_P;2018;530000017;530000025;N2510;6;1;6.95;;
BLOCS_P;2018;530000017;530000025;N4160;1;0;1;;
BLOCS_P;2018;530000017;530000025;NAUT;1;0;0.5;;
BLOCS_P;2018;530000173;530000074;M1030;0;0;0.04;1;0
BLOCS_P;2018;530000173;530000074;M200H;7;1;2.56;0;1
BLOCS_P;2018;530000173;530000074;N2200;6;7;11.79;0;1
BLOCS_P;2018;530000173;530000074;N2310;19;0;12.12;1;0
BLOCS_P;2018;530000173;530000074;N2320;7;2;8.19;0;1
BLOCS_P;2018;530000173;530000074;N2510;5;5;8.27;0;1
BLOCS_P;2018;530000173;530000074;NAUT;;;0.4;0;0
BLOCS_P;2018;530000264;530000371;M100H;7;1;7.31;;
BLOCS_P;2018;530000264;530000371;M1030;3;0;3;;
BLOCS_P;2018;530000264;530000371;M200H;12;5;17.73;;
BLOCS_P;2018;530000264;530000371;N2200;10;2;10.9;;
BLOCS_P;2018;530000264;530000371;N2310;3;14;11.26;;
BLOCS_P;2018;530000264;530000371;N2320;7;6;10.43;;
BLOCS_P;2018;530000264;530000371;N2510;8;4;10.51;;
BLOCS_P;2018;530000264;530000371;NAUT;0;0;0.91;;
BLOCS_P;2018;530031962;530000975;M100H;11;;11;0;1
BLOCS_P;2018;530031962;530000975;M1030;7;;7;0;1
BLOCS_P;2018;530031962;530000975;M200H;14;1;14;0;1
BLOCS_P;2018;530031962;530000975;N2200;20;4;22.8;0;1
BLOCS_P;2018;530031962;530000975;N2320;2;;2;0;0
BLOCS_P;2018;530031962;530000975;N2510;1;;1;;
BLOCS_P;2018;530031962;530000975;NAUT;7;;8.26;0;0
BLOCS_P;2018;540000015;540023264;M1030;1;8;4.67;1;1
BLOCS_P;2018;540000015;540023264;M200H;;14;3.14;1;1
BLOCS_P;2018;540000015;540023264;N2200;2;1;3.78;1;1
BLOCS_P;2018;540000015;540023264;N2310;3;1;3.8;1;1
BLOCS_P;2018;540000015;540023264;N2320;3;;2.66;1;1
BLOCS_P;2018;540000015;540023264;N2510;11;8;15.38;1;1
BLOCS_P;2018;540000015;540023264;NAUT;8;29;28.81;0;0
BLOCS_P;2018;540000023;540000049;M100H;0;1;0.1;0;1
BLOCS_P;2018;540000023;540000049;M1030;1;5;3.5;1;0
BLOCS_P;2018;540000023;540000049;M200H;0;11;2.6;0;1
BLOCS_P;2018;540000023;540000049;N2200;7;1;9.28;0;1
BLOCS_P;2018;540000023;540000049;N2310;2;1;2.86;1;1
BLOCS_P;2018;540000023;540000049;N2320;8;0;5.86;0;1
BLOCS_P;2018;540000023;540000049;N2510;0;12;5.87;0;0
BLOCS_P;2018;540000023;540000049;N4160;1;0;1;0;0
BLOCS_P;2018;540000023;540000049;NAUT;2;3;3.66;0;0
BLOCS_P;2018;540000155;540000080;M100H;;3;0.36;0;1
BLOCS_P;2018;540000155;540000080;M1030;;5;3;0;1
BLOCS_P;2018;540000155;540000080;M200H;;18;2.95;0;1
BLOCS_P;2018;540000155;540000080;N2200;6;7;10.56;0;1
BLOCS_P;2018;540000155;540000080;N2310;4;2;5;0;1
BLOCS_P;2018;540000155;540000080;N2320;2;2;3.22;0;1
BLOCS_P;2018;540000155;540000080;N4160;1;;1;0;0
BLOCS_P;2018;540000155;540000080;NAUT;4;;4;0;0
BLOCS_P;2018;540000163;540023264;M100H;;3;0.42;0;0
BLOCS_P;2018;540000163;540023264;M1030;;7;5.47;0;0
BLOCS_P;2018;540000163;540023264;M200H;12;4;8.07;0;1
BLOCS_P;2018;540000163;540023264;N2200;21;1;21.13;1;0
BLOCS_P;2018;540000163;540023264;N2310;11;3;10.66;0;1
BLOCS_P;2018;540000163;540023264;N2320;4;2;5.93;0;1
BLOCS_P;2018;540000163;540023264;N2510;9;4;11.67;1;0
BLOCS_P;2018;540000163;540023264;N4130;;;;0;1
BLOCS_P;2018;540000163;540023264;NAUT;16;3;18.27;0;0
BLOCS_P;2018;540000361;540003928;M100H;0;16;4.4;0;1
BLOCS_P;2018;540000361;540003928;M1030;2;12;4.4;0;1
BLOCS_P;2018;540000361;540003928;M200H;7;9;9.1;0;1
BLOCS_P;2018;540000361;540003928;N2200;11;5;12.12;0;1
BLOCS_P;2018;540000361;540003928;N2310;0;2;1.8;0;0
BLOCS_P;2018;540000361;540003928;N2510;1;1;1.09;0;0
BLOCS_P;2018;540000361;540003928;N4160;1;0;1;0;1
BLOCS_P;2018;540000361;540003928;NAUT;5;1;5.11;0;0
BLOCS_P;2018;540000445;540000890;M100H;4;25;16.5;;
BLOCS_P;2018;540000445;540000890;M1030;4;;4;;
BLOCS_P;2018;540000445;540000890;M200H;3;1;3.5;;
BLOCS_P;2018;540000445;540000890;N2200;9;1;8.87;;
BLOCS_P;2018;540000445;540000890;N2320;2;;1.37;;
BLOCS_P;2018;540000445;540000890;N2510;1;;1;;
BLOCS_P;2018;540000452;540000908;M100H;;;;0;1
BLOCS_P;2018;540000452;540000908;M1030;9;;9;0;1
BLOCS_P;2018;540000452;540000908;M200H;1;48;49;0;1
BLOCS_P;2018;540000452;540000908;N2200;15;3;16.59;0;1
BLOCS_P;2018;540000452;540000908;N2310;;1;0.09;0;0
BLOCS_P;2018;540000452;540000908;N2320;2;;2;0;1
BLOCS_P;2018;540000452;540000908;N4160;1;;1;0;1
BLOCS_P;2018;540000452;540000908;NAUT;7;;6.54;0;0
BLOCS_P;2018;540000478;540003449;M100H;3;3;5;1;1
BLOCS_P;2018;540000478;540003449;M1030;17;0;17;1;1
BLOCS_P;2018;540000478;540003449;M200H;29;20;42;1;1
BLOCS_P;2018;540000478;540003449;N2200;40;8;45.66;;
BLOCS_P;2018;540000478;540003449;N2510;3;;3;;
BLOCS_P;2018;540000478;540003449;N4130;8;;8;;
BLOCS_P;2018;540000478;540003449;N4160;3;2;3.66;;
BLOCS_P;2018;540000486;540000932;M100H;;18;9;;
BLOCS_P;2018;540000486;540000932;M1030;;11;5.5;;
BLOCS_P;2018;540000486;540000932;M200H;;39;20;;
BLOCS_P;2018;540000486;540000932;N2200;32;4;28.99;;
BLOCS_P;2018;540000486;540000932;N2510;7;;6.17;;
BLOCS_P;2018;540000486;540000932;N4160;2;;2;;
BLOCS_P;2018;540001070;540000767;M1030;;5;2.14;1;0
BLOCS_P;2018;540001070;540000767;M200H;;7;0.89;0;1
BLOCS_P;2018;540001070;540000767;N2200;4;3;6.18;0;1
BLOCS_P;2018;540001070;540000767;N2310;3;1;3.83;0;1
BLOCS_P;2018;540001070;540000767;N2320;6;1;6.27;0;1
BLOCS_P;2018;540001070;540000767;NAUT;3;5;6.12;;
BLOCS_P;2018;540001096;570010181;M1030;2;0;2;0;1
BLOCS_P;2018;540001096;570010181;M200H;7;;6.58;0;1
BLOCS_P;2018;540001096;570010181;N2200;10;2;11.57;0;1
BLOCS_P;2018;540001096;570010181;N2310;3;0;3;1;0
BLOCS_P;2018;540001096;570010181;N4160;1;1;1.75;0;0
BLOCS_P;2018;540001138;540023264;M100H;;1;0.36;1;0
BLOCS_P;2018;540001138;540023264;M1030;1;17;10.78;1;0
BLOCS_P;2018;540001138;540023264;M200H;;20;6.39;1;0
BLOCS_P;2018;540001138;540023264;N2200;15;26;40.46;1;1
BLOCS_P;2018;540001138;540023264;N2310;17;5;21.68;1;1
BLOCS_P;2018;540001138;540023264;N2320;7;5;11.02;1;1
BLOCS_P;2018;540001138;540023264;N2510;2;25;24.34;1;1
BLOCS_P;2018;540001138;540023264;N4130;;;;1;1
BLOCS_P;2018;540001138;540023264;N4160;;;;0;1
BLOCS_P;2018;540001138;540023264;NAUT;3;14;14.96;1;1
BLOCS_P;2018;540001286;540003019;M1030;6;2;5.9;0;0
BLOCS_P;2018;540001286;540003019;M200H;9;4;10.01;0;0
BLOCS_P;2018;540001286;540003019;N2200;8;5;11.45;0;0
BLOCS_P;2018;540001286;540003019;N2310;8;4;8.61;0;0
BLOCS_P;2018;540001286;540003019;N2320;2;5;5.94;0;0
BLOCS_P;2018;540001286;540003019;N2510;3;1;2.78;0;0
BLOCS_P;2018;540001286;540003019;N4160;1;;1;0;0
BLOCS_P;2018;540002698;540023264;M100H;;19;2.74;1;1
BLOCS_P;2018;540002698;540023264;M1030;8;24;20.33;1;1
BLOCS_P;2018;540002698;540023264;M200H;4;77;20.59;1;1
BLOCS_P;2018;540002698;540023264;N2200;48;21;61.76;1;1
BLOCS_P;2018;540002698;540023264;N2310;33;18;46.96;1;1
BLOCS_P;2018;540002698;540023264;N2320;12;17;24.66;1;1
BLOCS_P;2018;540002698;540023264;N2510;27;8;32.43;1;1
BLOCS_P;2018;540002698;540023264;NAUT;27;22;42.88;1;1
BLOCS_P;2018;540013224;540000536;M100H;;;;1;0
BLOCS_P;2018;540013224;540000536;M1030;5;;5;1;0
BLOCS_P;2018;540013224;540000536;M200H;26;22;37;0;1
BLOCS_P;2018;540013224;540000536;N2200;17;1;16.01;;
BLOCS_P;2018;540013224;540000536;N4160;1;;1;;
BLOCS_P;2018;540013224;540000536;NAUT;8;;9.48;;
BLOCS_P;2018;550000012;550006795;M100H;3;1;3.38;0;1
BLOCS_P;2018;550000012;550006795;M1030;7;7;6.28;1;0
BLOCS_P;2018;550000012;550006795;M200H;18;9;18;0;1
BLOCS_P;2018;550000012;550006795;N2200;23;4;25.19;0;1
BLOCS_P;2018;550000012;550006795;N2310;10;2;12.08;1;0
BLOCS_P;2018;550000012;550006795;N2320;2;2;3;0;1
BLOCS_P;2018;550000012;550006795;N2510;6;1;6.09;0;0
BLOCS_P;2018;550000012;550006795;NAUT;8;;6.21;0;0
BLOCS_P;2018;550000178;550000293;M100H;;2;1;0;1
BLOCS_P;2018;550000178;550000293;M1030;2;2;3;0;1
BLOCS_P;2018;550000178;550000293;M200H;;;;0;1
BLOCS_P;2018;550000178;550000293;N2310;;;;0;1
BLOCS_P;2018;550000178;550000293;N2320;;;;0;1
BLOCS_P;2018;550000178;550000293;N2510;;;;0;1
BLOCS_P;2018;550000434;550003354;M100H;;4;0.26;0;1
BLOCS_P;2018;550000434;550003354;M1030;;9;0.93;0;1
BLOCS_P;2018;550000434;550003354;N2310;4;;4;0;1
BLOCS_P;2018;550000434;550003354;N2510;;18;6.09;1;0
BLOCS_P;2018;550000434;550003354;NAUT;;18;6.07;;
BLOCS_P;2018;560000127;560023210;M100H;9;5;1.5;0;1
BLOCS_P;2018;560000127;560023210;M1030;18;0;18;1;0
BLOCS_P;2018;560000127;560023210;M200H;22;4;9.8;0;1
BLOCS_P;2018;560000127;560023210;N2200;14;5;20.24;0;1
BLOCS_P;2018;560000127;560023210;N2310;29;11;36.69;0;1
BLOCS_P;2018;560000127;560023210;N2320;23;5;26.99;0;1
BLOCS_P;2018;560000127;560023210;N2510;31;4;33.95;0;0
BLOCS_P;2018;560000127;560023210;N4130;0;24;3.67;0;1
BLOCS_P;2018;560000127;560023210;N4160;0;2;0.14;0;0
BLOCS_P;2018;560000127;560023210;NAUT;8;1;7.1;0;0
BLOCS_P;2018;560000135;560005746;M100H;13;20;8.57;;
BLOCS_P;2018;560000135;560005746;M1030;8;7;18.36;1;0
BLOCS_P;2018;560000135;560005746;M200H;18;17;8.61;;
BLOCS_P;2018;560000135;560005746;N2200;12;;12.18;;
BLOCS_P;2018;560000135;560005746;N2310;28;9;35.11;;
BLOCS_P;2018;560000135;560005746;N2320;40;6;44.83;;
BLOCS_P;2018;560000135;560005746;N2510;30;5;34.59;;
BLOCS_P;2018;560000135;560005746;N4130;4;1;4.86;;
BLOCS_P;2018;560000135;560005746;N4160;1;;0.18;;
BLOCS_P;2018;560000135;560005746;NAUT;5;;2.34;;
BLOCS_P;2018;560000143;560014748;M1030;3;1;3.6;1;0
BLOCS_P;2018;560000143;560014748;M200H;14;1;14.6;0;1
BLOCS_P;2018;560000143;560014748;N2200;11;6;13.16;1;1
BLOCS_P;2018;560000143;560014748;N2310;14;1;13.13;1;0
BLOCS_P;2018;560000143;560014748;N2320;6;2;7;1;1
BLOCS_P;2018;560000143;560014748;N2510;5;1;5;0;0
BLOCS_P;2018;560000143;560014748;N4160;1;;1;0;0
BLOCS_P;2018;560000143;560014748;NAUT;;1;1;0;0
BLOCS_P;2018;560000184;560006017;M100H;;1;0.1;0;0
BLOCS_P;2018;560000184;560006017;N2200;;1;0.14;0;0
BLOCS_P;2018;560000184;560006017;N2510;;1;0.14;0;0
BLOCS_P;2018;560000192;560000044;M100H;1;2;1.91;0;1
BLOCS_P;2018;560000192;560000044;M1030;3;6;4.14;1;0
BLOCS_P;2018;560000192;560000044;M200H;5;12;10.59;0;1
BLOCS_P;2018;560000192;560000044;N2200;3;1;4.23;0;0
BLOCS_P;2018;560000192;560000044;N2310;13;;12.06;1;0
BLOCS_P;2018;560000192;560000044;N2320;12;4;14.04;1;1
BLOCS_P;2018;560000192;560000044;N2510;7;1;7.33;0;0
BLOCS_P;2018;560000192;560000044;N4160;;1;0.81;0;0
BLOCS_P;2018;560000192;560000044;NAUT;2;;1.7;0;0
BLOCS_P;2018;560002511;560000689;M1030;4;;4;;
BLOCS_P;2018;560002511;560000689;M200H;30;;30;;
BLOCS_P;2018;560002511;560000689;N2200;21;;21;;
BLOCS_P;2018;560002511;560000689;N2310;3;;3;;
BLOCS_P;2018;560002511;560000689;N2320;2;;2;;
BLOCS_P;2018;560002511;560000689;N4160;1;;1;;
BLOCS_P;2018;560002933;560026965;M100H;;6;1.5;0;1
BLOCS_P;2018;560002933;560026965;M1030;;13;6.5;0;1
BLOCS_P;2018;560002933;560026965;M200H;;28;12.7;0;1
BLOCS_P;2018;560002933;560026965;N2200;28;27;47;0;1
BLOCS_P;2018;560002933;560026965;N2310;7;18;17.6;0;1
BLOCS_P;2018;560002933;560026965;N2320;1;3;3.6;0;1
BLOCS_P;2018;560002933;560026965;N2510;8;11;17;0;0
BLOCS_P;2018;560002933;560026965;N4130;;1;0.75;0;1
BLOCS_P;2018;560002933;560026965;N4160;1;1;1.9;0;0
BLOCS_P;2018;560002933;560026965;NAUT;4;5;8.1;0;0
