,IRIS1,IRIS2,TIME
17420,60270115,60040101,17.083334
67982,60883501,60040101,24.166666
35865,60880203,60040101,27.65
24441,60300108,60040101,12.816667
54289,60881804,60040101,20.5
39921,60880507,60040101,27.566668
19557,60290109,60040101,19.116667
26207,60300117,60040101,14.033334
60391,60882603,60040101,20.533333
21481,60290122,60040101,21.083334
68193,60883601,60040101,29.2
22621,60290130,60040101,17.7
76938,61550110,60040101,15.016666
68387,60883602,60040101,26.266666
80076,61610106,60040101,11.65
48654,60881309,60040101,23.633333
8044,60040110,60040101,9.7
4633,61260000,60040101,26.1
68594,60883701,60040101,29.833334
47571,60881304,60040101,21.75
36072,60880204,60040101,25.7
60644,60882701,60040101,18.416666
2773,61080000,60040101,18.416666
67773,60883403,60040101,24.616667
19712,60290110,60040101,19.45
26026,60300116,60040101,15.883333
8948,60040114,60040101,11.4
54544,60881805,60040101,23.516666
66681,60883201,60040101,24.733334
39699,60880506,60040101,27.3
57413,60882203,60040101,25.25
66887,60883202,60040101,23.183332
57626,60882301,60040101,23.0
30065,60690111,60040101,22.85
67112,60883301,60040101,20.966667
48890,60881401,60040101,24.966667
67345,60883401,60040101,25.266666
7236,60040107,60040101,11.566667
67555,60883402,60040101,23.233334
11459,60040125,60040101,14.3
29909,60690110,60040101,20.866667
44918,60881102,60040101,23.1
36292,60880205,60040101,26.25
13139,60270101,60040101,12.55
34227,60850105,60040101,11.216666
74246,61520101,60040101,13.95
4789,61280000,60040101,20.733334
11115,60040123,60040101,11.7
55025,60881902,60040101,22.15
16646,60270112,60040101,20.833334
14779,60270106,60040101,8.666667
6693,60040105,60040101,8.166667
23850,60300105,60040101,14.283334
37623,60880305,60040101,26.05
22105,60290126,60040101,18.1
63286,60882901,60040101,12.983334
56747,60882104,60040101,22.116667
76378,61550107,60040101,10.433333
20640,60290116,60040101,19.433332
25242,60300112,60040101,12.033334
32751,60840101,60040101,17.5
47126,60881302,60040101,25.216667
1599,60460000,60040101,27.516666
6242,60040103,60040101,17.95
15771,60270109,60040101,14.916667
63619,60882902,60040101,13.283334
56233,60882102,60040101,19.433332
749,60260000,60040101,28.9
36946,60880302,60040101,23.766666
75746,61550104,60040101,10.55
79070,61610103,60040101,12.516666
56978,60882201,60040101,23.983334
49337,60881403,60040101,25.9
15119,60270107,60040101,8.6
33464,60850101,60040101,14.716666
20493,60290115,60040101,19.633333
44010,60881003,60040101,26.25
6365,60040104,60040101,1.9333333
62212,60882802,60040101,16.866667
46438,60881203,60040101,25.233334
33086,60840103,60040101,14.283334
62780,60882804,60040101,19.5
8487,60040112,60040101,9.85
43799,60881002,60040101,27.716667
76159,61550106,60040101,10.683333
37180,60880303,60040101,25.116667
56497,60882103,60040101,20.666666
20793,60290117,60040101,21.0
78768,61610102,60040101,14.716666
25043,60300111,60040101,14.283334
62497,60882803,60040101,16.966667
32932,60840102,60040101,20.516666
32108,60790109,60040101,15.533334
63037,60882805,60040101,21.116667
15452,60270108,60040101,13.133333
42418,60880901,60040101,23.7
12428,60180101,60040101,9.883333
49769,60881501,60040101,23.216667
20933,60290118,60040101,18.333334
37403,60880304,60040101,25.766666
49552,60881404,60040101,25.966667
46173,60881202,60040101,21.133333
47348,60881303,60040101,27.016666
46900,60881301,60040101,25.133333
75974,61550105,60040101,13.583333
1859,60540000,60040101,28.5
33280,60840104,60040101,15.85
74830,61520104,60040101,13.516666
63955,60882903,60040101,12.983334
55969,60882101,60040101,19.466667
36717,60880301,60040101,24.483334
42663,60880902,60040101,24.95
20169,60290113,60040101,19.5
25660,60300114,60040101,15.15
36507,60880206,60040101,28.033333
64886,60882906,60040101,17.483334
13798,60270103,60040101,11.433333
43587,60881001,60040101,27.25
75013,61550101,60040101,7.4666667
61435,60882704,60040101,22.4
55487,60882001,60040101,23.5
10145,60040119,60040101,6.516667
38594,60880501,60040101,25.433332
5597,60040101,60040101,0.0
79401,61610104,60040101,8.15
43361,60880905,60040101,27.0
45883,60881201,60040101,19.566668
31194,60790102,60040101,15.583333
65165,60883001,60040101,15.233334
61188,60882703,60040101,20.733334
30995,60790101,60040101,14.083333
73880,61490103,60040101,28.783333
55260,60881903,60040101,22.95
65475,60883002,60040101,16.433332
8272,60040111,60040101,10.166667
22272,60290127,60040101,18.116667
16379,60270111,60040101,16.783333
31378,60790103,60040101,29.666666
31426,60790104,60040101,22.533333
31927,60790108,60040101,16.483334
8726,60040113,60040101,14.483334
61909,60882801,60040101,15.833333
24857,60300110,60040101,15.75
75544,61550103,60040101,12.066667
21095,60290119,60040101,21.3
5933,60040102,60040101,5.0833335
31746,60790107,60040101,16.266666
16076,60270110,60040101,14.016666
21945,60290125,60040101,18.5
24044,60300106,60040101,18.066668
20321,60290114,60040101,17.233334
25470,60300113,60040101,14.85
64288,60882904,60040101,15.766666
13466,60270102,60040101,11.766666
49110,60881402,60040101,23.75
44236,60881004,60040101,26.633333
10670,60040121,60040101,10.8
33658,60850102,60040101,13.9
38384,60880404,60040101,27.95
31578,60790106,60040101,17.8
64595,60882905,60040101,16.433332
6951,60040106,60040101,10.516666
75299,61550102,60040101,9.933333
76587,61550108,60040101,12.85
55716,60882002,60040101,20.283333
61665,60882705,60040101,21.566668
60167,60882602,60040101,23.8
9169,60040115,60040101,15.333333
10433,60040120,60040101,9.333333
70064,61230101,60040101,12.666667
