,IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
113,60300108,A,3.0,139.96408078529603,Maurice Jeanpierre,06030,Le Cannet
114,60300109,A,2.5,148.7666379987642,Cougoussoles,06030,Le Cannet
115,60300110,A,5.0,146.9490016191475,Europe,06030,Le Cannet
116,60300111,A,3.5,143.971958115499,Tignes et Sévigné,06030,Le Cannet
117,60300112,A,4.0,153.53676949616317,Moulières,06030,Le Cannet
118,60300113,A,2.0,154.57320883839202,Aubanel,06030,Le Cannet
119,60300114,A,6.0,122.89334701356736,Sainte-Catherine,06030,Le Cannet
120,60300115,A,0.0,125.37002631049259,Dolce Farniente,06030,Le Cannet
121,60300116,A,3.5,108.93038797077529,Vieux Cannet,06030,Le Cannet
122,60300117,A,0.0,110.61021942295785,Collines,06030,Le Cannet
123,60310000,C,0.0,13.656788819322863,Cantaron (commune non irisée),06031,Cantaron
124,60320000,C,3.0,69.51022821855919,Cap-d'Ail (commune non irisée),06032,Cap-d'Ail
125,60330101,A,0.0,72.65035697711234,Ville Nouvelle-La Plaine-Le Planet,06033,Carros
126,60330102,A,3.0,67.78745414462306,Ville Nouvelle-Eusière-Cigales-Espère,06033,Carros
127,60330103,A,3.0,68.87388096895468,Ville Nouvelle-Les Arbousiers-L'Aspre,06033,Carros
128,60330104,C,0.0,60.30639138148085,Les Terriers,06033,Carros
129,60330105,A,0.0,43.944701376753585,Les Écarts-Village-Plans de Carros,06033,Carros
130,60340000,C,0.0,32.03982299762746,Castagniers (commune non irisée),06034,Castagniers
131,60350000,C,0.0,13.680549323173521,Castellar (commune non irisée),06035,Castellar
132,60360000,C,0.0,42.245503414486954,Castillon (commune non irisée),06036,Castillon
133,60370000,C,0.0,3.866207085153749,Caussols (commune non irisée),06037,Caussols
134,60380000,C,4.0,90.4557827698482,Châteauneuf-Grasse (commune non irisée),06038,Châteauneuf-Grasse
135,60390000,C,0.0,18.802256613730048,Châteauneuf-Villevieille (commune non irisée),06039,Châteauneuf-Villevieille
136,60400000,C,0.0,0.0,Châteauneuf-d'Entraunes (commune non irisée),06040,Châteauneuf-d'Entraunes
137,60410000,C,0.0,2.490109211989546,Cipières (commune non irisée),06041,Cipières
138,60420000,C,0.0,0.0,Clans (commune non irisée),06042,Clans
139,60430000,C,0.0,11.772728545902442,Coaraze (commune non irisée),06043,Coaraze
