;LEGUAY JEAN;MARC;;;;;6000;NICE;;56;;;c2;;;;;;25;55;;;;;;;;;;;;
;CORRE;CHRISTIAN;;;;;1500;AMBERIEU EN BUGEY;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;MOUSSAOUI;MOURAD;;;;;2100;ST QUENTIN;;56;;;c2;;;;;45;;;;;;;;;;;;;;
;HUGUET;PIERRE;;;;;1630;ST GENIS POUILLY;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;MALKA;ISABELLE;;;;;2100;ST QUENTIN;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;HEBERT;CHARLES;;;;;6700;ST LAURENT DU VAR;;56;;;c2;;;;;;36;42;;;;;;;;;;;;
;RUTHER;CHRISTIAN;;;;;3100;MONTLUCON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;NGUYEN;THE;;;;;2300;CHAUNY;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;FERRARA;LUCIE;;;;;6800;CAGNES SUR MER;;56;;;c2;;;;;40;;;;;;;;;;;;;;
;LAZERAN;PATRICE;;;;;7100;ANNONAY;;56;;;c2;;;;;;23;48;;;;;;;;;;;;
;DEPONT;DANIELLE;;;;;1700;MIRIBEL;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;AYAT;PHILIPPE;;;;;3000;MOULINS;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;FIANDRINO;PHILIPPE;;;;;6000;NICE;;56;;;c2;;;;;;;;;;;;;;;;;;;
;GAUTHIER JEAN;BRICE;;;;;2000;LAON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;STRUBI;JACQUES;;;;;7500;GUILHERAND GRANGES;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;VIEILLY;PATRICK;;;;;1800;MEXIMIEUX;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;PLANTUREUX;PASCAL;;;;;6200;NICE;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;ARTIN;BASSAM;;;;;2100;ST QUENTIN;;56;;;c2;;;;;45;;;;;;;;;;;;;;
;GUILLERMIN;CHRISTIAN;;;;;7300;TOURNON SUR RHONE;;56;;;c2;;;;;;47;48;;;;;;;;;;;;
;DELAFOULHOUZE JEAN;CLAUDE;;;;;3000;MOULINS;;56;;;c2;;;;;;43;50;;;;;;;;;;;;
;RAHMOUN;JUGURTHA;;;;;2200;MERCIN ET VAUX;;56;;;c2;;;;;;;;;;;;;;;;;;;
;SEGUY DUMONT;MARTINE;;;;;1700;MIRIBEL;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;BLONDIN;CHRISTIANE;;;;;7200;AUBENAS;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;MANDIRAC;CLAUDE;;;;;6400;CANNES;;56;;;c2;;;;;;40;50;;;;;;;;;;;;
;CHAMBENOIS JEAN;JACQUES;;;;;3100;MONTLUCON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;MAURO;GIOVANNI;;;;;6200;NICE;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;HELIGON JEAN;PAUL;;;;;2400;CHATEAU THIERRY;;56;;;c2;;;;;;28;46;;;;;;;;;;;;
;HAMDANE;FATIMA;;;;;1000;BOURG EN BRESSE;;56;;;c2;;;;;42;;;;;;;;;;;;;;
;BOUVARD;MARTINE;;;;;7200;AUBENAS;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;LECCIA BOUCKAERT;LAETITIA;;;;;6800;CAGNES SUR MER;;56;;;c2;;;;;55;;;;;;;;;;;;;;
;QUANTIN;CHRISTIAN;;;;;2100;ST QUENTIN;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;KLINGHOFER;MICHEL;;;;;7200;AUBENAS;;56;;;c2;;;;;;35;55;;;;;;;;;;;;
;BAYLE;GEORGES;;;;;3300;CUSSET;;56;;;c2;;;;;;50;55;;;;;;;;;;;;
;MORO MARIE;ANNE;;;;;6110;LE CANNET;;56;;;c2;;;;;;40;50;;;;;;;;;;;;
;RABOURDIN;FRANCOIS;;;;;2100;ST QUENTIN;;56;;;c2;;;;;36;;;;;;;;;;;;;;
;DRAME;SOUAD;;;;;1210;FERNEY VOLTAIRE;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;OSTWALD;WERNER;;;;;7100;ANNONAY;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;DESVALLEES;PHILIPPE;;;;;6150;CANNES LA BOCCA;;56;;;c2;;;;;;40;50;;;;;;;;;;;;
;BEGON;DOMINIQUE;;;;;3100;MONTLUCON;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;ABBAS;HUSSEIN;;;;;7400;LE TEIL;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;LARMANDE;JACQUES;;;;;6000;NICE;;56;;;c2;;;;;;23;45;;;;;;;;;;;;
;BAYLE JEAN;PAUL;;;;;3300;CUSSET;;56;;;c2;;;;;;50;52;;;;;;;;;;;;
;GENKIN;LUC;;;;;2100;ST QUENTIN;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;CALENDINI;ERIC;;;;;6300;NICE;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;JERBI;RIDHA;;;;;3200;VICHY;;56;;;c2;;;;;;48;50;;;;;;;;;;;;
;VIS;KATHERINE;;;;;6190;ROQUEBRUNE CAP MARTIN;;56;;;c2;;;;;;40;50;;;;;;;;;;;;
;HANOT JEAN;FRANCOIS;;;;;2100;ST QUENTIN;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;SGUAZZI;SYLVIE;;;;;6130;GRASSE;;56;;;c2;;;;;38;;;;;;;;;;;;;;
;TAILLER;DOMINIQUE;;;;;8200;SEDAN;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;MURATET JEAN;MICHEL;;;;;9100;PAMIERS;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;BONNET;PHILIPPE;;;;;3200;VICHY;;56;;;c2;;;;;;28;45;;;;;;;;;;;;
;AGOSTINI;MICHEL;;;;;6600;ANTIBES;;56;;;c2;;;;;50;;;;;;;;;;;;;;
;BUISSON;JIM;;;;;8204;SEDAN CEDEX;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;FAURE;LIONEL;;;;;9100;LA TOUR DU CRIEU;;56;;;c2;;;;;;23;40;;;;;;;;;;;;
;HISSLER;ROGER;;;;;6140;VENCE;;56;;;c2;;;;;;23;50;;;;;;;;;;;;
;CHARLIAT;GUY;;;;;8300;RETHEL;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;DURR;DANIEL;;;;;9300;LAVELANET;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;COSTET FIGHIERA;CHRISTINE;;;;;6000;NICE;;56;;;c2;;;;;;23;55;;;;;;;;;;;;
;BROCARD TARON;BRIGITTE;;;;;8000;CHARLEVILLE MEZIERES;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;MAESTRACCI;PIERRE;;;;;6700;ST LAURENT DU VAR;;56;;;c2;;;;;42;;;;;;;;;;;;;;
;HONEGGER;PIERRE;;;;;9200;ST GIRONS;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;GENTY;JACKY;;;;;10000;TROYES;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;CZUBA;ALINE;;;;;8200;SEDAN;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;CAUJOLLE BARTHELON;CATHERINE;;;;;6600;ANTIBES;;56;;;c2;;;;;;30;48;;;;;;;;;;;;
;DEPEYRE;CANDICE;;;;;9017;FOIX CEDEX;;56;;;c2;;;;;40;;;;;;;;;;;;;;
;DREVON PIERRE;GILLES;;;;;6110;LE CANNET;;56;;;c2;;;;;;40;50;;;;;;;;;;;;
;TIMSIT HENRY;JOSE;;;;;8000;CHARLEVILLE MEZIERES;;56;;;c2;;;;;;23;60;;;;;;;;;;;;
;LALLEMENT;ALEXANDRE;;;;;11100;NARBONNE;;56;;;c2;;;;;;23;40;;;;;;;;;;;;
;LOISELET;GERARD;;;;;10000;TROYES;;56;;;c1;;;;;28;;;;;;;;;;;;;;
;TELANDRO;ALAIN;;;;;6400;CANNES;;56;;;c2;;;;;;50;80;;;;;;;;;;;;
;CHAAF;LIONEL;;;;;8000;CHARLEVILLE MEZIERES;;56;;;c2;;;;;;50;55;;;;;;;;;;;;
;MALAN;PATRICK;;;;;11200;LEZIGNAN CORBIERES;;56;;;c2;;;;;;25;40;;;;;;;;;;;;
;BADRE;NICOLAS;;;;;9200;ST GIRONS;;56;;;c2;;;;;;;;;;;;;;;;;;;
;BECCHIA TULLI;ELISABETH;;;;;6160;JUAN LES PINS;;56;;;c2;;;;;;40;48;;;;;;;;;;;;
;ANDRIEU;YVAN;;;;;11300;LIMOUX;;56;;;c1;;;;;28;;;;;;;;;;;;;;
