;PERRAUD MARIE;CHRISTINE;;;;;16100;COGNAC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;JOLLY;CHRISTIAN;;;;;14000;CAEN;;37;;;c2;;;;;;39;48;;;;;;;;;;;;
;CATTAN;JANE;;;;;17100;SAINTES;;37;;;c2;;;;;;27;32;;;;;;;;;;;;
;TRAVAILLE;ANNE;;;;;16710;ST YRIEIX SUR CHARENTE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LECANU;ODILE;;;;;14200;HEROUVILLE ST CLAIR;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BRUNERIE ANNE;MARIE;;;;;19000;TULLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CIMOLAI ANNE;FRANCOISE;;;;;17000;LA ROCHELLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GROUSSEAUD;EVELYNE;;;;;16000;ANGOULEME;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;VERBIER NANEIX;CHRISTINE;;;;;19109;BRIVE LA GAILLARDE CEDEX;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BILHAUT JEAN;PIERRE;;;;;14000;CAEN;;37;;;c2;;;;;;;;;;;;;;;;;;;
;WURSTEN GUITTON;FRANCOISE;;;;;17100;SAINTES;;37;;;c2;;;;;;33;35;;;;;;;;;;;;
;QUANTIN;MARYLENE;;;;;16000;ANGOULEME;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;COLINET MARIE;CLAUDE;;;;;19100;BRIVE LA GAILLARDE;;37;;;c2;;;;;38;;;;;;;;;;;;;;
;HAZE;MARTIAL;;;;;14700;FALAISE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;FAUVEAU SOULAT;MARYSE;;;;;16700;RUFFEC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BATTAREL AUBERTIE;MIREILLE;;;;;19200;USSEL;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MEEN;ISABELLE;;;;;14000;CAEN;;37;;;c2;;;;;;23;48;;;;;;;;;;;;
;HINOT;CATHERINE;;;;;17000;LA ROCHELLE;;37;;;c2;;;;;;40;50;;;;;;;;;;;;
;DURANTIE D AMATO MARIE;PASCALE;;;;;19109;BRIVE LA GAILLARDE CEDEX;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CANIVET;CLAUDINE;;;;;14000;CAEN;;37;;;c2;;;;;45;;;;;;;;;;;;;;
;PEUCH JEAN;PAUL;;;;;17000;LA ROCHELLE;;37;;;c2;;;;;;23;45;;;;;;;;;;;;
;REYMOND;SOPHIE;;;;;17000;LA ROCHELLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LECAT;RAPHAELLE;;;;;13470;CARNOUX EN PROVENCE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;VERDIER;HELENE;;;;;17000;LA ROCHELLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CARLES MARCORELLES;FLORENCE;;;;;13010;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MENY;ANNE;;;;;21000;DIJON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CASO;DOMINIQUE;;;;;13006;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MARION MARIE;FRANCE;;;;;21300;CHENOVE;;37;;;c2;;;;;;35;42;;;;;;;;;;;;
;GUYONNAUD MAZALEYRAT;DANIELLE;;;;;17100;SAINTES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;KONOW LE TALLEC;ROZENN;;;;;22000;ST BRIEUC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DEGIOANNI MARTIN;MARTINE;;;;;13008;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DUSSARDIER ANNE;MARIE;;;;;21800;QUETIGNY;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BERGER;MARIE;;;;;17000;LA ROCHELLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DUPLAT GUILLOU;ANNE;;;;;22000;ST BRIEUC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;NAKACHE;BETTY;;;;;13800;ISTRES;;37;;;c2;;;;;46;;;;;;;;;;;;;;
;SAINTE BARBE;CATHERINE;;;;;21000;DIJON;;37;;;c2;;;;;;30;40;;;;;;;;;;;;
;HARLET;BEATRICE;;;;;17300;ROCHEFORT;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;FONTAINE BERGER;CATHERINE;;;;;13120;GARDANNE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BARON ANNE;LISE;;;;;22000;ST BRIEUC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ORTOLO HEELEIN;SUSANNE;;;;;21200;BEAUNE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;SIMON;PASCALE;;;;;16110;LA ROCHEFOUCAULD;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;COLIN;ANNE;;;;;17200;ROYAN;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MAREK;MICHELE;;;;;21000;DIJON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;RIMEU;DANIELE;;;;;22200;PABU;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MENA;ANNICK;;;;;16000;ANGOULEME;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;NONY;ANNICK;;;;;17000;LA ROCHELLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;VIVIAND;BRIGITTE;;;;;13880;VELAUX;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CORBERON;DIDIER;;;;;21000;DIJON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DESBRUYERES;CATHERINE;;;;;22000;ST BRIEUC;;37;;;c1;;;;;;;;;;;;;;;;;;;
;CAZAUX;GUY;;;;;17200;ROYAN;;37;;;c2;;;;;;25;40;;;;;;;;;;;;
;GENTON;MICHELE;;;;;13005;MARSEILLE;;37;;;c2;;;;;;28;38;;;;;;;;;;;;
;MATHERON LHOPITEAU;BEATRICE;;;;;21000;DIJON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LAROCHE;MONIQUE;;;;;22000;ST BRIEUC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DUSART MARIE;CLAUDE;;;;;17000;LA ROCHELLE;;37;;;c2;;;;;50;;;;;;;;;;;;;;
;GABRIEL;FREDERIC;;;;;13011;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;VIONNET;ISABELLE;;;;;21000;DIJON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;HAUDEBOURG MARIE;HELENE;;;;;22100;DINAN;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;JOUVIE;SOPHIE;;;;;23000;GUERET;;37;;;c2;;;;;45;;;;;;;;;;;;;;
;DUCLOS;CHRISTIANE;;;;;13290;LES MILLES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CALLOC H;HERVE;;;;;22300;LANNION;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GRAND;DOMINIQUE;;;;;24100;BERGERAC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BRUNET;DANIELE;;;;;13009;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MONSEAU;ODILE;;;;;24000;PERIGUEUX;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DELARUE;MICHELE;;;;;13011;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MASSIAS ANNE;MARIE;;;;;24000;PERIGUEUX;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GROSJEAN;OLIVIER;;;;;25300;PONTARLIER;;37;;;c2;;;;;;40;42;;;;;;;;;;;;
;LACOUR;FRANCINE;;;;;26000;VALENCE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MAILLET KOEGLER;FABIENNE;;;;;13100;AIX EN PROVENCE;;37;;;c2;;;;;;47;49;;;;;;;;;;;;
;SCHWARTZ MASSOL;CAROLINE;;;;;25000;BESANCON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ROLLAND LOSTANLEN;MARYVONNE;;;;;22500;PAIMPOL;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;RECOURS NGUYEN;CHRISTINE;;;;;13001;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DEQUEN VAN DE WALLE;CHRISTINE;;;;;27000;EVREUX;;37;;;c2;;;;;;30;50;;;;;;;;;;;;
;GIRARD;MICHELE;;;;;25000;BESANCON;;37;;;c2;;;;;;45;60;;;;;;;;;;;;
;LECHAT;ISABELLE;;;;;22140;BEGARD;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GIELEN;CATHERINE;;;;;27600;GAILLON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ATTAL;BERTHE;;;;;25000;BESANCON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ACHAZ;JACQUELINE;;;;;27100;VAL DE REUIL;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CALVINI MARTIN ANNE;FRANCOISE;;;;;13009;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;FOURNIER;NELLY;;;;;27200;VERNON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;PERRIN;CHRISTELLE;;;;;25000;BESANCON;;37;;;c2;;;;;;23;45;;;;;;;;;;;;
;LE ROUX EGLOFF;SOISIK;;;;;13320;BOUC BEL AIR;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;PEPY LE BOULC H;SYLVIE;;;;;27500;PONT AUDEMER;;37;;;c2;;;;;;30;45;;;;;;;;;;;;
;GUIN;MONIQUE;;;;;25000;BESANCON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;FERRIEU;MICHELE;;;;;13100;AIX EN PROVENCE;;37;;;c2;;;;;48;;;;;;;;;;;;;;
;BENCHETRIT TACQUET;ANNIE;;;;;27200;VERNON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DALUZEAU;FRANCOISE;;;;;28100;DREUX;;37;;;c2;;;;;;45;50;;;;;;;;;;;;
;BESANCON;CATHERINE;;;;;25000;BESANCON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;PERRAUD;CHRISTINE;;;;;27200;VERNON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;SABET ESFEHANI;MACHID;;;;;13100;AIX EN PROVENCE;;37;;;c1;;;;;;;;;;;;;;;;;;;
;SORIA PILES;COLETTE;;;;;28100;DREUX;;37;;;c2;;;;;50;;;;;;;;;;;;;;
;BAILLY;CATHERINE;;;;;25000;BESANCON;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BAUBE;SYLVIANE;;;;;28100;DREUX;;37;;;c2;;;;;;28;50;;;;;;;;;;;;
;CHABRE;CLAUDINE;;;;;13012;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MARTI ANNE;MARIE;;;;;25200;MONTBELIARD;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;TAVEL;LAURENCE;;;;;28110;LUCE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GUEGUEN PROCHASSON;CATHERINE;;;;;28000;CHARTRES;;37;;;c2;;;;;;35;45;;;;;;;;;;;;
;LEVANNIER;CHRISTINE;;;;;28000;CHARTRES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;THOMAS;CATHERINE;;;;;29200;BREST;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;HUGUES;SOLANGE;;;;;13300;SALON DE PROVENCE;;37;;;c2;;;;;;30;50;;;;;;;;;;;;
;VIDAL;DIANE;;;;;26100;ROMANS SUR ISERE;;37;;;nc;;;;;;;;;;;;;;;;;;;
;DAMBREVILLE;JULIETTE;;;;;29000;QUIMPER;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ROUX MICHAUD;FRANCOISE;;;;;28000;CHARTRES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LABBE THIBAUT MARIE;CHRISTINE;;;;;13008;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;TREBUCHET;CLAUDINE;;;;;26000;VALENCE;;37;;;nc;;;;;;;;;;;;;;;;;;;
;CROCQ;ROSELYNE;;;;;13110;PORT DE BOUC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;COULANGE;BEATRICE;;;;;13007;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;VINCENT;MARC;;;;;26100;ROMANS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CHANIER;MICHELE;;;;;29800;LANDERNEAU;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;CHICHA;CLAUDETTE;;;;;13500;MARTIGUES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;TREVISAN;MARYSE;;;;;26200;MONTELIMAR;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;JACQUES;YVES;;;;;29000;QUIMPER;;37;;;c2;;;;;35;;;;;;;;;;;;;;
;LACOMBE;FRANCOISE;;;;;13400;AUBAGNE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BAZAN;JACQUELINE;;;;;13700;MARIGNANE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BATTESTI AGOSTINI MARIE;MICHELE;;;;;20200;BASTIA;;37;;;c2;;;;;45;;;;;;;;;;;;;;
;PADOVANI;MICHELE;;;;;20200;BASTIA;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;KHATIB MARIE;ODILE;;;;;30200;BAGNOLS SUR CEZE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DELESALLE;VERONIQUE;;;;;20213;PENTA DI CASINCA;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;SUAU FALABREGUES;ANNE;;;;;13013;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;RHONE;PASCALE;;;;;32600;L ISLE JOURDAIN;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ANTOMARCHI;IRENE;;;;;20200;BASTIA;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BORRELLY;DENISE;;;;;30000;NIMES;;37;;;c2;;;;;;40;45;;;;;;;;;;;;
;LOISON ALLEZ;MONIQUE;;;;;13100;AIX EN PROVENCE;;37;;;c2;;;;;;23;49;;;;;;;;;;;;
;FAYE;SYLVIE;;;;;32500;FLEURANCE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LAUNE ROGER;MARION;;;;;30000;NIMES;;37;;;c2;;;;;;25;45;;;;;;;;;;;;
;SPERANDEO;DOMINIQUE;;;;;13006;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DAQUIN;JEAN;;;;;30133;LES ANGLES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BISMUTH;EVA;;;;;13014;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;PIQUARD;ELISABETH;;;;;30900;NIMES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LAPLANE CAILLOL;EDITH;;;;;13006;MARSEILLE;;37;;;c2;;;;;;23;63;;;;;;;;;;;;
;HOAREAU;JACQUELINE;;;;;13127;VITROLLES;;37;;;c2;;;;;;40;42;;;;;;;;;;;;
;BERAIN;GENEVIEVE;;;;;30900;NIMES;;37;;;c2;;;;;;23;45;;;;;;;;;;;;
;SALZMANN;CATHERINE;;;;;30000;NIMES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;COLOMBANI NADAL;BRIGITTE;;;;;13008;MARSEILLE;;37;;;c1;;;;;;;;;;;;;;;;;;;
;VINET GIRAUD;EVELYNE;;;;;30900;NIMES;;37;;;c2;;;;;;45;50;;;;;;;;;;;;
