origin_id,destination_id,origin_city,destination_city,latitude,longitude,distance,duration
190010000,190800000,Affieux (commune non irisée),Eygurande (commune non irisée),45.517646,1.76851499999998,88803.6,4687.5
190010000,190810000,Affieux (commune non irisée),Eyrein (commune non irisée),45.517646,1.76851499999998,35243.2,2462.2
190010000,190820000,Affieux (commune non irisée),Favars (commune non irisée),45.517646,1.76851499999998,38830.2,2739.4
190010000,190830000,Affieux (commune non irisée),Feyt (commune non irisée),45.517646,1.76851499999998,93148.2,5091.1
190010000,190840000,Affieux (commune non irisée),Forgès (commune non irisée),45.517646,1.76851499999998,58008.0,3729.8
190010000,190850000,Affieux (commune non irisée),Gimel-les-Cascades (commune non irisée),45.517646,1.76851499999998,34809.6,2462.9
190010000,190860000,Affieux (commune non irisée),Goulles (commune non irisée),45.517646,1.76851499999998,83807.1,5465.0
190010000,190870000,Affieux (commune non irisée),Gourdon-Murat (commune non irisée),45.517646,1.76851499999998,16906.8,1242.7
190010000,190880000,Affieux (commune non irisée),Grandsaigne (commune non irisée),45.517646,1.76851499999998,17748.0,1432.7
190010000,190890000,Affieux (commune non irisée),Gros-Chastang (commune non irisée),45.517646,1.76851499999998,51161.7,3499.8
190010000,190900000,Affieux (commune non irisée),Gumond (commune non irisée),45.517646,1.76851499999998,48336.7,3324.2
190010000,190910000,Affieux (commune non irisée),Hautefage (commune non irisée),45.517646,1.76851499999998,76272.3,4990.8
190010000,190930000,Affieux (commune non irisée),Jugeals-Nazareth (commune non irisée),45.517646,1.76851499999998,71140.1,3740.7
190010000,190940000,Affieux (commune non irisée),Juillac (commune non irisée),45.517646,1.76851499999998,59127.9,3963.9
190010000,190430000,Affieux (commune non irisée),La Chapelle-aux-Brocs (commune non irisée),45.517646,1.76851499999998,66708.6,3681.6
190010000,190440000,Affieux (commune non irisée),La Chapelle-aux-Saints (commune non irisée),45.517646,1.76851499999998,77150.6,4873.1
190010000,190450000,Affieux (commune non irisée),La Chapelle-Saint-Géraud (commune non irisée),45.517646,1.76851499999998,74720.0,4855.5
190010000,191740000,Affieux (commune non irisée),La Roche-Canillac (commune non irisée),45.517646,1.76851499999998,52211.1,3756.4
190010000,190950000,Affieux (commune non irisée),Lacelle (commune non irisée),45.517646,1.76851499999998,19304.3,1255.5
190010000,190960000,Affieux (commune non irisée),Ladignac-sur-Rondelles (commune non irisée),45.517646,1.76851499999998,45959.3,3303.2
190010000,190970000,Affieux (commune non irisée),Lafage-sur-Sombre (commune non irisée),45.517646,1.76851499999998,49460.0,3390.4
190010000,190980000,Affieux (commune non irisée),Lagarde-Marc-la-Tour (commune non irisée),45.517646,1.76851499999998,53643.2,3507.5
190010000,190990000,Affieux (commune non irisée),Lagleygeolle (commune non irisée),45.517646,1.76851499999998,79749.7,4454.9
190010000,191000000,Affieux (commune non irisée),Lagraulière (commune non irisée),45.517646,1.76851499999998,28675.1,1992.4
190010000,191010000,Affieux (commune non irisée),Laguenne-sur-Avalouze (commune non irisée),45.517646,1.76851499999998,43769.7,2893.2
190010000,191020000,Affieux (commune non irisée),Lamazière-Basse (commune non irisée),45.517646,1.76851499999998,50442.1,3421.2
190010000,191030000,Affieux (commune non irisée),Lamazière-Haute (commune non irisée),45.517646,1.76851499999998,93258.9,5025.6
190010000,191040000,Affieux (commune non irisée),Lamongerie (commune non irisée),45.517646,1.76851499999998,25563.0,1816.4
