year,specialite,iris,iris_string,type_iris,nb,apl,ap,accessibilite_weight,R,wpop,swpop,pop_gp,iris_label,dept,code_commune,commune_label
2021,10,60300104,060300104,A,5.0,117.48754651136527,3.5177483273296986,1.0,3.5177483273296986,2159.7512541730366,142136.37630510848,2159.7512541730366,Mimosas,6,06030,Le Cannet
2021,10,60300105,060300105,A,1.0,131.9437274295795,0.617410388799908,1.0,0.617410388799908,3462.883921538597,161966.824358714,3462.883921538597,Blanchisserie,6,06030,Le Cannet
2021,10,60300106,060300106,A,7.166666666666666,120.28570713870627,4.938354612216447,1.0,4.938354612216447,2226.7612565366635,145122.560638676,2226.7612565366635,Four à Chaux,6,06030,Le Cannet
2021,10,60300107,060300107,A,5.0,132.75860180929925,3.1293161700768817,1.0,3.1293161700768817,3836.604669123247,159779.31689392572,3836.604669123247,Colombier,6,06030,Le Cannet
2021,10,60300108,060300108,A,3.0,128.5719061786554,1.9464728781073475,1.0,1.9464728781073475,3966.431563428798,154124.93201123097,3966.431563428798,Maurice Jeanpierre,6,06030,Le Cannet
2021,10,60300109,060300109,A,2.5,136.50976106683973,1.5340814112600658,1.0,1.5340814112600658,2203.873966461475,162963.97190202225,2203.873966461475,Cougoussoles,6,06030,Le Cannet
2021,10,60300110,060300110,A,5.0,134.38400079659556,3.13228032446111,1.0,3.13228032446111,2670.3998265221067,159628.1137723591,2670.3998265221067,Europe,6,06030,Le Cannet
2021,10,60300111,060300111,A,3.0,131.39258619311178,1.9398242360997102,1.0,1.9398242360997102,2306.8721392137495,154653.1868285099,2306.8721392137495,Tignes et Sévigné,6,06030,Le Cannet
2021,10,60300112,060300112,A,4.0,140.13660806841418,2.4145160322376,1.0,2.4145160322376,2627.3266595937225,165664.66929992125,2627.3266595937225,Moulières,6,06030,Le Cannet
2021,10,60300113,060300113,A,2.0,140.89719834027758,1.2141329558839051,1.0,1.2141329558839051,2979.00244381954,164726.60513065252,2979.00244381954,Aubanel,6,06030,Le Cannet
