IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
60790103,H,1,22.494749,Le Roc Fleuri-Capitou-Jeanne d'Arc,06079,Mandelieu-la-Napoule
60790104,H,2,51.038536,Le Grand Duc-Minelle,06079,Mandelieu-la-Napoule
60790105,H,4,70.075569,Maure Vieille-La Napoule,06079,Mandelieu-la-Napoule
60790106,H,1,105.39484,Cannes Marina-La Roubine,06079,Mandelieu-la-Napoule
60790107,H,2,112.65871,Le Cottage,06079,Mandelieu-la-Napoule
60790108,H,6,110.0583,Le Centre Ville,06079,Mandelieu-la-Napoule
60790109,H,9.5,118.11658,Les Termes,06079,Mandelieu-la-Napoule
60800000,Z,0,21.666256,Marie (commune non irisée),06080,Marie
60810000,Z,0,0,Le Mas (commune non irisée),06081,Le Mas
60820000,Z,0,39.425262,Massoins (commune non irisée),06082,Massoins
60830101,H,1.33,115.50599,Madone-Carnoles,06083,Menton
60830102,H,0,97.466446,Riviera,06083,Menton
60830103,H,7,130.25526,Bioves-Casino,06083,Menton
60830104,H,10.33,129.53154,Hôtel de Ville,06083,Menton
60830105,H,1,113.47309,Vieille Ville-Musée,06083,Menton
60830106,H,0,82.673782,Terres Chaudes,06083,Menton
60830201,H,0,71.122261,Vallée de Gorbio,06083,Menton
60830202,H,0,91.565308,Haut Borrigo,06083,Menton
60830203,H,4,80.916183,Saint-Paul-Garavan,06083,Menton
60830204,H,0,67.299881,Ciappes-Fossan,06083,Menton
60830205,H,2.5,79.32476,Mont Gros,06083,Menton
60830206,H,1.5,51.993622,Carei-Monti,06083,Menton
60840101,H,2,92.85878,Les Aspres-Plan Sarrain,06084,Mouans-Sartoux
60840102,H,5.5,81.89196,Grand-Pièce-Les Plaines,06084,Mouans-Sartoux
60840103,H,2,115.56094,Les Indes-les Groulles,06084,Mouans-Sartoux
60840104,H,2,111.5683,Les Plantiers-Le Plan,06084,Mouans-Sartoux
60850101,H,6,114.48222,Village-Le Val-Cabrières,06085,Mougins
60850102,H,0,119.0302,Aubarède-Campelières,06085,Mougins
60850103,H,0,108.53767,Pibonson-Les Faïsses-Ranguin,06085,Mougins
60850104,H,1,94.085945,Saint-Martin-Le Miracle,06085,Mougins
