IRIS1,IRIS2,TIME
61550101,60040101,7.4666667
60882704,60040101,22.4
60882001,60040101,23.5
60040119,60040101,6.516667
60880501,60040101,25.433332
60040101,60040101,0.0
61610104,60040101,8.15
60880905,60040101,27.0
60881201,60040101,19.566668
60790102,60040101,15.583333
60883001,60040101,15.233334
60882703,60040101,20.733334
60790101,60040101,14.083333
61490103,60040101,28.783333
60881903,60040101,22.95
60883002,60040101,16.433332
60040111,60040101,10.166667
60290127,60040101,18.116667
60270111,60040101,16.783333
60790103,60040101,29.666666
60790104,60040101,22.533333
60790108,60040101,16.483334
60040113,60040101,14.483334
60882801,60040101,15.833333
60300110,60040101,15.75
61550103,60040101,12.066667
60290119,60040101,21.3
60040102,60040101,5.0833335
60790107,60040101,16.266666
60270110,60040101,14.016666
60290125,60040101,18.5
60300106,60040101,18.066668
60290114,60040101,17.233334
60300113,60040101,14.85
60882904,60040101,15.766666
60270102,60040101,11.766666
60881402,60040101,23.75
60881004,60040101,26.633333
60040121,60040101,10.8
60850102,60040101,13.9
60880404,60040101,27.95
60790106,60040101,17.8
60882905,60040101,16.433332
60040106,60040101,10.516666
61550102,60040101,9.933333
61550108,60040101,12.85
60882002,60040101,20.283333
60882705,60040101,21.566668
60882602,60040101,23.8
60040115,60040101,15.333333
60040120,60040101,9.333333
61230101,60040101,12.666667
60270105,60040101,9.333333
60440103,60040101,20.066668
61230110,60040101,17.833334
60882402,60040101,23.166666
60300102,60040101,17.983334
60882502,60040101,22.616667
60290103,60040101,19.316668
60881605,60040101,24.533333
60880904,60040101,25.1
60881502,60040101,25.25
61120000,60040101,24.566668
60881705,60040101,25.983334
60290106,60040101,18.483334
60881606,60040101,27.9
60880702,60040101,26.516666
60881801,60040101,23.966667
60881503,60040101,24.7
61050102,60040101,17.366667
61050101,60040101,25.8
61230105,60040101,11.233334
60890000,60040101,21.883333
60690105,60040101,19.816668
60290132,60040101,14.3
61230111,60040101,16.116667
60290123,60040101,19.8
60040109,60040101,5.65
60300101,60040101,18.35
60881802,60040101,19.433332
60880602,60040101,23.783333
60690104,60040101,17.266666
60330104,60040101,27.4
60270117,60040101,10.7
60070000,60040101,24.533333
60881104,60040101,22.7
61570107,60040101,24.4
60881105,60040101,26.05
60290107,60040101,15.55
60882501,60040101,21.666666
60881701,60040101,25.966667
60290131,60040101,18.483334
61230109,60040101,14.866667
60290102,60040101,19.1
60881305,60040101,22.583334
61570102,60040101,25.166666
60880201,60040101,24.5
60650102,60040101,26.183332
60880903,60040101,27.183332
60882504,60040101,21.85
60290101,60040101,20.416666
60100000,60040101,29.416666
60882401,60040101,24.816668
61610107,60040101,9.283334
61230103,60040101,12.05
60650101,60040101,27.083334
60881504,60040101,23.383333
60881103,60040101,22.75
60330103,60040101,22.166666
60180103,60040101,5.016667
60040117,60040101,7.516667
60880701,60040101,26.65
60330102,60040101,23.716667
60850107,60040101,12.683333
61570106,60040101,22.416666
60880605,60040101,25.133333
60690103,60040101,20.3
60690102,60040101,26.35
60881702,60040101,25.9
60690101,60040101,24.183332
61230104,60040101,14.65
61570101,60040101,25.65
61230108,60040101,15.716666
60880604,60040101,26.85
60881703,60040101,24.816668
60882503,60040101,20.8
61140000,60040101,25.666666
61230102,60040101,14.933333
60880603,60040101,25.75
60881704,60040101,25.583334
61570104,60040101,25.3
60881307,60040101,26.433332
60850108,60040101,13.366667
60290104,60040101,18.733334
60950101,60040101,26.933332
60881306,60040101,26.95
60040122,60040101,9.066667
61230106,60040101,13.416667
60690107,60040101,17.866667
60882303,60040101,22.333334
60180102,60040101,11.366667
60440102,60040101,17.533333
60040118,60040101,9.583333
60330101,60040101,21.566668
60300107,60040101,12.416667
60881604,60040101,24.133333
60440101,60040101,19.0
61230107,60040101,13.8
60882601,60040101,20.666666
60900102,60040101,25.0
60290124,60040101,16.55
60040126,60040101,10.083333
60880202,60040101,28.65
60880601,60040101,23.966667
60290108,60040101,17.05
61570105,60040101,19.283333
60880101,60040101,27.316668
61500000,60040101,29.116667
60690106,60040101,20.316668
60881603,60040101,23.866667
60270116,60040101,13.183333
60690108,60040101,19.3
60950103,60040101,27.85
60900101,60040101,19.933332
60882304,60040101,22.833334
60290105,60040101,16.5
60040108,60040101,9.766666
60880509,60040101,25.716667
60330105,60040101,26.383333
60270104,60040101,15.1
60880508,60040101,26.833334
61230108,60040102,19.216667
60040121,60040102,10.7
60880603,60040102,29.25
60270110,60040102,17.516666
60882803,60040102,20.45
60882103,60040102,24.166666
60882904,60040102,19.266666
60840102,60040102,20.25
60881402,60040102,27.25
60881702,60040102,29.4
60880605,60040102,28.633333
61570106,60040102,25.9
60270102,60040102,15.266666
61230104,60040102,18.15
60882705,60040102,25.066668
60300111,60040102,14.016666
60290114,60040102,16.966667
60882805,60040102,24.616667
60040118,60040102,9.483334
60300106,60040102,17.8
61550102,60040102,10.05
60790106,60040102,17.55
61550106,60040102,10.783334
60880303,60040102,28.616667
61230103,60040102,15.55
60290113,60040102,19.25
60100000,60040102,29.116667
60300114,60040102,14.883333
60880301,60040102,27.983334
60040106,60040102,13.983334
60290105,60040102,16.25
60882906,60040102,20.983334
60840103,60040102,14.4
60270103,60040102,14.933333
60881504,60040102,26.866667
61550101,60040102,7.5666666
60882804,60040102,23.0
60290127,60040102,17.85
60270111,60040102,20.283333
60270104,60040102,18.6
61610102,60040102,18.216667
60882905,60040102,19.933332
60882501,60040102,25.166666
60850102,60040102,13.633333
60882503,60040102,24.3
60180102,60040102,14.85
60180103,60040102,8.5
60290117,60040102,20.733334
60882002,60040102,23.766666
61550108,60040102,12.433333
60790104,60040102,22.266666
61570102,60040102,28.65
60790103,60040102,29.4
60290102,60040102,19.0
60440101,60040102,22.5
61570105,60040102,22.783333
60840104,60040102,15.966666
60300105,60040102,14.016666
60290125,60040102,18.233334
60300101,60040102,18.083334
60270109,60040102,18.416666
60270107,60040102,12.1
60882802,60040102,20.366667
60290104,60040102,18.85
60881203,60040102,28.716667
60882102,60040102,22.933332
60881503,60040102,28.2
60882902,60040102,16.783333
60300107,60040102,12.15
60880302,60040102,27.266666
60881104,60040102,26.183332
60260000,60040102,28.65
61550105,60040102,13.683333
60881301,60040102,28.616667
60040104,60040102,5.4333334
61550104,60040102,10.65
60040103,60040102,17.85
60040109,60040102,6.4333334
60880305,60040102,29.55
61230105,60040102,14.733334
60290126,60040102,17.85
60040105,60040102,10.45
60882901,60040102,16.483334
60882104,60040102,25.616667
60290116,60040102,19.166666
60290132,60040102,14.033334
61550107,60040102,10.333333
60840101,60040102,17.233334
60881003,60040102,29.75
60330105,60040102,29.866667
60300112,60040102,11.766666
60881302,60040102,28.716667
60890000,60040102,21.6
61570104,60040102,28.783333
60850108,60040102,13.466666
60881307,60040102,29.916666
61610103,60040102,16.016666
60790108,60040102,16.216667
61120000,60040102,25.0
60180101,60040102,13.35
60040113,60040102,17.966667
61230106,60040102,16.916666
60300110,60040102,15.483334
60290124,60040102,16.3
60290106,60040102,18.583334
61550103,60040102,12.183333
60270108,60040102,16.633333
60881701,60040102,29.466667
60290119,60040102,21.05
60040102,60040102,0.0
60881202,60040102,24.633333
60882502,60040102,26.116667
60881605,60040102,28.033333
60881501,60040102,26.716667
60882101,60040102,22.95
60882801,60040102,19.333334
61230107,60040102,17.3
60882201,60040102,27.483334
60881403,60040102,29.4
60882402,60040102,26.666666
60290103,60040102,19.216667
60440102,60040102,21.033333
60290115,60040102,19.366667
60790107,60040102,16.0
60880304,60040102,29.266666
60440103,60040102,23.566668
60881604,60040102,27.633333
60882903,60040102,16.483334
60850101,60040102,14.466666
60881404,60040102,29.45
60300113,60040102,14.583333
60290118,60040102,18.066668
60790109,60040102,15.266666
60880901,60040102,27.2
60881305,60040102,26.083334
60882001,60040102,27.0
60690104,60040102,17.0
60690111,60040102,22.583334
61230111,60040102,19.616667
60883301,60040102,24.45
60882301,60040102,26.5
60881401,60040102,28.466667
60690105,60040102,19.55
60883401,60040102,28.766666
60040108,60040102,12.05
60040107,60040102,13.85
60040123,60040102,11.6
60950103,60040102,27.583334
60883402,60040102,26.733334
60880205,60040102,29.75
60040125,60040102,14.2
60690110,60040102,20.983334
60270101,60040102,16.05
60690106,60040102,20.05
60950101,60040102,26.666666
60850104,60040102,17.116667
60850105,60040102,11.316667
60882203,60040102,28.75
60040112,60040102,12.133333
60882701,60040102,21.916666
60690112,60040102,15.616667
61050102,60040102,20.866667
60882304,60040102,26.333334
60270114,60040102,19.7
60882704,60040102,25.883333
60290110,60040102,19.183332
60300116,60040102,15.616667
61520102,60040102,17.916666
61570107,60040102,27.9
60880902,60040102,28.45
60070000,60040102,24.283333
60881805,60040102,27.016666
60270117,60040102,14.2
60883201,60040102,28.233334
60290121,60040102,24.25
60880602,60040102,27.283333
60881802,60040102,22.916666
60883202,60040102,26.683332
60040115,60040102,15.233334
61520101,60040102,14.05
61280000,60040102,24.233334
60270105,60040102,12.833333
60881309,60040102,27.116667
60690107,60040102,17.966667
60883602,60040102,29.766666
60040126,60040102,9.983334
61610106,60040102,15.116667
60881102,60040102,26.6
60040110,60040102,9.2
60290122,60040102,20.816668
61260000,60040102,29.6
60040122,60040102,8.966666
60881105,60040102,29.55
60881304,60040102,25.25
60882302,60040102,26.8
60900101,60040102,19.666666
60883801,60040102,29.066668
60881803,60040102,24.866667
60040116,60040102,6.4666667
60040120,60040102,9.233334
60882602,60040102,27.283333
61550110,60040102,15.133333
60290130,60040102,17.433332
60880509,60040102,29.216667
60300117,60040102,14.133333
60330101,60040102,25.066668
60883403,60040102,28.116667
60880204,60040102,29.183332
60900102,60040102,24.75
61080000,60040102,18.166666
60881505,60040102,29.683332
60300103,60040102,17.366667
60690109,60040102,20.766666
60290108,60040102,16.783333
61610105,60040102,10.283334
60882601,60040102,24.166666
60883501,60040102,27.666666
60880601,60040102,27.466667
60270115,60040102,20.583334
60300108,60040102,12.55
60881804,60040102,23.983334
60881603,60040102,27.366667
60882603,60040102,24.033333
60290109,60040102,18.866667
60270116,60040102,16.683332
60882303,60040102,25.833334
60290123,60040102,19.533333
61050101,60040102,27.383333
60881602,60040102,24.616667
61140000,60040102,29.166666
61570101,60040102,29.133333
60290120,60040102,20.633333
60330103,60040102,25.666666
60881703,60040102,28.316668
60690117,60040102,24.016666
60882202,60040102,27.633333
60650102,60040102,29.666666
60881601,60040102,27.85
60883003,60040102,20.133333
60850103,60040102,16.983334
60690116,60040102,25.65
60690101,60040102,23.916666
60881201,60040102,23.066668
60881204,60040102,27.633333
61610104,60040102,11.65
60380000,60040102,23.333334
60882703,60040102,24.233334
60690108,60040102,19.033333
60300115,60040102,16.45
61230102,60040102,18.416666
60270112,60040102,24.333334
60881903,60040102,26.45
60040111,60040102,10.066667
61230109,60040102,18.366667
60883002,60040102,19.933332
60270106,60040102,12.166667
60880201,60040102,27.466667
60883001,60040102,18.733334
60290101,60040102,20.333334
61520104,60040102,15.116667
60882504,60040102,25.35
60300109,60040102,13.583333
60881902,60040102,25.65
60790102,60040102,15.316667
60040117,60040102,7.4166665
60040114,60040102,11.3
60881506,60040102,28.4
60290112,60040102,15.533334
60690102,60040102,26.083334
60690114,60040102,21.516666
60040101,60040102,4.483333
61520103,60040102,11.183333
60881705,60040102,29.483334
60290128,60040102,16.7
60040124,60040102,14.3
61380000,60040102,26.566668
60690113,60040102,16.383333
60883102,60040102,16.283333
61610107,60040102,12.783334
60881801,60040102,27.466667
61230101,60040102,16.166666
61370000,60040102,28.833334
61550109,60040102,14.916667
60881103,60040102,26.233334
60300102,60040102,17.733334
60881901,60040102,24.216667
61230110,60040102,21.333334
60880904,60040102,28.6
61610101,60040102,16.5
60881502,60040102,28.75
60290107,60040102,15.283334
60270113,60040102,20.166666
60690103,60040102,20.033333
60300104,60040102,16.916666
60880501,60040102,28.916666
60882401,60040102,28.316668
60850107,60040102,12.783334
60040119,60040102,5.016667
60330102,60040102,27.216667
60881101,60040102,27.016666
60790101,60040102,13.816667
60880502,60040102,28.733334
60882702,60040102,21.333334
60883101,60040102,20.55
60290131,60040102,18.216667
60881704,60040102,29.083334
60290111,60040102,20.583334
60270106,60040103,24.583334
60270103,60040103,26.816668
60040106,60040103,17.733334
60040120,60040103,11.683333
60040110,60040103,13.416667
61550110,60040103,21.5
60850105,60040103,25.65
61550108,60040103,16.4
61550109,60040103,17.083334
60850101,60040103,29.55
60270107,60040103,23.983334
61610101,60040103,28.4
61550107,60040103,13.983334
60040108,60040103,15.333333
60040109,60040103,14.95
60040105,60040103,15.783334
60290119,60040103,29.75
60040107,60040103,16.066668
60040124,60040103,4.633333
60850107,60040103,27.116667
60300107,60040103,27.25
60270105,60040103,24.716667
60850102,60040103,28.733334
60300108,60040103,27.65
60300109,60040103,28.683332
60850108,60040103,27.8
60040126,60040103,11.55
60040111,60040103,10.433333
60040112,60040103,14.1
60040119,60040103,14.766666
60840103,60040103,28.716667
