psp_spe_snds,ann,age_ben_snds,nb,total_nb,ratio
6,21,80,1300338,11985020,0.10849694034720009
6,21,99,13906,11985020,0.0011602817517200638
6,22,0,922165,12135992,0.07598595977980209
6,22,20,1111018,12135992,0.09154735764492923
6,22,30,1227255,12135992,0.10112523146027123
6,22,40,1426945,12135992,0.11757959299907252
6,22,50,1831247,12135992,0.1508938865483761
6,22,60,2154210,12135992,0.17750588497421554
6,22,70,2123373,12135992,0.1749649307613255
6,22,80,1326816,12135992,0.10932901076401501
6,22,99,12963,12135992,0.0010681450679927936
6,23,0,919299,12411203,0.0740700961864857
6,23,20,1117969,12411203,0.09007740828991356
6,23,30,1248156,12411203,0.10056688300078566
6,23,40,1447932,12411203,0.11666330814184572
6,23,50,1862396,12411203,0.1500576535570323
6,23,60,2213133,12411203,0.178317363755955
6,23,70,2214086,12411203,0.17839414922147354
6,23,80,1377107,12411203,0.11095677026634727
6,23,99,11125,12411203,0.0008963675801612462
6,24,0,454459,5991295,0.07585321704239234
6,24,20,538445,5991295,0.08987122149718883
6,24,30,596658,5991295,0.09958748484259246
6,24,40,693270,5991295,0.11571288010355023
6,24,50,889207,5991295,0.148416494263761
6,24,60,1063882,5991295,0.17757129301761973
6,24,70,1076743,5991295,0.1797179073973156
6,24,80,673419,5991295,0.11239957304722936
6,24,99,5212,5991295,0.0008699287883504318
7,20,0,910883,10830619,0.0841025799171774
7,20,20,2193413,10830619,0.20251963438100815
7,20,30,2469473,10830619,0.22800848224833686
7,20,40,1596905,10830619,0.14744355793514663
7,20,50,1178581,10830619,0.10881935741622893
7,20,60,1088546,10830619,0.10050635148369635
7,20,70,889101,10830619,0.08209142986194971
7,20,80,499680,10830619,0.04613586721128312
7,20,99,4037,10830619,0.0003727395451728105
7,21,0,947910,11226095,0.0844380882221289
7,21,20,2203164,11226095,0.19625381755632748
7,21,30,2543507,11226095,0.2265709492036189
7,21,40,1673920,11226095,0.14910973049845025
7,21,50,1232674,11226095,0.10980434425327774
7,21,60,1141257,11226095,0.10166108517699164
7,21,70,947247,11226095,0.08437902939535075
